gt_pair_id,gt_instance_id,physical_vehicle_id,edge_name,edge_status,edge_supported_interval_m,edge_transition_strength,edge_background_sensitivity,edge_mask_context,edge_note_cn
WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,range_near,EDGE_IDENTIFIABLE,"[-0.3,0.3]",0.258361,BACKGROUND_STABLE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,range_far,EDGE_INTERVAL_ONLY,"[-0.3,0.3]",0.246792,BACKGROUND_STABLE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,azimuth_left,EDGE_IDENTIFIABLE,"[-0.3,0.3]",0.269589,BACKGROUND_STABLE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,azimuth_right,EDGE_IDENTIFIABLE,"[-0.3,0.3]",0.261545,BACKGROUND_STABLE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,range_near,EDGE_MASK_CENSORED,"[-0.3,0.3]",0.329801,COUNTERFACTUAL_BACKGROUND_SENSITIVE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,MASK 指明 bottom_near_range_mask，近距边只作删失解释。
WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,range_far,EDGE_IDENTIFIABLE,"[-0.3,0.3]",0.324212,COUNTERFACTUAL_BACKGROUND_SENSITIVE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,azimuth_left,EDGE_IDENTIFIABLE,"[-0.3,0.3]",0.341139,COUNTERFACTUAL_BACKGROUND_SENSITIVE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,azimuth_right,EDGE_IDENTIFIABLE,"[-0.3,0.3]",0.322148,BACKGROUND_STABLE,,基于预注册单边界扰动的能量密度变化判断。
WGV35A_PAIR_0206,319,PV_GM19_WHITE_SUV_NEAR_FIELD,range_near,EDGE_MASK_CENSORED,"[-0.3,0.3]",0.223748,BACKGROUND_STABLE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,MASK 指明 bottom_near_range_mask，近距边只作删失解释。
WGV35A_PAIR_0206,319,PV_GM19_WHITE_SUV_NEAR_FIELD,range_far,EDGE_INTERVAL_ONLY,"[-0.3,0.3]",0.235188,BACKGROUND_STABLE,,基于预注册单边界扰动的能量密度变化判断。
