response_box_id,sar_frame,previous_response_box_id,previous_sar_frame,center_shift_px,bbox_iou,status
R2B0001,27,,,,,first_available_frame
R2B0003,28,R2B0001,27,3,0.961538,adjacent_consistent
R2B0005,29,R2B0003,28,6.708204,0.863821,adjacent_consistent
R2B0007,30,R2B0005,29,1.118034,0.941423,adjacent_consistent
R2B0009,31,R2B0007,30,0,1,adjacent_consistent
R2B0010,32,R2B0009,31,64.158008,0.06181,adjacent_consistent
R2B0011,34,R2B0010,32,70.229979,0.026106,non_adjacent_or_shifted
R2B0014,39,R2B0011,34,20.2608,0.650142,non_adjacent_or_shifted
R2B0019,40,R2B0014,39,49.864817,0.388402,adjacent_consistent
R2B0020,46,R2B0019,40,18.973666,0.741086,non_adjacent_or_shifted
R2B0021,52,R2B0020,46,46.47849,0.149177,non_adjacent_or_shifted
R2B0022,60,R2B0021,52,35.355339,0.156579,non_adjacent_or_shifted
R2B0025,77,R2B0022,60,58.940648,0.302945,non_adjacent_or_shifted
R2B0026,78,R2B0025,77,24,0.741935,adjacent_consistent
R2B0028,79,R2B0026,78,21,0.453686,adjacent_consistent
R2B0031,80,R2B0028,79,21.213203,0.434783,adjacent_consistent
R2B0032,81,R2B0031,80,21.84033,0.463768,adjacent_consistent
R2B0034,212,R2B0032,81,163.469416,0,non_adjacent_or_shifted
R2B0035,216,R2B0034,212,12.5,0.840764,non_adjacent_or_shifted
R2B0036,224,R2B0035,216,15.5,0.802548,non_adjacent_or_shifted
R2B0037,227,R2B0036,224,28.146936,0.612679,non_adjacent_or_shifted
R2B0038,228,R2B0037,227,6,0.92,adjacent_consistent
R2B0039,239,R2B0038,228,24.738634,0.635294,non_adjacent_or_shifted
R2B0040,259,R2B0039,239,59.076222,0.359684,non_adjacent_or_shifted
R2B0042,260,R2B0040,259,0,1,adjacent_consistent
R2B0043,262,R2B0042,260,6.708204,0.869565,non_adjacent_or_shifted
R2B0044,263,R2B0043,262,18.248288,0.740741,adjacent_consistent
R2B0046,269,R2B0044,263,9,0.896552,non_adjacent_or_shifted
R2B0048,270,R2B0046,269,0,1,adjacent_consistent
R2B0050,271,R2B0048,270,3,0.95,adjacent_consistent
R2B0052,272,R2B0050,271,11.313708,0.802486,adjacent_consistent
R2B0053,273,R2B0052,272,3,0.965517,adjacent_consistent
R2B0054,276,R2B0053,273,12,0.693878,non_adjacent_or_shifted
R2B0056,278,R2B0054,276,12,0.747253,non_adjacent_or_shifted
R2B0058,279,R2B0056,278,3,0.962963,adjacent_consistent
R2B0060,280,R2B0058,279,0,1,adjacent_consistent
R2B0062,281,R2B0060,280,16.03122,0.77384,adjacent_consistent
R2B0065,284,R2B0062,281,9.486833,0.844607,non_adjacent_or_shifted
R2B0067,288,R2B0065,284,6.708204,0.883838,non_adjacent_or_shifted
R2B0070,289,R2B0067,288,18,0.818182,adjacent_consistent
R2B0071,290,R2B0070,289,16.155494,0.787724,adjacent_consistent
