plan_region_id,gt_pair_id,gt_instance_id,physical_vehicle_id,evaluation_pool,sar_frame,region_role,template_family,template_axis,template_operation,delta_m,rotation_deg,center_shift_range_m,center_shift_azimuth_m,edge_name,scale_axis,matched_background_offset_order,geometry_source,region_center_x,region_center_y,region_polygon_xy,gt_width_axis_image_deg,gt_long_axis_image_deg,mask_class,mask_context,linked_independent_geometry_ids,plan_stage_intensity_read,plan_stage_s1_r1_measurement_outcomes_read,background_selection_rule
WGV35A_PAIR_0204_S2A_001,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,gt_original,gt_original,gt,original,0,0,0,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1063.71,1203.789,"972.572,1167.739;1154.849,1167.739;1154.849,1239.839;972.572,1239.839",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_002,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,range,shift,-0.15,0,-0.15,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1066.611,1207.862,"975.472,1171.812;1157.749,1171.812;1157.749,1243.912;975.472,1243.912",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_003,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,range,shift,0.15,0,0.15,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1060.81,1199.716,"969.672,1163.666;1151.949,1163.666;1151.949,1235.766;969.672,1235.766",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_004,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,azimuth,shift,-0.15,0,0,-0.15,,,,PLAN_STAGE_GEOMETRY_ONLY,1059.637,1206.689,"968.499,1170.639;1150.776,1170.639;1150.776,1242.739;968.499,1242.739",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_005,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,azimuth,shift,0.15,0,0,0.15,,,,PLAN_STAGE_GEOMETRY_ONLY,1067.784,1200.889,"976.645,1164.839;1158.922,1164.839;1158.922,1236.939;976.645,1236.939",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_006,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,range,shift,-0.3,0,-0.3,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1069.511,1211.935,"978.372,1175.885;1160.649,1175.885;1160.649,1247.985;978.372,1247.985",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_007,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,range,shift,0.3,0,0.3,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1057.91,1195.643,"966.772,1159.593;1149.049,1159.593;1149.049,1231.693;966.772,1231.693",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_008,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,azimuth,shift,-0.3,0,0,-0.3,,,,PLAN_STAGE_GEOMETRY_ONLY,1055.564,1209.589,"964.426,1173.539;1146.703,1173.539;1146.703,1245.639;964.426,1245.639",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_009,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,azimuth,shift,0.3,0,0,0.3,,,,PLAN_STAGE_GEOMETRY_ONLY,1071.857,1197.989,"980.718,1161.939;1162.995,1161.939;1162.995,1234.039;980.718,1234.039",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_010,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,range,shift,-0.45,0,-0.45,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1072.411,1216.008,"981.272,1179.958;1163.549,1179.958;1163.549,1252.058;981.272,1252.058",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
