atom_id,sar_frame,candidate_role,graph_role_class,support_bbox,centroid_x,centroid_y,radial,azimuth,orientation,integrated_energy,persistent_part_track_id,track_len
R1A0001,27,isolated_small_atom,optional_support_candidate,"1006,1131,1018,1137",1011.882353,1133.411765,243.078476,-35.780136,-26.80383,1370,R1PT001,2
R1A0002,27,unresolved_atom,optional_support_candidate,"1084,1131,1108,1149",1093.255814,1137.430233,202.533005,-17.456318,-17.181813,7331,R1PT002,6
R1A0003,27,unresolved_atom,core_member_candidate,"1036,1131,1186,1203",1122.665152,1163.459848,173.073135,-10.695696,-14.249884,110034,,0
R1A0004,27,body_core_candidate,core_member_candidate,"1096,1209,1144,1233",1125.82967,1221.192308,113.285553,-14.32885,6.647621,16477,,0
R1A0005,27,isolated_small_atom,optional_support_candidate,"1030,1221,1042,1233",1036.733333,1223.933333,158.546921,-47.711479,-52.781648,1211,,0
R1A0006,28,isolated_small_atom,optional_support_candidate,"1006,1131,1024,1143",1015.105263,1134.105263,240.643845,-35.255325,-37.585469,1571,R1PT001,2
R1A0007,28,unresolved_atom,optional_support_candidate,"1084,1131,1114,1149",1096.805085,1137.838983,201.139801,-16.527601,-18.329245,10099,R1PT002,6
R1A0008,28,unresolved_atom,core_member_candidate,"1036,1131,1192,1203",1122.905645,1162.921774,173.499954,-10.542934,-12.507104,103020,,0
R1A0009,28,body_core_candidate,core_member_candidate,"1096,1203,1150,1233",1128.52381,1222.025974,111.844467,-13.104463,6.647953,21356,,0
R1A0010,29,unresolved_atom,optional_support_candidate,"1090,1131,1114,1149",1099.262136,1137.912621,200.377563,-15.859108,-16.610156,9802,R1PT002,6
R1A0011,29,unresolved_atom,core_member_candidate,"1042,1131,1192,1197",1123.829585,1164.555363,171.64679,-10.387217,-14.435025,104713,,0
R1A0012,29,body_core_candidate,core_member_candidate,"1096,1203,1156,1245",1131.718447,1222.634304,110.661636,-11.550279,5.852113,32127,,0
R1A0013,30,unresolved_atom,optional_support_candidate,"1090,1135,1114,1147",1098.565217,1139.73913,198.783157,-16.194582,-10.537519,7146,R1PT002,6
R1A0014,30,unresolved_atom,core_member_candidate,"1042,1135,1193,1201",1125.328211,1166.666301,169.323959,-10.049229,-15.560471,92459,R1PT003,3
R1A0015,30,body_core_candidate,core_member_candidate,"1096,1207,1162,1243",1134.67655,1223.250674,109.532188,-10.126325,1.306819,44066,,0
R1A0016,30,isolated_small_atom,optional_support_candidate,"1042,1225,1054,1237",1044.863636,1229.681818,148.664566,-47.242214,-55.140771,2167,,0
R1A0017,30,isolated_small_atom,optional_support_candidate,"1066,1219,1084,1237",1071.125,1228.083333,131.853745,-38.953419,52.293988,2357,,0
R1A0018,31,unresolved_atom,optional_support_candidate,"1090,1135,1114,1147",1100.833333,1140.916667,197.019806,-15.652464,20.174764,5226,R1PT002,6
R1A0019,31,unresolved_atom,core_member_candidate,"1042,1135,1193,1243",1126.359387,1188.691188,147.800735,-11.369027,-49.848644,114744,R1PT003,3
R1A0020,31,endpoint_hotspot_candidate,core_member_candidate,"1042,1225,1060,1243",1048.8,1231.85,144.324707,-46.814278,-53.467986,3412,,0
R1A0021,31,endpoint_hotspot_candidate,core_member_candidate,"1066,1219,1084,1237",1076.1,1227.8,129.017639,-37.158676,66.278538,2494,,0
R1A0022,32,unresolved_atom,optional_support_candidate,"1090,1135,1114,1147",1103,1141.254237,196.122375,-15.071954,7.087632,4675,R1PT002,6
R1A0023,32,unresolved_atom,core_member_candidate,"1102,1135,1192,1249",1137.466071,1196.117857,136.606949,-7.692379,-79.117201,95838,R1PT003,3
R1A0024,32,isolated_small_atom,optional_support_candidate,"1048,1165,1072,1177",1060.347826,1171.73913,184.498245,-30.505907,-12.74674,1765,,0
R1A0025,32,unresolved_atom,core_member_candidate,"1072,1159,1096,1189",1084.527027,1178.297297,167.488281,-24.547531,-82.95912,5640,,0
