gt_pair_id,gt_instance_id,scene,sar_frame,physical_vehicle_id,evaluation_pool,pool_reason,identity_conflict,linked_response_unit_ids,linked_independent_geometry_ids,linked_independent_geometry_count,pair_confidence,identity_confidence,mask_class,mask_context
WGV35A_PAIR_0200,309,GM_RM019,0,PV_GM19_BLACK_SEDAN_NEAR_FIELD,PAIRING_REVIEW_ONLY,not_primary_exact_link_or_missing_positive_geometry_link,review_required,,,0,posthoc_only_pair,moderate,SAR_MASK_S2_CENTER_CENSORED,SAR_MASK_S2_CENTER_CENSORED;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;R2B_recovered_full_state_projects_outside_reconstructed_mask
WGV35A_PAIR_0201,311,GM_RM019,4,PV_GM19_BLACK_SEDAN_NEAR_FIELD,PAIRING_REVIEW_ONLY,not_primary_exact_link_or_missing_positive_geometry_link,review_required,,,0,posthoc_only_pair,moderate,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
WGV35A_PAIR_0202,314,GM_RM019,8,PV_GM19_BLACK_SEDAN_NEAR_FIELD,PAIRING_REVIEW_ONLY,not_primary_exact_link_or_missing_positive_geometry_link,review_required,,,0,posthoc_only_pair,moderate,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
WGV35A_PAIR_0203,315,GM_RM019,27,PV_GM19_RIGHT_DARK_FRAGMENT,PAIRING_REVIEW_ONLY,not_primary_exact_link_or_missing_positive_geometry_link,review_required,,,0,non_vehicle_pair,blocked,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
WGV35A_PAIR_0204,316,GM_RM019,27,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,high_confidence_pair_with_positive_response_unit_gt_links,false,R21B00001;R21B00002;R21B00005;R21B00006,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,4,high_confidence_pair,moderate,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
WGV35A_PAIR_0205,317,GM_RM019,31,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,high_confidence_pair_with_positive_response_unit_gt_links,false,R21B00024;R21B00026;R21B00027;R21B00028;R21B00029;R21B00030;R21B00031,GM019IG0040;GM019IG0041;GM019IG0043;GM019IG0056,4,high_confidence_pair,moderate,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
WGV35A_PAIR_0206,319,GM_RM019,77,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,high_confidence_pair_with_positive_response_unit_gt_links,false,R21B00070;R21B00071;R21B00072;R21B00074;R21B00075;R21B00076,GM019IG0124;GM019IG0126;GM019IG0133;GM019IG0170;GM019IG0194;GM019IG0209,6,high_confidence_pair,moderate,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
WGV35A_PAIR_0207,320,GM_RM019,81,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,high_confidence_pair_with_positive_response_unit_gt_links,false,R21B00100;R21B00102;R21B00103;R21B00104,GM019IG0154;GM019IG0155;GM019IG0166;GM019IG0181,4,high_confidence_pair,moderate,SAR_MASK_S2_CENTER_CENSORED,SAR_MASK_S2_CENTER_CENSORED;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;sar_bbox_partly_outside_reconstructed_mask
WGV35A_PAIR_0208,323,GM_RM019,212,PV_GM19_SILVER_MPV_NEAR_FIELD,PRIMARY_EXACT_LINK,high_confidence_pair_with_positive_response_unit_gt_links,false,R21B00105;R21B00106;R21B00107,GM019IG0002;GM019IG0012,2,high_confidence_pair,moderate,SAR_MASK_S2_CENTER_CENSORED,SAR_MASK_S2_CENTER_CENSORED;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;sar_bbox_partly_outside_reconstructed_mask
WGV35A_PAIR_0209,324,GM_RM019,238,PV_GM19_SILVER_MPV_NEAR_FIELD,PRIMARY_EXACT_LINK,high_confidence_pair_with_positive_response_unit_gt_links,false,R21B00132;R21B00133,GM019IG0050;GM019IG0054,2,high_confidence_pair,moderate,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;bottom_near_range_mask;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center
