case_id,experiment_id,method,physical_vehicle_id,failure_type,sar_frame,first_uncertain_frame,first_irrecoverable_frame,visual_png,chinese_judgement,notes
FAIL_001,ADJ_0204_TO_0205,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,bounded_hypothesis_not_ready,31,28,28,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_002,ADJ_0204_TO_0205,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,bounded_hypothesis_not_ready,31,28,28,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_003,ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,bounded_hypothesis_not_ready,77,32,59,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_004,ADJ_0205_TO_0206,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,bounded_hypothesis_not_ready,77,32,32,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_005,ADJ_0206_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,bounded_hypothesis_not_ready,81,78,78,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_006,ADJ_0206_TO_0207,C1D,PV_GM19_WHITE_SUV_NEAR_FIELD,bounded_hypothesis_not_ready,81,78,78,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_007,ADJ_0208_TO_0209,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,238,215,226,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_008,ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,238,213,226,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_009,ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,269,240,,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_010,ADJ_0209_TO_0210,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,269,239,239,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_011,ADJ_0210_TO_0211,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,273,270,272,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_012,ADJ_0210_TO_0211,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,273,270,270,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_013,ADJ_0211_TO_0212,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,288,274,278,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_014,ADJ_0211_TO_0212,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,288,274,278,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_015,ADJ_0212_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,290,289,289,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
FAIL_016,ADJ_0212_TO_0213,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,bounded_hypothesis_not_ready,290,289,289,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png,该窗口没有满足 A1.7R 全部条件的唯一紧凑因果分支；不能用任意分支覆盖或大包络覆盖作为主性能。,A1.7R keeps the failure bounded instead of converting ambiguity into a union prediction.
