window_id,unit_id,unit_type,source_file,source_item_id,evidence_summary,interpretation,boundary_effect,forbidden_use
WGV16W001,WGV16W001_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv,GM_RM011_WGV14T001,"Frames 0-25 keep one near-field white car through side-window, hood, and front-crop changes. M003 is overlapping/better primary boxes on the same vehicle, not a switch. M005 competitor is not folded into the thread.",optical layer only; does not prove SAR identity,keep accepted; usable only as optical identity constraint within this optical graph; SAR consumption remains blocked,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W001,WGV16W001_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM011_WGV14T001,class=optical_identity_constraint; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,prioritize independent SAR inspection within the relevant optical time span; use as a pre-SAR identity hypothesis only after SAR alignment is defined,may constrain optical identity continuity inside its accepted optical span; must stop at preserved optical boundaries,"do not generate SAR-ready labels, final boxes, GT boxes, revised annotations, selector/ranking output, or claim SAR identity from optical continuity alone"
WGV16W001,WGV16W001_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM011_WGV14T001,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,support=scene_level_posthoc_evidence_not_thread_aligned; decision=blocked_due_to_mapping_uncertainty,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W001,WGV16W001_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM011_WGV14T001,optical_strong_sar_posthoc_support_available_but_mapping_unresolved,posthoc_mechanism_review_only; candidate for later SAR-internal mapping design; no SAR-ready consumption,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W002,WGV16W002_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv,GM_RM011_WGV14T004,Frames 151-166 keep the same white car despite edge truncation and local competition. No subject jump is visible.,optical layer only; does not prove SAR identity,keep accepted; optical identity constraint within this optical graph only,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W002,WGV16W002_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM011_WGV14T004,class=optical_identity_constraint; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,prioritize independent SAR inspection within the relevant optical time span; use as a pre-SAR identity hypothesis only after SAR alignment is defined,may constrain optical identity continuity inside its accepted optical span; must stop at preserved optical boundaries,"do not generate SAR-ready labels, final boxes, GT boxes, revised annotations, selector/ranking output, or claim SAR identity from optical continuity alone"
WGV16W002,WGV16W002_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM011_WGV14T004,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,support=scene_level_posthoc_evidence_not_thread_aligned; decision=blocked_due_to_mapping_uncertainty,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W002,WGV16W002_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM011_WGV14T004,optical_strong_sar_posthoc_support_available_but_mapping_unresolved,posthoc_mechanism_review_only; candidate for later SAR-internal mapping design; no SAR-ready consumption,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W003,WGV16W003_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv,GM_RM011_WGV14T005,"Frames 231-288 follow one right-side near-field white car under the overpass through partial crops and missing-edge fallback frames. A left white SUV competitor appears near 286-288, so the long thread remains visually stable only because M016 is kept as a hard boundary.",optical layer only; does not prove SAR identity,keep accepted but conservative: search-hint only until a separate SAR consumption protocol exists,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W003,WGV16W003_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM011_WGV14T005,class=optical_search_hint_only; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof"
