sar_frame,pair_id,axis_unsigned_deg,axis_signed_for_registration_deg,axis_sign_flip_applied,axis_continuity_residual_deg,axis_reliability,registration_axis_status,notes
315,WGV35A_PAIR_0003,4.415781,4.415781,false,0,HIGH,PASS,directed registration axis only; not front/rear yaw
317,WGV35A_PAIR_0006,0.838679,0.838679,false,3.577102,HIGH,PASS,directed registration axis only; not front/rear yaw
319,WGV35A_PAIR_0007,2.172565,2.172565,false,1.333886,HIGH,PASS,directed registration axis only; not front/rear yaw
321,WGV35A_PAIR_0010,2.172565,2.172565,false,0,HIGH,PASS,directed registration axis only; not front/rear yaw
323,WGV35A_PAIR_0012,0.921703,0.921703,false,1.250862,HIGH,PASS,directed registration axis only; not front/rear yaw
325,WGV35A_PAIR_0014,0.338618,0.338618,false,0.583085,MEDIUM,PASS,directed registration axis only; not front/rear yaw
327,WGV35A_PAIR_0016,179.544664,-0.455336,true,0.793954,HIGH,PASS,directed registration axis only; not front/rear yaw
331,WGV35A_PAIR_0021,179.351546,-0.648454,true,0.193118,MEDIUM,PASS,directed registration axis only; not front/rear yaw
332,WGV35A_PAIR_0023,0.891219,0.891219,false,1.539673,MEDIUM,PASS,directed registration axis only; not front/rear yaw
333,WGV35A_PAIR_0025,0.622526,0.622526,false,0.268693,MEDIUM,PASS,directed registration axis only; not front/rear yaw
334,WGV35A_PAIR_0027,179.666452,-0.333548,true,0.956074,MEDIUM,PASS,directed registration axis only; not front/rear yaw
335,WGV35A_PAIR_0030,179.47096,-0.52904,true,0.195492,MEDIUM,PASS,directed registration axis only; not front/rear yaw
336,WGV35A_PAIR_0033,0.135745,0.135745,false,0.664785,MEDIUM,PASS,directed registration axis only; not front/rear yaw
337,WGV35A_PAIR_0035,179.754456,-0.245544,true,0.381289,HIGH,PASS,directed registration axis only; not front/rear yaw
338,WGV35A_PAIR_0038,179.513022,-0.486978,true,0.241434,HIGH,PASS,directed registration axis only; not front/rear yaw
339,WGV35A_PAIR_0041,179.408812,-0.591188,true,0.10421,HIGH,PASS,directed registration axis only; not front/rear yaw
340,WGV35A_PAIR_0044,179.701939,-0.298061,true,0.293127,MEDIUM,PASS,directed registration axis only; not front/rear yaw
341,WGV35A_PAIR_0048,0.708955,0.708955,false,1.007016,MEDIUM,PASS,directed registration axis only; not front/rear yaw
342,WGV35A_PAIR_0051,0.246471,0.246471,false,0.462484,HIGH,PASS,directed registration axis only; not front/rear yaw
343,WGV35A_PAIR_0053,0.41966,0.41966,false,0.173189,HIGH,PASS,directed registration axis only; not front/rear yaw
344,WGV35A_PAIR_0056,0.762201,0.762201,false,0.342541,HIGH,PASS,directed registration axis only; not front/rear yaw
345,WGV35A_PAIR_0060,0.875059,0.875059,false,0.112858,HIGH,PASS,directed registration axis only; not front/rear yaw
346,WGV35A_PAIR_0063,1.157978,1.157978,false,0.282919,HIGH,PASS,directed registration axis only; not front/rear yaw
347,WGV35A_PAIR_0065,0.828961,0.828961,false,0.329017,HIGH,PASS,directed registration axis only; not front/rear yaw
348,WGV35A_PAIR_0068,0.992332,0.992332,false,0.163371,HIGH,PASS,directed registration axis only; not front/rear yaw
349,WGV35A_PAIR_0073,1.272411,1.272411,false,0.280079,HIGH,PASS,directed registration axis only; not front/rear yaw
350,WGV35A_PAIR_0076,1.422754,1.422754,false,0.150343,HIGH,PASS,directed registration axis only; not front/rear yaw
351,WGV35A_PAIR_0079,1.575819,1.575819,false,0.153065,MEDIUM,PASS,directed registration axis only; not front/rear yaw
352,WGV35A_PAIR_0082,1.172808,1.172808,false,0.403011,MEDIUM,PASS,directed registration axis only; not front/rear yaw
353,WGV35A_PAIR_0085,0.820302,0.820302,false,0.352506,HIGH,PASS,directed registration axis only; not front/rear yaw
354,WGV35A_PAIR_0087,0.331072,0.331072,false,0.48923,HIGH,PASS,directed registration axis only; not front/rear yaw
355,WGV35A_PAIR_0090,179.301164,-0.698836,true,1.029908,HIGH,PASS,directed registration axis only; not front/rear yaw
356,WGV35A_PAIR_0094,178.699069,-1.300931,true,0.602095,HIGH,PASS,directed registration axis only; not front/rear yaw
357,WGV35A_PAIR_0097,178.743673,-1.256327,true,0.044604,HIGH,PASS,directed registration axis only; not front/rear yaw
358,WGV35A_PAIR_0100,178.979816,-1.020184,true,0.236143,HIGH,PASS,directed registration axis only; not front/rear yaw
359,WGV35A_PAIR_0103,178.867161,-1.132839,true,0.112655,HIGH,PASS,directed registration axis only; not front/rear yaw
360,WGV35A_PAIR_0106,178.700265,-1.299735,true,0.166896,HIGH,PASS,directed registration axis only; not front/rear yaw
361,WGV35A_PAIR_0109,179.31495,-0.68505,true,0.614685,HIGH,PASS,directed registration axis only; not front/rear yaw
362,WGV35A_PAIR_0112,179.896588,-0.103412,true,0.581638,HIGH,PASS,directed registration axis only; not front/rear yaw
363,WGV35A_PAIR_0115,0.564499,0.564499,false,0.667911,HIGH,PASS,directed registration axis only; not front/rear yaw
364,WGV35A_PAIR_0118,0.377935,0.377935,false,0.186564,HIGH,PASS,directed registration axis only; not front/rear yaw
365,WGV35A_PAIR_0121,0.586197,0.586197,false,0.208262,HIGH,PASS,directed registration axis only; not front/rear yaw
366,WGV35A_PAIR_0123,0.45964,0.45964,false,0.126557,HIGH,PASS,directed registration axis only; not front/rear yaw
367,WGV35A_PAIR_0126,1.427324,1.427324,false,0.967684,HIGH,PASS,directed registration axis only; not front/rear yaw
368,WGV35A_PAIR_0130,2.168211,2.168211,false,0.740887,MEDIUM,PASS,directed registration axis only; not front/rear yaw
369,WGV35A_PAIR_0133,2.180427,2.180427,false,0.012216,MEDIUM,PASS,directed registration axis only; not front/rear yaw
370,WGV35A_PAIR_0135,2.514032,2.514032,false,0.333605,MEDIUM,PASS,directed registration axis only; not front/rear yaw
371,WGV35A_PAIR_0138,2.290055,2.290055,false,0.223977,MEDIUM,PASS,directed registration axis only; not front/rear yaw
372,WGV35A_PAIR_0140,1.502911,1.502911,false,0.787144,MEDIUM,PASS,directed registration axis only; not front/rear yaw
373,WGV35A_PAIR_0143,1.029869,1.029869,false,0.473042,MEDIUM,PASS,directed registration axis only; not front/rear yaw
374,WGV35A_PAIR_0146,0.476492,0.476492,false,0.553377,MEDIUM,PASS,directed registration axis only; not front/rear yaw
375,WGV35A_PAIR_0149,179.883721,-0.116279,true,0.592771,MEDIUM,PASS,directed registration axis only; not front/rear yaw
376,WGV35A_PAIR_0152,179.544627,-0.455373,true,0.339094,MEDIUM,PASS,directed registration axis only; not front/rear yaw
377,WGV35A_PAIR_0156,179.088276,-0.911724,true,0.456351,MEDIUM,PASS,directed registration axis only; not front/rear yaw
378,WGV35A_PAIR_0159,178.46508,-1.53492,true,0.623196,MEDIUM,PASS,directed registration axis only; not front/rear yaw
379,WGV35A_PAIR_0162,178.270765,-1.729235,true,0.194315,MEDIUM,PASS,directed registration axis only; not front/rear yaw
380,WGV35A_PAIR_0165,177.441447,-2.558553,true,0.829318,MEDIUM,PASS,directed registration axis only; not front/rear yaw
381,WGV35A_PAIR_0168,177.189782,-2.810218,true,0.251665,MEDIUM,PASS,directed registration axis only; not front/rear yaw
382,WGV35A_PAIR_0170,177.070722,-2.929278,true,0.11906,MEDIUM,PASS,directed registration axis only; not front/rear yaw
383,WGV35A_PAIR_0172,177.18545,-2.81455,true,0.114728,MEDIUM,PASS,directed registration axis only; not front/rear yaw
384,WGV35A_PAIR_0175,177.425649,-2.574351,true,0.240199,MEDIUM,PASS,directed registration axis only; not front/rear yaw
385,WGV35A_PAIR_0178,177.815862,-2.184138,true,0.390213,MEDIUM,PASS,directed registration axis only; not front/rear yaw
386,WGV35A_PAIR_0180,178.378874,-1.621126,true,0.563012,MEDIUM,PASS,directed registration axis only; not front/rear yaw
387,WGV35A_PAIR_0181,178.837497,-1.162503,true,0.458623,MEDIUM,PASS,directed registration axis only; not front/rear yaw
388,WGV35A_PAIR_0183,178.912559,-1.087441,true,0.075062,LOW,FAIL,directed registration axis only; not front/rear yaw
389,WGV35A_PAIR_0185,179.091584,-0.908416,true,0.254087,MEDIUM,PASS,directed registration axis only; not front/rear yaw
390,WGV35A_PAIR_0188,179.492196,-0.507804,true,0.400612,MEDIUM,PASS,directed registration axis only; not front/rear yaw
391,WGV35A_PAIR_0189,179.622805,-0.377195,true,0.130609,MEDIUM,PASS,directed registration axis only; not front/rear yaw
392,WGV35A_PAIR_0192,179.960672,-0.039328,true,0.337867,MEDIUM,PASS,directed registration axis only; not front/rear yaw
393,WGV35A_PAIR_0193,0.422341,0.422341,false,0.461669,MEDIUM,PASS,directed registration axis only; not front/rear yaw
394,WGV35A_PAIR_0195,0.889694,0.889694,false,0.467353,MEDIUM,PASS,directed registration axis only; not front/rear yaw
