family_id,sar_frame,gt_exact_frame_available,family_common_core_iou,family_common_core_gt_coverage,family_common_core_prediction_purity,family_conservative_iou,family_conservative_gt_coverage,family_conservative_prediction_purity,family_best_member_iou_eval_only,family_worst_member_iou_eval_only,family_member_iou_range,family_eval_state,raw_judgement,assisted_judgement
R21R1F00001,27,true,0.201617,0.215821,0.753903,,,,0.313046,0.201617,0.201617-0.313046,family_level_single_bbox_not_available,background,background_or_misled
R21R1F00002,27,true,0.030536,0.030536,1,0.030536,0.030536,1,0.030536,0.030536,0.030536-0.030536,evaluated_exact_gt,vehicle_response,vehicle_response
R21R1F00003,27,true,0.000177,0.000179,0.015611,0.000177,0.000179,0.015611,0.000177,0.000177,0.000177-0.000177,evaluated_exact_gt,unresolved,unresolved
R21R1F00004,27,true,0,0,0,0,0,0,0,0,0-0,evaluated_exact_gt,unresolved,unresolved
R21R1F00005,27,true,0.003817,0.003817,1,0.003817,0.003817,1,0.003817,0.003817,0.003817-0.003817,evaluated_exact_gt,unresolved,unresolved
R21R1F00006,28,false,,,,,,,,,,not_evaluable_no_exact_gt,background,background_or_misled
R21R1F00007,28,false,,,,,,,,,,not_evaluable_no_exact_gt,vehicle_response,vehicle_response
R21R1F00008,28,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
R21R1F00009,28,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
R21R1F00010,29,false,,,,,,,,,,not_evaluable_no_exact_gt,background,background_or_misled
R21R1F00011,29,false,,,,,,,,,,not_evaluable_no_exact_gt,vehicle_response,vehicle_response
R21R1F00012,29,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
R21R1F00013,30,false,,,,,,,,,,not_evaluable_no_exact_gt,background,background_or_misled
R21R1F00014,30,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
R21R1F00015,30,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
R21R1F00016,30,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
R21R1F00017,30,false,,,,,,,,,,not_evaluable_no_exact_gt,unresolved,unresolved
