event_id,scene_id,source_fragment_id,frame_start,frame_end,event_type,reason_codes,from_source_detection_id,to_source_detection_id,from_candidate_node_id,to_candidate_node_id,dx_per_frame_px,normalized_dx_by_box_width,area_ratio,review_required,sar_ready,note
GM_RM011_WGV12E001,GM_RM011,GM_RM011_WG11F002,9,10,spatial_jump_target_family_break,hard_center_offset_jump,GM_RM011_000009_001,GM_RM011_000010_001,GM_RM011_Y26N002,GM_RM011_Y26N002,184.2,0.310,1.066,yes,no / blocked,target-family split event;diagnostic only
GM_RM011_WGV12E002,GM_RM011,GM_RM011_WG11F005,26,30,switch_or_context_event,hard_center_offset_jump;hard_normalized_offset_jump;review_area_ratio_jump;back_and_forth_motion;spatial_bin_transition;multicar_contrast_undercovered;not_vehicle_identity_input,,,,,,,,yes,no / blocked,fragment routed out of vehicle identity review
GM_RM011_WGV12E003,GM_RM011,GM_RM011_WG11F008,138,150,switch_or_context_event,multicar_contrast_undercovered;not_vehicle_identity_input,,,,,,,,yes,no / blocked,fragment routed out of vehicle identity review
GM_RM011_WGV12E004,GM_RM011,GM_RM011_WG11F011,232,233,spatial_jump_target_family_break,hard_center_offset_jump,GM_RM011_000232_001,GM_RM011_000233_001,GM_RM011_Y26N007,GM_RM011_Y26N007,196.4,0.326,1.041,yes,no / blocked,target-family split event;diagnostic only
GM_RM011_WGV12E005,GM_RM011,GM_RM011_WG11F013,249,250,spatial_jump_target_family_break,hard_center_offset_jump,GM_RM011_000249_001,GM_RM011_000250_001,GM_RM011_Y26N009,GM_RM011_Y26N009,177.5,0.287,1.041,yes,no / blocked,target-family split event;diagnostic only
GM_RM011_WGV12E006,GM_RM011,GM_RM011_WG11F013,250,251,spatial_jump_target_family_break,hard_center_offset_jump,GM_RM011_000250_001,GM_RM011_000251_001,GM_RM011_Y26N009,GM_RM011_Y26N009,176.9,0.286,1.003,yes,no / blocked,target-family split event;diagnostic only
GM_RM011_WGV12E007,GM_RM011,GM_RM011_WG11F013,259,260,spatial_jump_target_family_break,hard_center_offset_jump,GM_RM011_000259_001,GM_RM011_000260_001,GM_RM011_Y26N009,GM_RM011_Y26N009,127.6,0.212,1.041,yes,no / blocked,target-family split event;diagnostic only
GM_RM011_WGV12E008,GM_RM011,GM_RM011_WG11F014,266,269,sequence_gap_review_event,sequence_gap_over_2,GM_RM011_000266_001,GM_RM011_000269_001,GM_RM011_Y26N009,GM_RM011_Y26N009,26.1,0.158,1.534,yes,no / blocked,target-family split event;diagnostic only
GM_RM011_WGV12E009,GM_RM011,GM_RM011_WG11F017,283,292,switch_or_context_event,not_vehicle_identity_input,,,,,,,,yes,no / blocked,fragment routed out of vehicle identity review
GM_RM017_WGV12E001,GM_RM017,GM_RM017_WG11F002,148,149,class_switch_target_family_break,class_switch;hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000148_001,GM_RM017_000149_001,GM_RM017_Y26N003,GM_RM017_Y26N003,370.7,2.230,1.373,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E002,GM_RM017,GM_RM017_WG11F002,155,156,class_switch_target_family_break,class_switch;hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000155_001,GM_RM017_000156_001,GM_RM017_Y26N003,GM_RM017_Y26N003,455.8,1.738,1.111,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E003,GM_RM017,GM_RM017_WG11F002,157,158,class_switch_target_family_break,class_switch;hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000157_001,GM_RM017_000158_001,GM_RM017_Y26N003,GM_RM017_Y26N003,567.4,3.300,1.964,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E004,GM_RM017,GM_RM017_WG11F003,159,163,switch_or_context_event,class_switch;hard_center_offset_jump;hard_normalized_offset_jump;review_area_ratio_jump;back_and_forth_motion;spatial_bin_transition;source_detection_reused_by_nodes;multicar_contrast_undercovered;not_vehicle_identity_input,,,,,,,,yes,no / blocked,fragment routed out of vehicle identity review
GM_RM017_WGV12E005,GM_RM017,GM_RM017_WG11F004,168,169,spatial_jump_target_family_break,hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000168_001,GM_RM017_000169_001,GM_RM017_Y26N004,GM_RM017_Y26N004,279.9,0.959,1.401,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E006,GM_RM017,GM_RM017_WG11F004,173,174,spatial_jump_target_family_break,hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000173_001,GM_RM017_000174_001,GM_RM017_Y26N004,GM_RM017_Y26N004,270.5,0.862,1.469,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E007,GM_RM017,GM_RM017_WG11F004,175,176,spatial_jump_target_family_break,hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000175_001,GM_RM017_000176_001,GM_RM017_Y26N004,GM_RM017_Y26N004,298.8,1.152,1.217,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E008,GM_RM017,GM_RM017_WG11F004,181,182,spatial_jump_target_family_break,hard_center_offset_jump;hard_normalized_offset_jump;spatial_bin_transition,GM_RM017_000181_001,GM_RM017_000182_001,GM_RM017_Y26N004,GM_RM017_Y26N004,215.8,0.888,1.855,yes,no / blocked,target-family split event;diagnostic only
GM_RM017_WGV12E009,GM_RM017,GM_RM017_WG11F005,213,214,size_jump_target_family_break,hard_area_ratio_jump,GM_RM017_000213_001,GM_RM017_000214_001,GM_RM017_Y26N005,GM_RM017_Y26N005,10.0,0.264,2.641,yes,no / blocked,target-family split event;diagnostic only
