pair_id,sar_frame,split,selected_center_x,selected_center_y,center_selection_status,delta_frame,velocity_px_per_sar_frame,raw_delta_heading_directed_deg,motion_heading_directed_deg,history_only_heading_directed_deg,local_quadratic_heading_directed_deg,median_displacement_heading_directed_deg,fit_residual_px,support_frame_count,trajectory_gap_size,local_displacement_sign_stability,heading_confidence,threshold_source,diagnostic_scope
WGV35A_PAIR_0003,315,calibration,790.875,940.529,UNIQUE_GT_CENTER,,6.034914,,4.415781,4.415781,-1.760032,0.952063,2.747752,5,0,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0006,317,calibration,796.4825,941.214,UNIQUE_GT_CENTER,2,6.318055,6.964621,0.838679,4.415781,6.152299,-1.388177,3.138462,6,2,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0007,319,calibration,813.8,939.398,UNIQUE_GT_CENTER,2,6.126931,-5.986443,2.172565,-2.824385,2.147296,0.952063,3.158538,7,2,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0010,321,calibration,826.9845,944.068,UNIQUE_GT_CENTER,2,6.126931,19.504339,2.172565,4.006796,2.172565,0.952063,3.158538,7,2,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0012,323,calibration,835.794,943.7485,UNIQUE_GT_CENTER,2,6.276623,-2.077074,0.921703,4.415781,0.846845,-1.388177,3.166957,8,2,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0014,325,calibration,853.0945,939.369,UNIQUE_GT_CENTER,2,6.564818,-14.205604,0.338618,0.279871,0.510659,-4.166498,3.01123,9,2,1,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0016,327,calibration,860.0895,944.6445,UNIQUE_GT_CENTER,2,6.580243,37.022925,-0.455336,2.79477,-0.262609,-1.388177,3.479371,10,2,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0021,331,calibration,890.023,941.182,UNIQUE_GT_CENTER,4,6.783021,-6.598255,-0.648454,-1.127715,-0.657189,6.438597,3.006006,12,4,0.909091,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0023,332,calibration,898.926,944.3575,UNIQUE_GT_CENTER,1,6.743539,19.630175,0.891219,2.880538,0.585771,13.570976,3.174502,12,1,0.909091,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0025,333,calibration,903.311,939.939,UNIQUE_GT_CENTER,1,6.654384,-45.218027,0.622526,0.498164,0.578221,12.439703,3.206671,13,1,0.916667,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
