from_frame,to_frame,split_from,split_to,delta_aspect_deg,delta_peak_body_long_m,delta_energy_centroid_body_long_m,delta_near_far_log_ratio,delta_component_layout_axis_deg,component_event_types,high_energy_sliding_class,causal_locality
315,317,calibration,calibration,-1.546591,0.212739,0.143133,0.026748,-1.345282,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
317,319,calibration,calibration,4.075109,-0.217031,0.013287,0.005916,-2.360758,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
319,321,calibration,calibration,-0.933238,0.011149,-0.091153,-0.003567,1.778686,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
321,323,calibration,calibration,1.920575,0.05412,0.111043,0.013325,0.753641,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
323,325,calibration,calibration,3.69021,-3.84815,-0.932661,0.004757,0.775796,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
325,327,calibration,calibration,-0.35486,3.885897,1.063418,0.011774,-0.303309,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
327,331,calibration,calibration,2.375757,-0.077598,-0.165556,0.007487,-0.604425,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
331,332,calibration,calibration,-2.406433,-0.468745,-0.114169,-0.027951,-173.929572,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
332,333,calibration,calibration,1.458482,0.045707,0.008593,0.004213,29.978245,COMPONENT_APPEARED;COMPONENT_CONTINUED,SMOOTH_GRADUAL_CHANGE,adjacent_or_nearby_frames_only
333,334,calibration,calibration,2.386207,0.074238,0.038386,0.003421,145.127649,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
334,335,calibration,calibration,2.718701,0.091197,0.037849,0.010354,-175.105894,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
335,336,calibration,calibration,0.209292,-1.720867,-0.417533,-0.099914,0,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
336,337,calibration,calibration,1.266435,-1.889355,-0.494265,0.13426,175.64423,COMPONENT_APPEARED;COMPONENT_DISAPPEARED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
337,338,calibration,calibration,1.027647,0.081975,0.067272,-0.001407,0.644414,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
338,339,calibration,calibration,-0.283731,3.719344,0.888735,0.023051,-1.288403,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
339,340,calibration,calibration,-0.040012,-0.858008,-0.212205,-0.052465,-10.102381,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
340,341,calibration,calibration,0.051931,0.506491,0.060724,0.001114,-164.89786,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
341,342,calibration,calibration,1.400454,0.396693,0.266617,0.059949,175.020209,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED,PIECEWISE_GRADUAL_CHANGE,adjacent_or_nearby_frames_only
342,343,calibration,calibration,0.578174,-0.095515,0.051589,-0.011879,0.58467,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
