hypothesis_id,source_auto_node_id,response_thread_id,intersection_component_count,thread_start,thread_end,thread_status,thread_duration_frames,thread_azimuth_min,thread_azimuth_max,thread_radial_min,thread_radial_max,matched_control_available_ratio,mean_spatial_control_ratio,mean_temporal_control_ratio
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000001,2,0,2,transient_unlinked,3,-55,-44,196,204,1,1.923504,2.160017
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000002,1,0,0,transient_unlinked,1,-48,-44,68,72,1,0.902065,0.742807
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000003,1,0,0,transient_unlinked,1,-40,-38,160,164,1,1.441056,2.377419
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000004,1,0,0,transient_unlinked,1,-40,-35,184,188,1,1.275432,1.746596
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000005,2,0,1,transient_unlinked,2,-36,-21,56,72,1,1.258319,0.705446
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000006,1,0,0,transient_unlinked,1,-35,-29,112,124,1,1.489319,1.196202
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000007,1,0,0,transient_unlinked,1,-34,-31,184,188,1,0.968489,2.121564
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000008,1,0,0,transient_unlinked,1,-26,-20,176,180,1,1.255052,1.8
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000009,2,0,2,transient_unlinked,3,-23,-11,100,120,1,1.342834,1.125289
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000010,3,0,4,dynamic_local_response_mixed,5,-22,-8,52,72,1,1.492212,0.762831
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000011,75,0,33,dynamic_local_response_mixed,34,-26,26,40,80,1,1.29919,1.13716
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000012,8,0,10,dynamic_local_response_mixed,11,-14,15,100,116,1,1.140065,1.173774
WGV33B_H001,AUTO_GM_RM011_0001,WGV33D_THREAD_000013,34,0,20,dynamic_local_response_mixed,21,5,34,56,84,1,1.117296,1.300641
