independent_geometry_id,response_unit_id,sar_frame,measured_range_p80_width_m,measured_azimuth_p80_width_m,vehicle_projection_envelope_status,aspect_angle_candidate_deg,aspect_angle_compatible_interval_deg,best_scale_length_m,best_scale_width_m,projection_residual_m,required_missing_support_range_m,required_missing_support_azimuth_m,required_extra_spread_range_m,required_extra_spread_azimuth_m,response_axis_aspect_angle_error_deg,aspect_angle_identifiability_status,aspect_angle_compatible_segment_count,aspect_angle_compatible_total_span_deg,equivalent_minimum_count,vehicle_scale_semantic_note_cn
GM019IG0001,R21B00042,34,0.680123,0.79062,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.580925,0.719877,2.20938,0,0,39.131911,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0002,R21B00105,212,3.584525,3.767138,WITHIN_VEHICLE_PROJECTION_ENVELOPE,56,8-83,3,2.3,0.00169,0,0.006119,0.00016,0,9.607673,AXIS_NOT_RESOLVED,1,75,21,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0003,R21B00109,213,0.72624,0.807141,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.573508,0.67376,2.192858,0,0,18.75004,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0004,R21B00112,216,3.405152,3.547127,WITHIN_VEHICLE_PROJECTION_ENVELOPE,52,6-85,3,2,0.012857,0.017854,0.048229,0,0,10.556369,AXIS_NOT_RESOLVED,1,79,20,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0005,R21B00108,213,3.143924,3.751555,WITHIN_VEHICLE_PROJECTION_ENVELOPE,68,8-87,3.2,2.1,0.00071,0.001903,0.002108,0,0,14.83526,AXIS_NOT_RESOLVED,1,79,26,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0006,R21B00111,213,3.183541,3.744699,WITHIN_VEHICLE_PROJECTION_ENVELOPE,64,8-87,3.2,2,0.00468,0.016834,0.008184,0,0,18.912556,AXIS_NOT_RESOLVED,1,79,26,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0007,R21B00049,39,0.713312,0.781244,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.580647,0.686688,2.218756,0,0,37.208438,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0008,R21B00116,220,0.575314,0.624388,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.628671,0.824686,2.375612,0,0,26.227187,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0009,R21B00057,40,1.229098,1.972315,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.26045,0.170902,1.027685,0,0,24.153615,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0010,R21B00117,224,2.978485,2.917057,WITHIN_VEHICLE_PROJECTION_ENVELOPE,42,1-89,3,1.4,0.057193,0.187732,0.130738,0,0,15.835583,AXIS_NOT_RESOLVED,1,88,20,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
