plan_region_id,gt_pair_id,template_family,layout_strategy,selected_component_count,selected_energy_fraction,axis_image_deg,axis_to_range_signed_deg,axis_to_range_acute_deg,axis_ratio,axis_status,axis_to_gt_long_axis_error_deg
WGV35A_PAIR_0204_S2A_001,WGV35A_PAIR_0204,gt_original,DOMINANT_ONLY,1,0.846457,24.760224,-29.788739,29.788739,1.671882,AXIS_RESOLVED,24.760224
WGV35A_PAIR_0204_S2A_001,WGV35A_PAIR_0204,gt_original,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.846457,24.760224,-29.788739,29.788739,1.671882,AXIS_RESOLVED,24.760224
WGV35A_PAIR_0204_S2A_001,WGV35A_PAIR_0204,gt_original,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.90992,160.830473,-73.718491,73.718491,191213782.559007,AXIS_COMPONENT_LAYOUT_RESOLVED,19.169527
WGV35A_PAIR_0204_S2A_002,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.830007,28.402034,-26.147242,26.147242,1.577223,AXIS_RESOLVED,28.402034
WGV35A_PAIR_0204_S2A_002,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.830007,28.402034,-26.147242,26.147242,1.577223,AXIS_RESOLVED,28.402034
WGV35A_PAIR_0204_S2A_002,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.89748,163.288717,-71.260558,71.260558,,AXIS_COMPONENT_LAYOUT_RESOLVED,16.711283
WGV35A_PAIR_0204_S2A_003,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.858321,23.735762,-30.8132,30.8132,1.746839,AXIS_RESOLVED,23.735762
WGV35A_PAIR_0204_S2A_003,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.858321,23.735762,-30.8132,30.8132,1.746839,AXIS_RESOLVED,23.735762
WGV35A_PAIR_0204_S2A_003,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.919121,158.661838,-75.887124,75.887124,,AXIS_COMPONENT_LAYOUT_RESOLVED,21.338162
WGV35A_PAIR_0204_S2A_004,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.83254,28.377948,-24.331382,24.331382,1.609378,AXIS_RESOLVED,28.377948
WGV35A_PAIR_0204_S2A_004,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.83254,28.377948,-24.331382,24.331382,1.609378,AXIS_RESOLVED,28.377948
WGV35A_PAIR_0204_S2A_004,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.900657,162.339115,-70.370216,70.370216,199060135.079331,AXIS_COMPONENT_LAYOUT_RESOLVED,17.660885
WGV35A_PAIR_0204_S2A_005,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.857066,21.740772,-34.64813,34.64813,1.69539,AXIS_RESOLVED,21.740772
WGV35A_PAIR_0204_S2A_005,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.857066,21.740772,-34.64813,34.64813,1.69539,AXIS_RESOLVED,21.740772
WGV35A_PAIR_0204_S2A_005,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.916861,159.376916,-77.011987,77.011987,,AXIS_COMPONENT_LAYOUT_RESOLVED,20.623084
WGV35A_PAIR_0204_S2A_006,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.809444,34.18496,-20.364328,20.364328,1.576937,AXIS_RESOLVED,34.18496
WGV35A_PAIR_0204_S2A_006,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.809444,34.18496,-20.364328,20.364328,1.576937,AXIS_RESOLVED,34.18496
WGV35A_PAIR_0204_S2A_006,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.882182,166.043512,-68.505776,68.505776,,AXIS_COMPONENT_LAYOUT_RESOLVED,13.956488
WGV35A_PAIR_0204_S2A_007,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.871277,23.232412,-31.316549,31.316549,1.73664,AXIS_RESOLVED,23.232412
WGV35A_PAIR_0204_S2A_007,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.871277,23.232412,-31.316549,31.316549,1.73664,AXIS_RESOLVED,23.232412
WGV35A_PAIR_0204_S2A_007,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.926983,156.965473,-77.583487,77.583487,174170069.429763,AXIS_COMPONENT_LAYOUT_RESOLVED,23.034527
WGV35A_PAIR_0204_S2A_008,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.815388,32.143174,-18.730309,18.730309,1.585711,AXIS_RESOLVED,32.143174
WGV35A_PAIR_0204_S2A_008,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.815388,32.143174,-18.730309,18.730309,1.585711,AXIS_RESOLVED,32.143174
