scene,independent_geometry_id,response_unit_id,member_response_unit_count,member_response_unit_ids,sar_frame,sar_gray_image_relpath,core_bbox,conservative_bbox,calibration_status,max_range_m,radial_grid_spacing_m_per_px,sar_fan_center_x_px,sar_fan_center_y_px,gt_file_opened,paired_annotations_opened,mask_audit_opened,generation_input_scope,response_center_x,response_center_y,absolute_range_m,range_unit_x,range_unit_y,azimuth_unit_x,azimuth_unit_y,background_mode,frozen_background_estimate,measured_background_subtracted_energy,measured_inner_energy_density,measured_outer_band_energy_density,measured_inner_outer_density_ratio,measured_component_count,measured_largest_component_pixels,measured_range_p50_width_m,measured_range_p80_width_m,measured_range_p90_width_m,measured_azimuth_p50_width_m,measured_azimuth_p80_width_m,measured_azimuth_p90_width_m,principal_axis_major_std_px,principal_axis_minor_std_px,principal_axis_ratio,response_axis_vector_x,response_axis_vector_y,response_axis_image_deg,response_axis_to_range_signed_deg,response_axis_to_range_acute_deg,response_axis_to_azimuth_acute_deg,range_azimuth_acute_complement_error_deg,axis_orientation_status,threshold_component_identity_status
GM_RM019,GM019IG0001,R21B00042,1,R21B00042,34,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000034.png,"952,1153,988,1171","952,1153,988,1171",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,970,1162,7.486906,-0.737287,-0.675579,0.675579,-0.737287,BASE_REGION_FROZEN_BACKGROUND,33,14536,9.983516,3.003496,3.323965,32,929,0.355749,0.680123,0.823942,0.453384,0.79062,0.936098,11.470247,5.702519,2.011435,-0.989351,0.145546,171.631075,-50.868089,50.868089,39.131911,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0002,R21B00105,2,R21B00105;R21B00107,212,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000212.png,"957,1126,1132,1240","957,1126,1132,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1044.5,1183,5.513475,-0.595813,-0.803123,0.803123,-0.595813,BASE_REGION_FROZEN_BACKGROUND,46,391653,9.593695,7.09971,1.35128,971,20104,1.937535,3.584525,4.143969,2.219607,3.767138,4.274624,48.549963,43.629972,1.112766,-0.485375,0.874306,119.037065,65.607673,65.607673,24.392327,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0003,R21B00109,1,R21B00109,213,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000213.png,"963,1150,987,1180","963,1150,987,1180",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,975,1165,7.315595,-0.734048,-0.679097,0.679097,-0.734048,BASE_REGION_FROZEN_BACKGROUND,48,14584,10.016484,6.87123,1.457743,18,1024,0.395919,0.72624,0.922785,0.496135,0.807141,0.946455,10.261445,9.484257,1.081945,-0.407105,0.913381,114.023098,71.24996,71.24996,18.75004,0,AXIS_NEAR_ISOTROPIC,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0004,R21B00112,2,R21B00112;R21B00114,216,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000216.png,"975,1126,1131,1240","975,1126,1131,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1053,1183,5.365453,-0.564724,-0.82528,0.82528,-0.564724,BASE_REGION_FROZEN_BACKGROUND,46,357832,10.170305,7.742754,1.313526,737,18502,1.799747,3.405152,3.988752,1.97943,3.547127,4.095837,44.387368,40.821588,1.08735,-0.472139,0.881524,118.173241,62.556369,62.556369,27.443631,0,AXIS_NEAR_ISOTROPIC,COMPONENT_SPLIT_OR_MERGE
GM_RM019,GM019IG0005,R21B00108,1,R21B00108,213,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000213.png,"981,1126,1132,1240","981,1126,1132,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1056.5,1183,5.306864,-0.551173,-0.834391,0.834391,-0.551173,BASE_REGION_FROZEN_BACKGROUND,47,332737,9.879951,7.101538,1.391241,806,17807,1.697629,3.143924,3.705459,2.092592,3.751555,4.254936,46.170198,38.563715,1.197245,-0.759132,0.650937,139.387741,82.83526,82.83526,7.16474,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0006,R21B00111,1,R21B00111,213,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000213.png,"981,1126,1132,1246","981,1126,1132,1246",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1056.5,1186,5.232004,-0.559059,-0.829128,0.829128,-0.559059,BASE_REGION_FROZEN_BACKGROUND,47,336365,9.510971,7.063245,1.346544,841,17884,1.718565,3.183541,3.762193,2.092395,3.744699,4.24971,46.140588,39.680337,1.162807,-0.753813,0.657089,138.921797,82.912556,82.912556,7.087444,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0007,R21B00049,1,R21B00049,39,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000039.png,"982,1141,1030,1153","982,1141,1030,1153",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1006,1147,7.07472,-0.627587,-0.778547,0.778547,-0.627587,BASE_REGION_FROZEN_BACKGROUND,32,14207,8.017494,3.35138,2.392296,43,1029,0.39538,0.713312,0.842001,0.427794,0.781244,0.96952,11.92046,6.629506,1.798092,-0.999578,0.029036,178.336144,-52.791562,52.791562,37.208438,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0008,R21B00116,1,R21B00116,220,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000220.png,"993,1156,1017,1174","993,1156,1017,1174",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1005,1165,6.682958,-0.668866,-0.743383,0.743383,-0.668866,BASE_REGION_FROZEN_BACKGROUND,48,10185,11.573864,7.45942,1.551577,8,640,0.296572,0.575314,0.671281,0.35677,0.624388,0.71583,7.983298,7.013705,1.138243,-0.371258,0.92853,111.793247,63.772813,63.772813,26.227187,0,AXIS_NEAR_ISOTROPIC,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0009,R21B00057,1,R21B00057,40,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000040.png,"994,1135,1090,1159","994,1135,1090,1159",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1042,1147,6.45195,-0.520773,-0.853695,0.853695,-0.520773,BASE_REGION_FROZEN_BACKGROUND,31,41419,6.220937,2.898741,2.146082,291,2891,0.613656,1.229098,1.553279,1.123809,1.972315,2.328022,27.858212,12.587763,2.213119,-0.992048,0.125861,172.769514,-65.846385,65.846385,24.153615,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0010,R21B00117,1,R21B00117,224,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000224.png,"1005,1126,1132,1234","1005,1126,1132,1234",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1068.5,1180,5.195339,-0.493712,-0.869626,0.869626,-0.493712,BASE_REGION_FROZEN_BACKGROUND,48,293084,11.426277,5.151726,2.217951,606,14184,1.651492,2.978485,3.639799,1.69525,2.917057,3.518917,37.473989,36.312926,1.031974,0.998987,0.045007,2.579579,-57.835583,57.835583,32.164417,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
