sar_frame,source_type,selected_source_frame,source_lag_frames,source_is_causal,source_shell_bbox,source_shell_boundary_contact_count,source_shell_staleness_risk,generation_provenance
27,historical_source_shell,27,0,true,"934.572,1131.739,1192.849,1275.839",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
28,historical_source_shell,27,1,true,"934.572,1131.739,1192.849,1275.839",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
29,historical_source_shell,27,2,true,"934.572,1131.739,1192.849,1275.839",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
30,historical_source_shell,27,3,true,"934.572,1131.739,1192.849,1275.839",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
31,historical_source_shell,31,0,true,"952.094,1135.077,1192.017,1275.729",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
32,historical_source_shell,31,1,true,"952.094,1135.077,1192.017,1275.729",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
34,historical_source_shell,31,3,true,"952.094,1135.077,1192.017,1275.729",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
39,historical_source_shell,31,8,true,"952.094,1135.077,1192.017,1275.729",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
40,historical_source_shell,31,9,true,"952.094,1135.077,1192.017,1275.729",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
46,historical_source_shell,31,15,true,"952.094,1135.077,1192.017,1275.729",1,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
52,historical_source_shell,31,21,true,"952.094,1135.077,1192.017,1275.729",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
60,historical_source_shell,31,29,true,"952.094,1135.077,1192.017,1275.729",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
77,historical_source_shell,77,0,true,"1146.523,1133.528,1391.813,1279.634",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
78,historical_source_shell,77,1,true,"1146.523,1133.528,1391.813,1279.634",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
79,historical_source_shell,77,2,true,"1146.523,1133.528,1391.813,1279.634",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
