counterfactual_id,counterfactual_group,sar_frame,split,center_x,center_y,total_background_subtracted_energy,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,near_far_energy_ratio,component_layout_axis_deg,significant_component_count,counterfactual_role
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,963,816,65931,0.089399,0.068537,1.026564,172.017942,25,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000315,matched_linear_structure_background,315,calibration,1473,816,47870,-0.115097,0.143058,1.011738,6.378151,19,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000315,fixed_known_non_vehicle_N005,315,calibration,1196.566369,1166.397906,22807,-0.12329,-0.062356,0.961249,8.045324,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000315,fixed_linear_structure,315,calibration,1461.700834,848.735721,46477,-0.126476,-0.260125,0.990798,3.424209,19,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000315,fixed_strong_scatterer,315,calibration,1132.158395,1164.457828,22390,-0.008789,-0.069546,0.953701,5.056583,0,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000317,matched_strong_scatterer_background,317,calibration,997,816,72628,-0.116251,0.059503,1.005065,163.781973,15,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000317,matched_linear_structure_background,317,calibration,1473,816,48142,-0.216833,0.114168,1.047353,8.494936,10,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000317,fixed_known_non_vehicle_N005,317,calibration,1196.566369,1166.397906,24305,-0.103731,-0.048436,0.967828,1.734707,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000317,fixed_linear_structure,317,calibration,1461.700834,848.735721,46415,-0.140557,-0.22507,0.98537,2.926488,13,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000317,fixed_strong_scatterer,317,calibration,1132.158395,1164.457828,24815,0.038523,-0.065461,0.947895,2.11633,0,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000319,matched_strong_scatterer_background,319,calibration,963,850,81009,-0.070778,-0.138842,0.924019,0.989604,12,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000319,matched_linear_structure_background,319,calibration,1133,782,39922,-0.054261,0.046806,0.983066,174.09196,13,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000319,fixed_known_non_vehicle_N005,319,calibration,1196.566369,1166.397906,27793,-0.001962,-0.059785,0.964399,3.196597,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000319,fixed_linear_structure,319,calibration,1461.700834,848.735721,48413,-0.120956,-0.206101,0.980404,173.813741,12,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000319,fixed_strong_scatterer,319,calibration,1132.158395,1164.457828,27718,0.040603,-0.052885,0.96633,2.083589,0,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000321,matched_strong_scatterer_background,321,calibration,997,816,76862,0.034476,0.044552,0.989131,176.803142,15,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000321,matched_linear_structure_background,321,calibration,1473,952,50546,-0.189759,-0.010711,1.016772,10.309565,17,generated_from_real_sar_intensity_in_generate_stage
