family_id,sar_frame,family_member_bbox_variants,family_common_core_bbox,family_common_core_status,family_conservative_bbox,family_conservative_bbox_status,family_uncertain_envelope,family_boundary_reason_cn
R21R1F00001,27,"1036,1131,1186,1203 | 1036,1131,1186,1233","1036,1131,1186,1203",available_shared_atoms,,common_core_only,"1006,1131,1186,1233",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00002,27,"1096,1209,1144,1233","1096,1209,1144,1233",available_single_member_core,"1096,1209,1144,1233",single_consensus_bbox,"1030,1131,1186,1233",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00003,27,"1084,1131,1108,1149","1084,1131,1108,1149",available_single_member_core,"1084,1131,1108,1149",single_consensus_bbox,"1006,1131,1186,1233",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00004,27,"1006,1131,1018,1137","1006,1131,1018,1137",available_single_member_core,"1006,1131,1018,1137",single_consensus_bbox,"1006,1131,1186,1233",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00005,27,"1030,1221,1042,1233","1030,1221,1042,1233",available_single_member_core,"1030,1221,1042,1233",single_consensus_bbox,"1006,1131,1186,1233",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00006,28,"1036,1131,1192,1203 | 1036,1131,1192,1233","1036,1131,1192,1203",available_shared_atoms,,common_core_only,"1006,1131,1192,1233",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00007,28,"1096,1203,1150,1233","1096,1203,1150,1233",available_single_member_core,"1096,1203,1150,1233",single_consensus_bbox,"1036,1131,1192,1233",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00008,28,"1084,1131,1114,1149","1084,1131,1114,1149",available_single_member_core,"1084,1131,1114,1149",single_consensus_bbox,"1006,1131,1192,1233",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00009,28,"1006,1131,1024,1143","1006,1131,1024,1143",available_single_member_core,"1006,1131,1024,1143",single_consensus_bbox,"1006,1131,1192,1203",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00010,29,"1042,1131,1192,1197 | 1042,1131,1192,1245","1042,1131,1192,1197",available_shared_atoms,,common_core_only,"1042,1131,1192,1245",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00011,29,"1096,1203,1156,1245","1096,1203,1156,1245",available_single_member_core,"1096,1203,1156,1245",single_consensus_bbox,"1042,1131,1192,1245",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00012,29,"1090,1131,1114,1149","1090,1131,1114,1149",available_single_member_core,"1090,1131,1114,1149",single_consensus_bbox,"1042,1131,1192,1245",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00013,30,"1042,1131,1193,1197 | 1042,1131,1193,1245 | 1042,1131,1193,1239","1042,1131,1193,1197",available_shared_atoms,,common_core_only,"1042,1131,1193,1245",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00014,30,"1096,1203,1162,1245 | 1066,1203,1162,1245","1096,1203,1162,1245",available_shared_atoms,,common_core_only,"1042,1131,1193,1245",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00015,30,"1090,1131,1120,1149","1090,1131,1120,1149",available_single_member_core,"1090,1131,1120,1149",single_consensus_bbox,"1042,1131,1193,1245",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00016,30,"1066,1221,1084,1239","1066,1221,1084,1239",available_single_member_core,"1066,1221,1084,1239",single_consensus_bbox,"1042,1131,1193,1245",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00017,30,"1042,1221,1054,1239","1042,1221,1054,1239",available_single_member_core,"1042,1221,1054,1239",single_consensus_bbox,"1042,1131,1193,1245",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00018,31,"1042,1135,1193,1249 | 1090,1135,1114,1147 | 1042,1135,1114,1243","1090,1135,1114,1147",available_member_intersection,,common_core_only,"1042,1135,1193,1249",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00019,31,"1042,1225,1060,1243","1042,1225,1060,1243",available_single_member_core,"1042,1225,1060,1243",single_consensus_bbox,"1042,1135,1193,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00020,31,"1066,1219,1084,1237","1066,1219,1084,1237",available_single_member_core,"1066,1219,1084,1237",single_consensus_bbox,"1042,1135,1193,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00021,32,"1102,1135,1192,1249 | 1072,1135,1192,1249 | 1090,1135,1192,1249","1102,1135,1192,1249",available_shared_atoms,,multiple_valid_bbox_variants,"1048,1135,1192,1249",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
