experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,hidden_target_pair_id,sar_frame,prediction_status,localization_metric_included,hidden_target_coverage,hidden_target_iou,prediction_center_to_visible_response_center,any_hypothesis_covers_target,oracle_upper_bound_diagnostic,hypothesis_count,total_hypothesis_area,single_search_ratio,total_search_ratio,prediction_area_to_source_anchor_area,first_uncertain_frame,first_irrecoverable_frame,ambiguous_hypothesis_set_frames,hypothesis_budget_exceeded_frames,true_ambiguity_recovery_count,algorithmic_branch_collapse_count,association_discontinuity_count,frozen_predictions_sha256_verified,target_box_loaded_phase
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,A1.7_reference,true,1,0.8563,8.499648,,false,,,0.014824,0.014824,,28,28,4,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,A1.7_reference,true,1,0.097688,83.691418,,false,,,0.056616,0.056616,,30,,2,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,A1.7_reference,true,1,0.097688,83.691418,,false,,,0.056616,0.056616,,30,,2,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,A1.7_reference,true,0,0,101.100419,,false,,,0.013522,0.013522,,32,46,45,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,A1.7_reference,true,1,0.005021,583.635628,,false,,,1.17138,1.17138,,33,,5,0,0,0,1,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,A1.7_reference,true,1,0.005021,583.635628,,false,,,1.17138,1.17138,,33,,5,0,1,0,1,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,A1.7_reference,true,0.898568,0.736034,12.049722,,false,,,0.01436,0.01436,,78,78,4,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,A1.7_reference,true,1,0.124725,86.499358,,false,,,0.108566,0.108566,,78,,1,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,A1.7_reference,true,1,0.124725,86.499358,,false,,,0.108566,0.108566,,78,,1,0,1,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,A1.7_reference,true,0.494538,0.272728,54.357845,,false,,,0.014584,0.014584,,213,,24,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,A1.7_reference,true,1,0.0433,167.219731,,false,,,0.119632,0.119632,,227,235,5,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,A1.7_reference,true,1,0.118414,61.592196,,false,,,0.063231,0.063231,,227,,3,0,2,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,A1.7_reference,true,0.448232,0.296072,49.70154,,false,,,0.012527,0.012527,,239,,29,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,A1.7_reference,true,1,0.004303,541.930623,,false,,,1.17138,1.17138,,243,,3,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,A1.7_reference,true,1,0.004303,541.930623,,false,,,1.17138,1.17138,,243,,3,0,2,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,A1.7_reference,true,0.920889,0.846561,8.104961,,false,,,0.012829,0.012829,,270,270,4,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,A1.7_reference,true,1,0.047785,159.83215,,false,,,0.125579,0.125579,,273,,1,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,A1.7_reference,true,1,0.047785,159.83215,,false,,,0.125579,0.125579,,273,,1,0,0,0,0,6c3248d18061eb0919ae5d295ef577c2da145f6a2547c07e48f63bc06208ccc9,evaluate_only
