factor_id,factor_name_cn,factor_source_dimension,lifecycle_state,runtime_safe_observable_evidence,gt_posthoc_validation_role,positive_gt_local_expectation,negative_non_target_expectation,physical_interpretation,verifiable_relation,counterexample_or_failure_mode,allowed_relation_outcome,forbidden_promotion,candidate_scenes,next_validation_need,leakage_risk,notes
F001,近场截断因子,optical_behavior,candidate_factor,"edge_contact tag; partial_visible tag; abrupt visible extent change","GT may validate whether vehicle-scale SAR support is shifted or partially missed","GT-local shell or ridge appears outside an overly tight support","road edge or static reflector lacks vehicle-scale shell closure","near-field truncation weakens range and extent certainty","runtime state tag can be compared posthoc with support miss pattern","complete_visible object with stable box should not trigger this factor","explains_support_shift","GT center must not widen runtime shell or create final boxes","GM_RM011; GM_RM017","collect GT-positive and nearby background-negative contrast after runtime factor is defined","medium","design candidate only; no threshold or box generation"
F002,边界接触扩展因子,optical_behavior,runtime_observable_factor,"bbox touches image boundary; target enters or exits through frame edge","GT may validate missing-side vehicle structure after the runtime edge state is defined","GT-local crop shows endpoint or weak-side continuation","border clutter or building edge does not form vehicle-scale body","visible optical extent is censored by field-of-view boundary","edge state predicts uncertainty expansion before GT is read","border false positive or non-vehicle region","explains_incomplete_support","do not use GT overlap to declare recovered vehicle","GM_RM011","document positive and negative contrast examples","medium","runtime-safe observable exists but admission still requires physical and contrast checks"
F003,可见但未框住存在支持因子,optical_behavior,candidate_factor,"visual object evidence exists near an optical hypothesis but primary detector box is incomplete","GT may validate SAR existence support but not identity","GT-local SAR morphology is vehicle-scale despite optical box gap","nearby visible background lacks ridge endpoint or shell composition","detector observation can miss part of an existing target","posthoc SAR vehicle-scale evidence can explain detector dropout","visible evidence belongs to competitor rather than target","supports_vehicle_existence","must not become annotation permission or identity upgrade","GM_RM011; dropout_pool","separate target evidence from competitor evidence","high","existence support only"
F004,同色竞争风险因子,boundary_competitor,runtime_observable_factor,"same-color or close-neighbor vehicles; overlapping boxes; competing merge edges","GT may validate ambiguity but cannot select identity","target GT may be vehicle-like while assignment remains ambiguous","competitor GT or nearby object may satisfy similar cues","crowding and visual similarity increase boundary risk","competition evidence blocks unsafe bridging","only one vehicle exists after independent review","indicates_competition","must not collapse competitors into same identity","GM_RM011; GM_RM017","need boundary-specific SAR evidence and optical competition audit","low","permission-safe because it blocks promotion"
F005,SAR侧脊持续因子,sar_local_morphology,physically_interpretable_factor,"SAR image content only after SAR evidence reading is explicitly opened; ridge-like band across adjacent frames","GT may anchor ridge location as posthoc validation","ridge persists or drifts gradually inside GT-local vehicle region","guardrail or road edge ridge is static or fails vehicle-scale relation","vehicle side returns may appear as stable ridge in SAR","ridge continuity can support SAR morphology relation","static background ridge or display artifact","posthoc_vehicle_structure_support","must not become optical runtime prior or selected box","GM_RM017; GM_RM019; SAR-only reference","needs non-target ridge rejection and drift check","high","not runtime-safe until SAR evidence reading stage is explicitly opened"
F006,端点热点稳定因子,sar_local_morphology,candidate_factor,"opened SAR evidence stage observes endpoint-like bright points across frames","GT may test endpoint position within vehicle scale","hotspot aligns with plausible vehicle end or corner","isolated static bright point lacks shell and drift","corners or specular parts can dominate SAR returns","endpoint hotspot plus shell relation can be checked posthoc","single bright point is only scattering_atom","supports_part_to_shell_relation","bright point must not equal vehicle or final support","GM_RM017; GM_RM019","require paired shell evidence and static-reflector rejection","high","prevents atom-to-vehicle shortcut"
F007,弱对侧回波因子,sar_local_morphology,idea_seed,"opened SAR evidence stage may observe weaker return opposite dominant ridge","GT may validate whether weak return closes vehicle-scale shell","weak opposite-side structure appears in GT-local crop","background texture lacks paired dominant and weak-side geometry","SAR vehicle returns can be asymmetric","weak return relation can support shell closure","noise or sidelobe imitates weak return","supports_vehicle_scale_shell","must not define GT-derived runtime threshold","GM_RM017; SAR-only reference","need GT-local positive and outside-GT negative examples","high","idea seed because current evidence rule is not instantiated"
F008,车辆尺度外壳闭合因子,sar_local_morphology,candidate_factor,"SAR evidence reading stage observes ridge hotspot weak-side and scale composition","GT can validate part composition at vehicle scale","GT-local parts form a discontinuous but coherent vehicle-scale outline","tiny component road edge or blob fails scale and composition","vehicle is shell/part composition not a single atom","part-to-shell relation can be visually audited","baby-car component or oversized background band","posthoc_vehicle_structure_mechanism_support","component box must not become final vehicle box","GM_RM017; GM_RM019; SAR-only reference","define negative contrast checklist before admission","high","admission requires runtime observability and non-target contrast"
F009,静态背景反射拒绝因子,non_vehicle_rejection,runtime_observable_factor,"static bright spots persist without vehicle-like optical or temporal relation after SAR evidence stage opens","GT may compare target crop against nearby static reflectors","GT-local vehicle has scale and composition beyond isolated peak","static reflector is point-like or fixed background","vehicle evidence requires scale composition and temporal compatibility","negative non-target contrast can reject background","parked static vehicle may be non-moving","indicates_background_risk","do not treat any bright point as target evidence","all scenes","collect matched background negatives around candidate regions","low","negative factor useful for strict admission"
F010,SAR非跳变时间漂移因子,sar_temporal_drift,candidate_factor,"adjacent SAR frames show gradual ridge hotspot or shell displacement after SAR evidence opens","GT may validate that drift remains vehicle-local","local structure persists or moves smoothly within GT-local region","background reflectors do not drift with target-like continuity","physical vehicle returns should not teleport","non-jump drift supports temporal compatibility","low SNR breaks visible drift","supports_temporal_compatibility","drift alone must not claim identity truth","GM_RM017; GM_RM019","need frame-neighbor validation and static-negative comparison","medium","central future SAR temporal factor"
F011,边界保持因子,boundary_competitor,runtime_observable_factor,"preserved optical boundary; competing merge edge; different-vehicle marker","GT may test whether SAR remains ambiguous across boundary","target-side evidence does not erase competitor evidence","competitor or outside-GT region may explain similar cue","boundary evidence blocks unsafe bridge","boundary state can propagate as graph blocker","boundary was duplicate detection of same vehicle","supports_boundary_or_blocked_relation","must not relax boundary because one cue overlaps GT","GM_RM011 M005; GM_RM011 M016","need independent boundary-specific evidence before any relaxation","low","already aligned with WGV2.2 blocker behavior"
F012,权限阻断因子,evidence_permission,blocked_by_permission,"provenance marks evidence as posthoc manual GT selector or final annotation","GT may expose leakage risk but cannot promote runtime use","GT explains why evidence is useful only posthoc","same evidence absent from runtime construction","permission is a graph factor not bookkeeping","permission gate blocks runtime leakage","provenance is missing or mislabeled","blocked_by_permission","must not copy posthoc evidence into runtime prior","all scenes","standardize provenance review for each new factor","low","strict permission factor"
F013,GT正例与非目标负例对照因子,evidence_permission,negative_contrast_checked_factor,"runtime factor is proposed before GT is read","GT validates positive fit and nearby non-target rejection","mechanism fits vehicle-scale GT-local structure","nearby background road edge guardrail competitor fails same mechanism","validation must close positive and negative logic","contrast result can support admission decision","no nearby negative example exists","negative_contrast_checked_posthoc_factor","GT overlap alone must not prove mechanism","all scenes","maintain paired positive and negative examples per factor","medium","admission support only after leakage check"
F014,方位/距离可行域因子,azimuth_range_feasible_domain,candidate_factor,"runtime-safe scene geometry; fan-polar calibration if available; time metadata","GT may validate whether proposed feasible field contains vehicle region","GT center lies inside or near runtime-defined feasible domain","nearby non-target fields do not satisfy same geometry and morphology","geometry defines feasible domain not selected location","domain coverage and miss can be audited posthoc","calibration source is unavailable or scene-biased","geometry_feasible_domain_support","GT center must not define azimuth or range factor","GM_RM017; GM_RM019","verify calibration source and scene bias independently","high","direct leakage risk if GT defines the domain"
F015,支撑缺失反馈因子,support_failure,candidate_factor,"runtime optical support misses expected state-conditioned region","GT can classify support miss only after runtime support is fixed","GT-local vehicle-scale structure lies outside support","outside support background component is not vehicle-scale","support is hypothesis field not final box","support miss routes to mapping or state correction","GT itself is low quality or offset","explains_support_miss","must not search inside wrong support and call tiny component vehicle","GM_RM011; GM_RM017","separate GT quality issue from support issue","medium","keeps support failure and GT quality distinct"
F016,光学短间隙连续因子,optical_temporal_continuity,runtime_observable_factor,"short missing gap; plausible motion continuity; state tags before and after gap","GT may validate SAR support for existence but not identity","GT-local SAR evidence may persist through optical dropout","nearby competitor or background should not match same temporal tube","temporal continuation can explain detector dropout","gap relation can support weak continuity hypothesis","gap crosses competing object or large motion jump","supports_detection_dropout_explanation","must not convert tracker ID to identity truth","GM_RM011; dropout_pool","need competition-aware gap review","medium","runtime optical factor with posthoc-only SAR validation"
F017,跨场景泛化因子,cross_scene_generalization,idea_seed,"same factor definition appears across scenes without scene-specific thresholds","GT may validate transfer pattern posthoc","multiple scenes show similar GT-local positive fit","scene-specific background negatives fail the same cue","valid factor should not be one-scene patch","cross-scene consistency can support admission","factor only works in GM_RM011 after local tuning","cross_scene_stability_support","do not tune thresholds from GT to make transfer pass","GM_RM011; GM_RM017; GM_RM019","need frozen definition before validation","high","guard against local patching"
F018,成像几何扇区遮罩因子,sar_imaging_geometry,candidate_factor,"runtime-safe fan/beam geometry and frame inventory when available","GT may validate whether vehicle-local energy respects feasible sector","GT-local vehicle structure lies in plausible fan-polar sector","off-sector static reflectors or road edges fail associated geometry","SAR image coordinates should respect range/azimuth physics","sector relation can explain feasible domain and misses","display XY artifact mistaken for geometry","geometry_feasible_domain_support","GT center must not define sector center","GM_RM017; GM_RM019","verify calibration source independent of GT","high","uses imaging physics but remains design-only"
F019,车辆尺度比例因子,sar_local_morphology,candidate_factor,"vehicle size prior as range; optical bbox scale only as uncertainty cue","GT may validate shell scale but not set runtime threshold","GT-local structure matches vehicle-scale range","tiny component or oversized band fails vehicle scale","vehicle claim requires physical scale not atom scale","scale relation can reject baby-car explanations","small far vehicle has weak apparent scale","supports_vehicle_scale_shell","GT box size must not become runtime size threshold","all scenes","need state-conditioned scale tolerance without GT","medium","prevents atom/part/shell collapse"
F020,证据来源完整性因子,evidence_provenance,runtime_observable_factor,"each factor records source layer allowed use and forbidden use","GT may validate provenance labels during audit","posthoc-only evidence remains labeled posthoc","runtime layer lacks GT-derived fields","provenance is required to enforce evidence permission","provenance audit can detect leakage","missing provenance hides manual or GT source","blocked_by_permission_or_allowed_if_clean","must not admit factor without provenance","all scenes","add provenance column to future ledgers","low","meta-factor for lifecycle governance"
F021,道路边缘拒绝因子,non_vehicle_rejection,candidate_factor,"road-edge or guardrail-like linear structures identified as negative comparison after SAR evidence opens","GT can compare vehicle crop against nearby linear background","GT-local vehicle has endpoint/shell composition beyond line","road edge remains line-like and lacks vehicle-scale closure","long bright line is not sufficient vehicle evidence","negative contrast rejects line-shaped background","actual vehicle aligned with road edge may be hard","indicates_background_risk","must not treat ridge alone as vehicle","GM_RM017; GM_RM019","need hard negatives near target crops","low","specific negative contrast factor"
F022,弱光学线程保守因子,optical_temporal_continuity,physically_interpretable_factor,"optical thread is weak search-hint context or identity-risk blocked","GT may provide weak posthoc support only","overlap may exist but does not upgrade weak thread","competing object or background may also overlap plausible area","weak optical evidence cannot be upgraded by GT overlap","weak status propagates unless independent evidence closes gaps","later runtime evidence becomes strong independently","weak_posthoc_support_only","SAR overlap must not upgrade identity","GM_RM017","need independent optical/SAR evidence before any stronger relation","medium","matches WGV2.2 conservativeness validation"
