sar_frame,split,static_feasible_center_interval_width_m,static_feasible_range_extent_interval_width_m,static_feasible_azimuth_extent_interval_width_m,support_width_required_m,gt_response_region_contained_static,construction_basis
315,calibration,4.612986,7.265793,7.700695,3.262986,true,single_frame_static_structural_factor_intervals_no_best_candidate
317,calibration,4.698367,7.276958,7.916453,3.348367,true,single_frame_static_structural_factor_intervals_no_best_candidate
319,calibration,4.584271,7.346237,7.818542,3.234271,true,single_frame_static_structural_factor_intervals_no_best_candidate
321,calibration,4.822263,7.267233,8.167814,3.472263,true,single_frame_static_structural_factor_intervals_no_best_candidate
323,calibration,4.617559,6.813349,7.885118,3.267559,true,single_frame_static_structural_factor_intervals_no_best_candidate
325,calibration,3.786305,6.22261,5.533188,2.436305,true,single_frame_static_structural_factor_intervals_no_best_candidate
327,calibration,4.602568,6.658586,7.855136,3.252568,true,single_frame_static_structural_factor_intervals_no_best_candidate
331,calibration,4.704865,6.59269,8.05973,3.354865,true,single_frame_static_structural_factor_intervals_no_best_candidate
332,calibration,3.864281,6.378562,5.531625,2.514281,true,single_frame_static_structural_factor_intervals_no_best_candidate
333,calibration,4.15393,6.95786,5.858006,2.80393,true,single_frame_static_structural_factor_intervals_no_best_candidate
334,calibration,3.980412,6.610824,5.734997,2.630412,true,single_frame_static_structural_factor_intervals_no_best_candidate
335,calibration,3.466887,5.583774,5.254717,2.116887,true,single_frame_static_structural_factor_intervals_no_best_candidate
336,calibration,6.087092,10.24082,8.047779,4.153728,true,single_frame_static_structural_factor_intervals_no_best_candidate
337,calibration,4.80569,6.479125,8.26138,3.45569,true,single_frame_static_structural_factor_intervals_no_best_candidate
338,calibration,4.751846,6.390076,8.153692,3.401846,true,single_frame_static_structural_factor_intervals_no_best_candidate
339,calibration,4.824505,6.421578,8.29901,3.474505,true,single_frame_static_structural_factor_intervals_no_best_candidate
340,calibration,3.49007,5.63014,5.363899,2.14007,true,single_frame_static_structural_factor_intervals_no_best_candidate
