temporal_edge_id,source_family_id,target_family_id,source_frame,target_frame,shared_core_track_ids,center_shift_px,bbox_iou,size_ratio,core_relation_compatibility,edge_status,blocked_reason
R21TE00001,R21F00001,R21F00002,27,28,R21PT0001;R21PT0002,4.242641,0.333333,3,true,unique_family_continuation,
R21TE00002,R21F00002,R21F00003,28,29,R21PT0001;R21PT0002,105.513032,0,45.833333,true,unique_family_continuation,
R21TE00003,R21F00003,R21F00004,29,30,R21PT0001;R21PT0002,0.5,0.993377,1.006667,true,unique_family_continuation,
R21TE00004,R21F00004,R21F00005,30,31,R21PT0002;R21PT0003,46.746658,0.336195,0.780253,true,unique_family_continuation,
R21TE00005,R21F00005,R21F00006,31,32,R21PT0002;R21PT0003;R21PT0004,25.455844,0.037037,0.037037,true,unique_family_continuation,
R21TE00006,R21F00006,R21F00007,32,34,R21PT0002;R21PT0003;R21PT0004;R21PT0005,36.619667,0,1.5,true,unique_family_continuation,
R21TE00007,R21F00007,R21F00008,34,39,R21PT0003;R21PT0004;R21PT0006,114.325194,0,37,true,unique_family_continuation,
R21TE00008,R21F00008,R21F00009,39,40,R21PT0003,39.028835,0.101351,0.101351,true,ambiguous_successors,nonselective_temporal_graph_keeps_ambiguity
R21TE00009,R21F00008,R21F00010,39,40,R21PT0006,107.173924,0,0.144144,true,ambiguous_successors,nonselective_temporal_graph_keeps_ambiguity
R21TE00010,R21F00009,R21F00011,40,46,R21PT0007,40.733893,0.082822,12.074074,true,ambiguous_predecessors,nonselective_temporal_graph_keeps_ambiguity
R21TE00011,R21F00010,R21F00011,40,46,,84.46449,0.070505,8.489583,false,ambiguous_predecessors,nonselective_temporal_graph_keeps_ambiguity
R21TE00012,R21F00011,R21F00012,46,52,R21PT0007,33.136083,0.442667,0.466564,true,unique_family_continuation,
R21TE00013,R21F00012,R21F00013,52,60,,78.900253,0,0.236686,false,ambiguous_successors,nonselective_temporal_graph_keeps_ambiguity
R21TE00014,R21F00012,R21F00014,52,60,,117.933244,0,0.059172,false,ambiguous_successors,nonselective_temporal_graph_keeps_ambiguity
R21TE00015,R21F00013,R21F00015,60,77,,91.809586,0,1.666667,false,ambiguous_predecessors,nonselective_temporal_graph_keeps_ambiguity
R21TE00016,R21F00014,R21F00015,60,77,,113.758516,0,6.666667,false,ambiguous_predecessors,nonselective_temporal_graph_keeps_ambiguity
R21TE00017,R21F00015,R21F00016,77,78,R21PT0008,122.155638,0,0.12,true,unique_family_continuation,
R21TE00018,R21F00016,R21F00017,78,79,R21PT0008;R21PT0009,0,1,1,true,unique_family_continuation,
R21TE00019,R21F00017,R21F00018,79,80,R21PT0008;R21PT0009,122.155638,0,8.333333,true,unique_family_continuation,
R21TE00020,R21F00018,R21F00019,80,81,R21PT0008;R21PT0009,78.917679,0,2.1,true,unique_family_continuation,
R21TE00021,R21F00020,R21F00021,212,213,R21PT0010,3,0.833333,1.2,true,unique_family_continuation,
R21TE00022,R21F00021,R21F00022,213,216,R21PT0010,12,0.153846,0.666667,true,unique_family_continuation,
R21TE00023,R21F00022,R21F00023,216,220,,63.99414,0.031318,31.930556,false,possible_continuation,
R21TE00024,R21F00023,R21F00024,220,224,R21PT0011,4.242641,0.904861,0.994345,true,unique_family_continuation,
R21TE00025,R21F00024,R21F00025,224,227,R21PT0011,6,0.905512,0.905512,true,unique_family_continuation,
R21TE00026,R21F00025,R21F00026,227,228,R21PT0011,4.242641,0.900413,1.000483,true,unique_family_continuation,
R21TE00027,R21F00026,R21F00027,228,238,R21PT0012,38.421999,0.446668,1.216803,true,unique_family_continuation,
R21TE00028,R21F00027,R21F00028,238,239,,0,1,1,false,possible_continuation,
R21TE00029,R21F00028,R21F00029,239,243,,15.297059,0.756813,0.995238,false,possible_continuation,
R21TE00030,R21F00029,R21F00030,243,250,,21.84033,0.645435,0.854067,true,possible_continuation,
R21TE00031,R21F00030,R21F00031,250,259,,21.213203,0.656455,1.120448,false,possible_continuation,
R21TE00032,R21F00031,R21F00032,259,260,R21PT0013;R21PT0014,34.73111,0.423792,0.595833,true,unique_family_continuation,
R21TE00033,R21F00032,R21F00033,260,262,R21PT0013,36,0.454545,2.2,true,unique_family_continuation,
R21TE00034,R21F00033,R21F00034,262,263,,4.242641,0.917787,0.994596,true,possible_continuation,
R21TE00035,R21F00034,R21F00035,263,269,R21PT0015,33.049206,0.552697,0.793864,true,unique_family_continuation,
R21TE00036,R21F00035,R21F00036,269,270,R21PT0015;R21PT0016;R21PT0017,9.486833,0.84086,1.067633,true,unique_family_continuation,
R21TE00037,R21F00036,R21F00037,270,271,R21PT0015;R21PT0016;R21PT0017,12,0.866667,1.153846,true,unique_family_continuation,
R21TE00038,R21F00037,R21F00038,271,272,R21PT0015;R21PT0016;R21PT0017,18,0.8,0.8,true,unique_family_continuation,
R21TE00039,R21F00038,R21F00039,272,273,R21PT0016;R21PT0017,16.124515,0.707155,1.235294,true,ambiguous_successors,nonselective_temporal_graph_keeps_ambiguity
R21TE00040,R21F00038,R21F00040,272,273,,104.278473,0,0.02451,false,ambiguous_successors,nonselective_temporal_graph_keeps_ambiguity
R21TE00041,R21F00039,R21F00041,273,276,R21PT0016;R21PT0017,13.416408,0.758364,0.876984,true,ambiguous_predecessors,nonselective_temporal_graph_keeps_ambiguity
R21TE00042,R21F00040,R21F00041,273,276,,92.660671,0.008929,44.2,false,ambiguous_predecessors,nonselective_temporal_graph_keeps_ambiguity
R21TE00043,R21F00041,R21F00042,276,278,R21PT0016;R21PT0018,6.708204,0.873362,0.941176,true,unique_family_continuation,
R21TE00044,R21F00042,R21F00043,278,279,R21PT0016;R21PT0018,0,0.928571,1.076923,true,unique_family_continuation,
R21TE00045,R21F00043,R21F00044,279,280,R21PT0016;R21PT0018,3,0.964286,0.964286,true,unique_family_continuation,
R21TE00046,R21F00044,R21F00045,280,281,R21PT0016;R21PT0018,3,0.964286,1.037037,true,unique_family_continuation,
R21TE00047,R21F00045,R21F00046,281,284,R21PT0016;R21PT0018,9,0.903226,1.107143,true,unique_family_continuation,
R21TE00048,R21F00046,R21F00047,284,288,R21PT0018,19.646883,0.725686,0.816532,true,unique_family_continuation,
R21TE00049,R21F00047,R21F00048,288,289,R21PT0018;R21PT0019,0,1,1,true,unique_family_continuation,
R21TE00050,R21F00048,R21F00049,289,290,R21PT0018;R21PT0019,3,0.964286,1.037037,true,unique_family_continuation,
