region_id,scene,hypothesis_id,source_auto_node_id,region_role,control_family,sar_frame_start,sar_frame_end,azimuth_min,azimuth_max,valid_pixel_count,frame_count,mean_intensity,median_frame_mean_intensity,max_frame_mean_intensity,mean_nonzero_ratio,max_intensity,mean_top1pct_intensity,target_to_adjacent_mean_ratio,target_to_far_mean_ratio,target_to_temporal_mean_ratio,strongest_sar_frame,response_observation_status
WGV33C_WGV33B_H001_AUTO_RESPONSE,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,automatic_feasible_field_response,automatic_response,0,44,-55.052,38.971,1456143,45,43.25966696,44.22581711,54.54456946,0.99948129,255,94.36175434,1.052841,2.412679,1.060411,22,response_mixed_vs_controls_needs_sar_internal_followup
WGV33C_WGV33B_H001_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,same_time_adjacent_azimuth_control,matched_background_control,0,44,41,62,301680,45,41.08852404,42.23218311,52.16359387,0.99192367,241,66.40782971,1.052841,2.412679,1.060411,22,background_control_observation_only
WGV33C_WGV33B_H001_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,same_time_far_azimuth_control,matched_background_control,0,44,-61,-60,6016,45,17.93013815,18.43001995,22.93600399,0.71601285,139,73.53406193,1.052841,2.412679,1.060411,31,background_control_observation_only
WGV33C_WGV33B_H001_TEMPORAL_CONTROL,GM_RM011,WGV33B_H001,AUTO_GM_RM011_0001,same_azimuth_temporal_control,temporal_background_control,45,89,-55.052,38.971,1456143,45,40.79520648,42.99314971,52.7067994,0.99933941,255,90.79621389,1.052841,2.412679,1.060411,45,background_control_observation_only
WGV33C_WGV33B_H002_AUTO_RESPONSE,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,automatic_feasible_field_response,automatic_response,0,21,9.894,41.573,490639,22,39.12824185,38.84499908,51.29578774,0.99940893,218,71.96292866,0.987789,1.011713,0.84301,21,response_not_elevated_vs_controls
WGV33C_WGV33B_H002_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,same_time_adjacent_azimuth_control,matched_background_control,0,21,-24,7,479963,22,39.61195693,39.45148688,51.81943608,0.9995047,255,95.40292614,0.987789,1.011713,0.84301,21,background_control_observation_only
WGV33C_WGV33B_H002_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,same_time_far_azimuth_control,matched_background_control,0,21,-61,-30,470737,22,38.67522166,38.52638841,51.2318577,0.99626794,209,75.74370511,0.987789,1.011713,0.84301,21,background_control_observation_only
WGV33C_WGV33B_H002_TEMPORAL_CONTROL,GM_RM011,WGV33B_H002,AUTO_GM_RM011_0002,same_azimuth_temporal_control,temporal_background_control,22,43,9.894,41.573,490639,22,46.41492106,46.01977523,54.21403517,0.99915453,220,89.72506808,0.987789,1.011713,0.84301,22,background_control_observation_only
WGV33C_WGV33B_H003_AUTO_RESPONSE,GM_RM011,WGV33B_H003,AUTO_GM_RM011_0003,automatic_feasible_field_response,automatic_response,8,48,-38.777,44.283,1286312,41,45.66565544,45.55249582,54.45282948,0.99936716,255,100.94049759,1.015982,1.063832,1.140356,22,response_mixed_vs_controls_needs_sar_internal_followup
WGV33C_WGV33B_H003_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H003,AUTO_GM_RM011_0003,same_time_adjacent_azimuth_control,matched_background_control,8,48,-61,-41,300325,41,44.94729474,44.8953234,53.98112711,0.9943026,250,85.57667825,1.015982,1.063832,1.140356,31,background_control_observation_only
