sar_frame,window_id,selection_reason,same_vehicle_thread,axis_reliability,registration_reliability,relative_aspect_angle_deg,range_m_corrected,expected_review_role
339,W_STABLE,previsual_min_aspect_range_delta_three_frame_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,HIGH,HIGH,61.450358,13.215585,stable_review
340,W_STABLE,previsual_min_aspect_range_delta_three_frame_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,HIGH,61.410346,13.049704,stable_review
341,W_STABLE,previsual_min_aspect_range_delta_three_frame_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,HIGH,61.462277,13.127185,stable_review
321,W_SLIDE,previsual_large_aspect_span_limited_corrected_range_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,HIGH,HIGH,47.442076,15.189191,near_side_sliding_review
323,W_SLIDE,previsual_large_aspect_span_limited_corrected_range_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,HIGH,HIGH,49.362651,15.027249,near_side_sliding_review
325,W_SLIDE,previsual_large_aspect_span_limited_corrected_range_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,HIGH,53.052861,14.806932,near_side_sliding_review
351,W_SWITCH,previsual_legacy_near_far_and_centroid_change_window_selection_only,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,HIGH,69.24517,12.370315,switching_review
352,W_SWITCH,previsual_legacy_near_far_and_centroid_change_window_selection_only,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,HIGH,70.012217,12.130814,switching_review
353,W_SWITCH,previsual_legacy_near_far_and_centroid_change_window_selection_only,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,HIGH,HIGH,70.515637,12.145233,switching_review
384,W_SPLIT,previsual_legacy_fragmentation_peak_and_neighbor_window_selection_only,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,MEDIUM,75.631794,11.894562,split_merge_review
385,W_SPLIT,previsual_legacy_fragmentation_peak_and_neighbor_window_selection_only,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,MEDIUM,73.203087,12.053223,split_merge_review
386,W_SPLIT,previsual_legacy_fragmentation_peak_and_neighbor_window_selection_only,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,MEDIUM,73.62573,12.065095,split_merge_review
386,W_DIFFICULT,previsual_low_axis_or_max_aspect_ci_difficult_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,MEDIUM,73.62573,12.065095,registration_mask_boundary_review
387,W_DIFFICULT,previsual_low_axis_or_max_aspect_ci_difficult_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,MEDIUM,MEDIUM,74.216398,12.075542,registration_mask_boundary_review
388,W_DIFFICULT,previsual_low_axis_or_max_aspect_ci_difficult_window,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,LOW,LOW,71.743741,12.302862,registration_mask_boundary_review
