subject_name,sar_frame,timestamp_or_sequence_index,physical_vehicle_id,split,center_range_m,center_azimuth_m,absolute_range_from_radar_m,absolute_azimuth_deg,motion_tangent_image_deg,motion_tangent_uncertainty_deg,body_axis_proxy_deg,body_axis_proxy_source,body_axis_proxy_uncertainty_deg,local_range_axis_image_deg,relative_aspect_angle_deg,aspect_domain_status,total_background_subtracted_energy,inner_outer_density_ratio,range_p50_width_m,range_p80_width_m,range_p90_width_m,azimuth_p50_width_m,azimuth_p80_width_m,azimuth_p90_width_m,body_long_p80_width_m,body_short_p80_width_m,vehicle_projection_envelope_status,required_missing_support_m,required_extra_spread_m,global_energy_axis_image_deg,dominant_component_axis_image_deg,significant_component_layout_axis_image_deg,global_axis_ratio,dominant_axis_ratio,layout_axis_ratio,axis_representation_consistency_status,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,peak_energy_body_long_offset_m,peak_energy_body_short_offset_m,top_energy_quantile_centroid_body_long_offset_m,top_energy_quantile_centroid_body_short_offset_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio,body_positive_half_energy,body_negative_half_energy,body_half_energy_ratio,body_short_positive_half_energy,body_short_negative_half_energy,body_short_half_energy_ratio,significant_component_count,dominant_component_energy_fraction,mask_observability_status,measurement_status
vehicle_body_axis_reference,315,315,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-10.89375,-11.70213,15.987922,-132.951086,4.415781,0,1.202118,E0_R2_two_sided_trajectory_body_axis_proxy,4.395572,47.048914,45.846796,IN_CALIBRATION_ASPECT_DOMAIN,38569,1.036473,1.557288,2.302273,2.652807,1.551439,2.546341,3.087709,3.262986,1.066762,VEHICLE_ENVELOPE_STABLE_SOFT,0,0,6.267661,133.875181,175.235223,2.273227,1.855297,8.597901,AXES_PARTIALLY_CONSISTENT,0.299963,0.246763,1.938728,0.693609,0.681313,0.541766,-0.385995,0.043328,227054,219614,1.033878,226234,220434,1.026312,228574,218094,1.048053,9,0.107651,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,317,317,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-10.725525,-11.68158,15.858632,-132.556815,0.838679,3.577102,3.14298,E0_R2_two_sided_trajectory_body_axis_proxy,7.018155,47.443185,44.300205,IN_CALIBRATION_ASPECT_DOMAIN,44976,1.041821,1.373083,2.25797,2.578591,1.57259,2.663427,3.218086,3.348367,0.988069,VEHICLE_ENVELOPE_STABLE_SOFT,0,0,3.607291,170.483904,173.889941,2.444314,3.795942,5.239251,AXES_LOCALLY_CONSISTENT,0.443096,0.285001,2.151467,0.596517,0.914383,0.530066,-0.516169,0.105494,256672,241709,1.061905,253941,244440,1.038868,258455,239926,1.077228,11,0.192947,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,319,319,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-10.206,-11.73606,15.553056,-131.011117,2.172565,4.99695,0.613569,E0_R2_two_sided_trajectory_body_axis_proxy,2.409835,48.988883,48.375314,IN_CALIBRATION_ASPECT_DOMAIN,56864,1.044755,1.130998,2.216688,2.761966,1.368075,2.60039,3.234271,3.139218,1.149894,VEHICLE_ENVELOPE_STABLE_SOFT,0,0,5.868952,174.666455,171.529183,2.364462,3.530294,3.583813,AXES_LOCALLY_CONSISTENT,0.456383,0.302406,1.934436,0.777389,0.891898,0.554197,-0.529204,0.140279,305663,286146,1.068206,304372,287437,1.058917,304888,286921,1.06262,8,0.283114,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,321,321,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-9.810465,-11.59596,15.189191,-130.232036,2.172565,1.834231,2.325888,E0_R2_two_sided_trajectory_body_axis_proxy,2.841601,49.767964,47.442076,IN_CALIBRATION_ASPECT_DOMAIN,63609,1.077626,1.162554,2.134907,2.44497,1.538031,2.928025,3.345551,3.472263,0.994686,VEHICLE_ENVELOPE_STABLE_SOFT,0,0,2.516765,165.126829,173.307869,2.434002,3.095894,5.418189,AXES_LOCALLY_CONSISTENT,0.36523,0.244088,1.945585,0.579479,0.779828,0.480262,-0.426811,0.103941,288719,271250,1.064402,286746,273223,1.049494,291285,268684,1.084117,10,0.207895,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,323,323,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-9.54618,-11.605545,15.027249,-129.43912,0.921703,3.494077,1.198229,E0_R2_two_sided_trajectory_body_axis_proxy,2.596396,50.56088,49.362651,IN_CALIBRATION_ASPECT_DOMAIN,65464,1.082079,0.926721,1.953226,2.19579,1.36286,2.691331,3.267559,3.118063,0.714435,VEHICLE_ENVELOPE_STABLE_SOFT,0.012742,0,2.175618,171.271719,174.06151,2.461458,3.140168,8.032592,AXES_LOCALLY_CONSISTENT,0.476273,0.291737,1.999705,0.625865,0.950871,0.554535,-0.531566,0.17142,287357,266397,1.07868,284921,268833,1.059844,291130,262624,1.108543,9,0.255362,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,325,325,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-9.027165,-11.73693,14.806932,-127.564781,0.338618,0.058747,179.382358,E0_R2_two_sided_trajectory_body_axis_proxy,1.367025,52.435219,53.052861,IN_CALIBRATION_ASPECT_DOMAIN,53435,1.030742,0.751666,1.50343,2.436305,0.713398,1.556644,1.746883,1.983442,0.784806,VEHICLE_ENVELOPE_STABLE_SOFT,0,0,43.726687,5.469741,174.837306,2.188223,3.007388,13.151632,AXES_DIVERGENT,-0.456388,-0.348272,-1.848445,-0.818903,-0.867732,-0.686095,-0.552661,0.155402,315048,290682,1.083824,294009,311721,0.94318,290485,315245,0.921458,3,0.366071,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,327,327,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-8.817315,-11.578665,14.553712,-127.289778,-0.455336,3.250105,0.012221,E0_R2_two_sided_trajectory_body_axis_proxy,1.936536,52.710222,52.698001,IN_CALIBRATION_ASPECT_DOMAIN,64074,1.058739,0.899584,1.75842,2.056018,1.229723,2.717395,3.252568,3.149898,0.570474,VEHICLE_ENVELOPE_STABLE_SOFT,0.156703,0,3.10727,176.175244,174.533997,2.578838,3.327852,7.451148,AXES_LOCALLY_CONSISTENT,0.60703,0.332775,2.037452,0.64023,1.0808,0.579293,-0.632577,0.281196,305739,278791,1.09666,302849,281681,1.075149,308633,275897,1.118653,10,0.349003,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,331,331,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-7.91931,-11.68254,14.113724,-124.132391,-0.648454,0.479261,0.793851,E0_R2_two_sided_trajectory_body_axis_proxy,1.980368,55.867609,55.073758,IN_CALIBRATION_ASPECT_DOMAIN,46283,1.075651,0.816828,1.722833,1.887825,1.422605,2.915883,3.354865,3.354274,0.556574,VEHICLE_ENVELOPE_STABLE_SOFT,0.170603,0,179.004016,176.026027,173.929572,2.394063,3.634968,8.96844,AXES_LOCALLY_CONSISTENT,0.441474,0.381718,1.959854,0.747458,0.823849,0.673447,-0.56572,0.143418,212131,191991,1.104901,208728,195394,1.068242,215727,188395,1.145078,9,0.325627,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,332,332,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-7.65222,-11.587275,13.886015,-123.440716,0.891219,1.98932,3.891959,E0_R2_two_sided_trajectory_body_axis_proxy,2.445902,56.559284,52.667325,IN_CALIBRATION_ASPECT_DOMAIN,33251,1.029451,0.570126,1.373586,2.514281,0.752894,1.43401,1.667344,1.823743,0.81689,VEHICLE_ENVELOPE_STABLE_SOFT,0.08223,0,49.896967,2.013262,0,2.02673,2.760301,1,AXES_DIVERGENT,0.327305,0.241572,1.491109,0.66961,0.698079,0.485835,-0.390572,0.11375,195838,182269,1.074445,193614,184493,1.049438,195894,182213,1.075082,2,0.336802,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
vehicle_body_axis_reference,333,333,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,calibration,-7.52067,-11.71983,13.925333,-122.68848,0.622526,0.124363,3.185713,E0_R2_two_sided_trajectory_body_axis_proxy,2.459624,57.31152,54.125807,IN_CALIBRATION_ASPECT_DOMAIN,38820,1.051004,0.624728,1.932389,2.80393,0.778925,1.439169,1.704076,1.907363,1.236213,VEHICLE_ENVELOPE_STABLE_SOFT,0,0,51.646024,177.83231,29.978245,2.137907,3.666135,3.143983,AXES_PARTIALLY_CONSISTENT,0.335898,0.286234,1.536816,0.787642,0.698542,0.577279,-0.428776,0.104445,206341,191237,1.078981,204688,192890,1.061164,206504,191074,1.080754,3,0.370634,HIGH_OBSERVABILITY_MASK_INNER,SAR_INTENSITY_MEASURED_IN_GENERATE_STAGE
