failure_id,pair_id,physical_vehicle_id,frame,method,azimuth_error,radial_error,primary_failure,local_center_bias,depth_background_contamination,relative_depth_scale_shift,scene_azimuth_offset,scene_radial_offset,insufficient_complete_anchor,identity_unresolved,motion_interpolation_failure,near_field_parallax,SAR_pairing_suspect,weak_calibration_model_suspect,notes
R2_GM19_FAIL_001,WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z0/Z1,8.157569,176.520381,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,"non-high-confidence, fragmentary, or identity-unsafe observation"
R2_GM19_FAIL_002,WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z0/Z1,7.766366,88.233313,insufficient_complete_anchor,true,true,true,false,true,true,false,false,true,false,false,"non-high-confidence, fragmentary, or identity-unsafe observation"
R2_GM19_FAIL_003,WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z0/Z1,7.421069,2.417479,insufficient_complete_anchor,true,true,true,false,false,true,false,false,true,false,false,"non-high-confidence, fragmentary, or identity-unsafe observation"
R2_GM19_FAIL_004,WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z0/Z1,10.326684,64.854063,insufficient_complete_anchor,true,true,true,true,false,true,false,false,true,false,false,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_005,WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z0/Z1,16.977753,360.8686,insufficient_complete_anchor,true,true,true,true,true,true,true,false,false,false,true,"non-high-confidence, fragmentary, or identity-unsafe observation"
R2_GM19_FAIL_006,WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z0/Z1,13.134578,26.201631,insufficient_complete_anchor,true,true,true,true,false,true,false,false,true,false,false,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_007,WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z0/Z1,20.330693,164.5388,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_008,WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z0/Z1,20.823979,274.897455,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_009,WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z0/Z1,12.733137,210.075718,insufficient_complete_anchor,true,false,false,true,true,true,false,false,true,false,true,"non-high-confidence, fragmentary, or identity-unsafe observation"
R2_GM19_FAIL_010,WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z0/Z1,1.443851,65.372648,insufficient_complete_anchor,true,true,true,false,false,true,false,false,true,false,false,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_011,WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z0/Z1,18.246886,138.65346,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_012,WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z0/Z1,17.744201,58.408822,insufficient_complete_anchor,true,true,true,true,false,true,false,false,true,false,false,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_013,WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z0/Z1,14.231054,278.572762,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_014,WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z0/Z1,14.38352,344.745556,insufficient_complete_anchor,true,true,true,true,true,true,false,false,false,false,true,real near-field truncation exists but no same-vehicle direct-observable anchors are available
R2_GM19_FAIL_015,WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z0/Z1,14.288483,213.52212,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,"non-high-confidence, fragmentary, or identity-unsafe observation"
R2_GM19_FAIL_016,WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z0/Z1,13.909872,189.771032,insufficient_complete_anchor,true,true,true,true,true,true,false,false,true,false,true,"non-high-confidence, fragmentary, or identity-unsafe observation"
