item_id,scene_id,related_fragment_or_edge,problem_type,reason,minimum_next_step,sar_ready,note
GM_RM011_WG11BRI001,GM_RM011,GM_RM011_WG11F005,over_merged_node,old_Y26N004 contains 26-30 large center-jump identity switch zone,review dense frames 18-35 and confirm whether 31-35 is independent,no,diagnostic only;no final boxes
GM_RM011_WG11BRI002,GM_RM011,GM_RM011_WG11TCE003;GM_RM011_WG11TCE004,occlusion_driven_target_switch,GM_RM011 135-166 switches box subject from left white vehicle to middle dark vehicle,keep occlusion_context and do not create same-vehicle edge,no,temporal context only;not SAR-ready
GM_RM011_WG11BRI003,GM_RM011,GM_RM011_WG11F010,thin_crop_review,frames 164-166 are thin right-edge crop with no stable full-body proxy,keep review_required and do not upgrade detector-only,no,diagnostic crop only
GM_RM011_WG11BRI004,GM_RM011,GM_RM011_WG11F012;GM_RM011_WG11F013;GM_RM011_WG11F014,visible_unboxed_vehicle_gap_reframed,GM_RM011 237-270 is covered by YOLO26l but old Y26N009 was over-merged,review A 236-239 B 242-264 C 265-270;do not merge,no,no final boxes;no override applied
GM_RM011_WG11BRI005,GM_RM011,GM_RM011_WG11TCE007,front_to_front_encounter,237 right-side white vehicle and 242-245 left-side white vehicle have different primary box subjects,keep temporal context unless human confirms same-vehicle continuity,no,identity-safe default is context edge
GM_RM011_WG11BRI006,GM_RM011,GM_RM011_WG11TCE008,rear_to_front_adjacency,264-265 primary box switch indicates vehicle turnover or adjacent vehicle handoff,keep temporal context and review 242-270 dense frames,no,blocks SAR consumption
GM_RM011_WG11BRI007,GM_RM011,GM_RM011_WG11SVE004_removed,same_vehicle_edge_removed,V1 weak edge GM_RM011_WGSVE004 is unsafe inside multi-vehicle encounter,review 231-239 only as temporal context unless human confirms identity,no,V1.1 removes the edge rather than downgrading to another weak edge
GM_RM011_WG11BRI008,GM_RM011,GM_RM011_WG11F017;GM_RM011_WG11TCE011,competitor_vehicle_context,left-edge competitor context remains forbidden guard for GM_RM011_E007,review forbidden guard but do not merge,no,not a same-vehicle edge
GM_RM017_WG11BRI001,GM_RM017,GM_RM017_WG11F001;GM_RM017_WG11F002;GM_RM017_WG11F004;GM_RM017_WG11F005,multi_target_review_window,GM_RM017 118-214 mixes truck/context vehicle white vehicle and dark vehicle targets,review targets separately;do not treat as one identity chain,no,full window not identity-safe
GM_RM017_WG11BRI002,GM_RM017,GM_RM017_N005;GM_RM017_E002,non_vehicle_exclusion_review,YOLO26l candidate around 121-129 does not restore non-vehicle exclusion to vehicle fragment,keep exclusion review separate,no,do not promote to vehicle node automatically
GM_RM017_WG11BRI003,GM_RM017,GM_RM017_E001;GM_RM017_WG11TCE005,forbidden_guard_review,leading and trailing dark vehicle relation remains detector-only unresolved,review dense frames but keep forbidden guard until human decision,no,no SAR-ready evidence
GM_RM017_WG11BRI004,GM_RM017,GM_RM017_WG11F003,node_identity_switch,159-163 transition zone has large center jumps and target-family switch risk,block as identity fragment and use only as context evidence,no,not final annotation
