lineage_edge_id,source_atom_id,target_atom_id,source_sar_frame,target_sar_frame,centroid_distance_px,radial_drift,azimuth_drift,orientation_difference,energy_ratio,role_compatibility,edge_status,blocked_reason
R21LE00001,R21A00002,R21A00006,27,28,58.343851,60.214401,3.785915,19.154725,6.252352,true,unique_continuation,
R21LE00002,R21A00001,R21A00007,27,28,58.858431,61.228668,2.408767,20.897837,5.152369,true,unique_continuation,
R21LE00003,R21A00007,R21A00010,28,29,57.662005,59.802322,2.717246,21.082978,4.903212,true,unique_continuation,
R21LE00004,R21A00006,R21A00011,28,29,60.359355,62.838318,1.007344,18.359217,3.206649,true,unique_continuation,
R21LE00005,R21A00011,R21A00013,29,30,57.183764,59.622726,1.818996,22.41406,3.195474,true,unique_continuation,
R21LE00006,R21A00010,R21A00014,29,30,59.775588,62.186577,0.15832,15.870024,2.287509,true,unique_continuation,
R21LE00007,R21A00011,R21A00016,29,30,60.56895,20.769775,27.38354,44.672773,12.663382,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00008,R21A00010,R21A00016,29,30,82.587018,40.215378,28.546602,64.959911,41.27434,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00009,R21A00016,R21A00021,30,31,4.516701,2.367661,1.684982,16.928317,1.099724,true,unique_continuation,
R21LE00010,R21A00013,R21A00018,30,31,22.925919,22.316467,1.794858,32.470158,1.204917,true,unique_continuation,
R21LE00011,R21A00016,R21A00020,30,31,22.942066,12.970367,7.887146,73.46023,1.403232,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00012,R21A00015,R21A00018,30,31,56.148495,51.008804,4.599676,33.344519,16.070937,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00013,R21A00014,R21A00021,30,31,58.756494,19.603539,27.01994,66.018204,16.407168,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00014,R21A00016,R21A00018,30,31,67.437318,16.536484,27.407679,80.443008,48.757588,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00015,R21A00013,R21A00021,30,31,79.979561,41.220612,27.517554,84.015151,36.796057,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00016,R21A00021,R21A00026,31,32,2.953436,1.727905,1.074078,1.654717,1.026882,true,unique_continuation,
R21LE00017,R21A00020,R21A00025,31,32,4.198606,2.772598,1.262894,6.389543,1.090686,true,unique_continuation,
R21LE00018,R21A00021,R21A00025,31,32,23.265472,12.56543,8.309235,50.142369,1.169892,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00019,R21A00020,R21A00026,31,32,30.38744,17.065933,10.646206,58.18663,1.242583,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00020,R21A00018,R21A00023,31,32,42.648154,19.520386,13.021391,33.927015,21.93227,true,unique_continuation,
R21LE00021,R21A00021,R21A00023,31,32,50.32793,38.42453,12.701305,29.587676,2.021505,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00022,R21A00018,R21A00024,31,32,52.628516,48.15448,3.545814,56.119738,26.459465,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00023,R21A00018,R21A00026,31,32,61.230361,20.63205,24.648619,65.169408,43.175567,true,possible_continuation,nonunique_or_wide_temporal_candidate
