scene,detector_name,optical_frame_num,optical_path,det_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area,is_vehicle_class,source_model,source_weight_path,notes
GM_RM011,baseline_oty0,13,D:\profile\research\data\GM_RM011\GM_RM011_frames\000013.png,GM_RM011_000013_001,car,0.52080237865448,271.148,253.068,798.545,592.976,179266.336,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,14,D:\profile\research\data\GM_RM011\GM_RM011_frames\000014.png,GM_RM011_000014_001,car,0.42134836316108704,270.433,265.474,798.507,592.307,172592.025,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,15,D:\profile\research\data\GM_RM011\GM_RM011_frames\000015.png,GM_RM011_000015_001,car,0.5983261466026306,272.057,277.084,798.659,592.913,166316.294,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,16,D:\profile\research\data\GM_RM011\GM_RM011_frames\000016.png,GM_RM011_000016_001,car,0.2822904586791992,270.669,283.125,798.675,591.577,162864.335,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,18,D:\profile\research\data\GM_RM011\GM_RM011_frames\000018.png,GM_RM011_000018_001,car,0.33273330330848694,264.229,304.981,798.825,593.025,153986.677,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,19,D:\profile\research\data\GM_RM011\GM_RM011_frames\000019.png,GM_RM011_000019_001,car,0.6370054483413696,0.166,298.249,87.010,580.195,24485.189,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,19,D:\profile\research\data\GM_RM011\GM_RM011_frames\000019.png,GM_RM011_000019_002,car,0.5721296668052673,250.627,287.832,797.227,593.273,166953.879,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,20,D:\profile\research\data\GM_RM011\GM_RM011_frames\000020.png,GM_RM011_000020_001,car,0.6909390687942505,239.538,229.860,793.535,593.071,201217.504,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,20,D:\profile\research\data\GM_RM011\GM_RM011_frames\000020.png,GM_RM011_000020_002,car,0.580050528049469,0.340,266.430,102.396,587.182,32734.774,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,21,D:\profile\research\data\GM_RM011\GM_RM011_frames\000021.png,GM_RM011_000021_001,car,0.8719737529754639,273.358,158.112,799.268,594.043,229260.571,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,21,D:\profile\research\data\GM_RM011\GM_RM011_frames\000021.png,GM_RM011_000021_002,car,0.8132137656211853,0.267,216.139,115.732,577.968,41778.859,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
GM_RM011,baseline_oty0,22,D:\profile\research\data\GM_RM011\GM_RM011_frames\000022.png,GM_RM011_000022_001,car,0.899833619594574,319.363,158.099,798.966,593.502,208820.826,true,ultralytics_yolo11l_current_oty0,not_committed; current OTY0 baseline source table,backend_status=available; plug-in detection row only
