failure_id,sample_id,sample_kind,method,physical_vehicle_id,frame,azimuth_error,radial_error,dominant_failure,identity,motion,scale,depth,pairing,weak_calibration,notes
R1_FAIL_001,R1_NAT_0028,natural_truncation,M2_recovered_full_vehicle_state,PV_GM17_WHITE_SUV,188,2.75241,40.92918,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=consistent;confidence=0.67
R1_FAIL_002,WGV35A_PAIR_0182,direct_observable_control,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,186,3.000385,35.560779,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=;confidence=0
R1_FAIL_003,R1_NAT_0029,natural_truncation,M2_recovered_full_vehicle_state,PV_GM17_WHITE_SUV,188,1.11121,48.00218,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=consistent;confidence=0.67
R1_FAIL_004,WGV35A_PAIR_0185,direct_observable_control,M2_recovered_full_vehicle_state,PV_GM17_WHITE_SUV,187,1.194037,38.685527,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=;confidence=0
R1_FAIL_005,WGV35A_PAIR_0183,direct_observable_control,M2_recovered_full_vehicle_state,PV_GM17_WHITE_SUV,186,0.54659,39.352141,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=;confidence=0
R1_FAIL_006,WGV35A_PAIR_0089,direct_observable_control,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=;confidence=0
R1_FAIL_007,R1_SIM_0011,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_008,R1_SIM_0012,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_009,R1_SIM_0013,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_010,R1_SIM_0014,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_011,R1_SIM_0015,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_012,R1_SIM_0016,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_013,R1_SIM_0017,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_014,R1_SIM_0018,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_015,R1_SIM_0019,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_016,R1_SIM_0020,simulated_truncation,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.450803,31.819672,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=synthetic_full_state;confidence=1
R1_FAIL_017,WGV35A_PAIR_0086,direct_observable_control,M2_recovered_full_vehicle_state,PV_GM17_DARK_FOLLOW,170,0.00825,34.87641,weak_calibration_model_suspect,none_observed,not_dominant,not_dominant,not_dominant,not_dominant,weak_calibration_model_suspect,blocked=;boundary=;confidence=0
R1_FAIL_018,R1_NAT_0001,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_019,R1_NAT_0002,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_020,R1_NAT_0003,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_021,R1_NAT_0004,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_022,R1_NAT_0005,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_023,R1_NAT_0006,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_024,R1_NAT_0007,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_025,R1_NAT_0016,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_026,R1_NAT_0017,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_027,R1_NAT_0018,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_028,R1_NAT_0019,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
R1_FAIL_029,R1_NAT_0025,natural_truncation,M2_recovered_full_vehicle_state,,,,,insufficient_complete_anchors,not_dominant,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,recovery blocked before projection
