fit_row_id,response_unit_id,sar_frame,matched_gt_pair_id,matched_gt_instance_id,physical_vehicle_id,mask_class,gt_semantic,gt_visible_fraction,gt_visible_range_width_px,gt_visible_azimuth_width_deg,sar_range_p80_width_px,sar_azimuth_p80_width_px,sar_azimuth_p80_width_deg_approx,boundary_variant_uncertainty,fit_eligible,absolute_scale_status,blocked_reason
FIT0001,R21B00001,27,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,152.914734,63.66109,46.683365,102.462444,34.705504,true,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0002,R21B00002,27,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,152.914734,63.66109,15.3478,30.134393,15.046051,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0003,R21B00003,27,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,152.914734,63.66109,8.526853,13.226962,3.803902,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0004,R21B00004,27,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,152.914734,63.66109,3.377877,7.206028,1.702443,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0005,R21B00005,27,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,152.914734,63.66109,5.736653,8.834242,3.223459,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0006,R21B00006,27,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,152.914734,63.66109,69.183275,102.526015,37.973152,true,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0007,R21B00024,31,WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,137.032492,61.1885,84.29691,100.928977,40.347341,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0008,R21B00025,31,WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,137.032492,61.1885,8.150496,10.79544,3.146126,true,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0009,R21B00026,31,WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,137.032492,61.1885,7.706196,11.443864,4.643299,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
FIT0010,R21B00027,31,WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,1,137.032492,61.1885,11.401619,13.295196,5.882743,false,false,ABSOLUTE_SCALE_UNRESOLVED,"no reliable raw SAR physical coordinate axis, pulse-to-PNG calibration, chirp bandwidth, FFT/grid, or display resize/crop provenance recovered"
