pair_id,sar_frame,split,body_axis_proxy_deg,motion_heading_directed_deg,raw_directed_curvature_deg,axial_curvature_deg,raw_vs_smoothed_axial_difference_deg,history_vs_symmetric_axial_difference_deg,speed_px_per_sar_frame,fit_residual_px,support_frame_count,duplicate_conflict_status,trajectory_gap_size,local_displacement_sign_stability,heading_confidence,confidence_rule_version,calibration_min_speed_px_per_sar_frame,calibration_max_fit_residual_px,calibration_max_axial_curvature_deg,axis_semantics
WGV35A_PAIR_0003,315,calibration,4.415781,4.415781,0,0,0,0,6.034914,2.747752,5,UNIQUE_GT_CENTER,0,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0006,317,calibration,0.838679,0.838679,12.951065,12.951065,6.125942,3.577102,6.318055,3.138462,6,UNIQUE_GT_CENTER,2,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0007,319,calibration,2.172565,2.172565,25.490782,25.490782,8.159009,4.99695,6.126931,3.158538,7,UNIQUE_GT_CENTER,2,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0010,321,calibration,2.172565,2.172565,21.581413,21.581413,17.331774,1.834231,6.126931,3.158538,7,UNIQUE_GT_CENTER,2,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0012,323,calibration,0.921703,0.921703,12.12853,12.12853,2.998777,3.494077,6.276623,3.166957,8,UNIQUE_GT_CENTER,2,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0014,325,calibration,0.338618,0.338618,51.228529,51.228529,14.544221,0.058747,6.564818,3.01123,9,UNIQUE_GT_CENTER,2,1,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0016,327,calibration,179.544664,-0.455336,43.621179,43.621179,37.478261,3.250105,6.580243,3.479371,10,UNIQUE_GT_CENTER,2,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0021,331,calibration,179.351546,-0.648454,26.228429,26.228429,5.949801,0.479261,6.783021,3.006006,12,UNIQUE_GT_CENTER,4,0.909091,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0023,332,calibration,0.891219,0.891219,64.848202,64.848202,18.738956,1.98932,6.743539,3.174502,12,UNIQUE_GT_CENTER,1,0.909091,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0025,333,calibration,0.622526,0.622526,76.209056,76.209056,45.840553,0.124363,6.654384,3.206671,13,UNIQUE_GT_CENTER,1,0.916667,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0027,334,calibration,179.666452,-0.333548,45.30258,45.30258,31.324578,2.900752,6.683176,3.15442,13,UNIQUE_GT_CENTER,1,0.916667,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0030,335,calibration,179.47096,-0.52904,123.828972,56.171028,13.782511,3.817682,6.680982,3.047563,14,UNIQUE_GT_CENTER,1,0.923077,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0033,336,calibration,0.135745,0.135745,104.4024,75.5976,70.618324,4.212995,6.536745,2.780769,14,WEAK_CORRESPONDENCE_EXCLUDED,1,0.923077,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0035,337,calibration,179.754456,-0.245544,7.191499,7.191499,5.360566,2.140989,6.472768,2.774853,15,UNIQUE_GT_CENTER,1,0.928571,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0038,338,calibration,179.513022,-0.486978,31.810598,31.810598,1.589499,1.185709,6.492254,2.707438,16,UNIQUE_GT_CENTER,1,0.933333,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0041,339,calibration,179.408812,-0.591188,9.22043,9.22043,30.325309,0.600733,6.504677,2.633308,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0044,340,calibration,179.701939,-0.298061,74.551522,74.551522,20.811752,2.626841,6.442027,2.683847,17,UNIQUE_GT_CENTER,1,0.9375,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0048,341,calibration,0.708955,0.708955,56.910369,56.910369,54.746786,2.924942,6.435934,2.660643,17,UNIQUE_GT_CENTER,1,0.9375,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0051,342,calibration,0.246471,0.246471,7.454288,7.454288,2.626066,2.167244,6.497061,2.84005,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0053,343,calibration,0.41966,0.41966,4.606494,4.606494,5.001411,2.025153,6.347488,2.781277,17,UNIQUE_GT_CENTER,1,0.875,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0056,344,calibration,0.762201,0.762201,13.794801,13.794801,0.737459,0.991016,6.442917,2.732868,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0060,345,calibration,0.875059,0.875059,14.013671,14.013671,14.645117,3.253752,6.378268,2.668725,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0063,346,calibration,1.157978,1.157978,2.39081,2.39081,0.914364,4.863912,6.395617,2.69924,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0065,347,calibration,0.828961,0.828961,32.502063,32.502063,1.805463,5.551615,6.438326,2.640176,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
