visual_id,sar_frame,diagnostic_png,review_requirement,review_status,reviewer_conclusion_cn,commit_policy
axes_gt_frame371,371,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\axes_gt_frame371.png,GT and local range/azimuth axes,generated_and_opened_for_e0_review,坐标方向可见；米制比例未被验证，只能读作局部像素轴。,do_not_commit_png_outputs
scale_regions_frame371,371,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\scale_regions_frame371.png,same-center scale regions,generated_and_opened_for_e0_review,缩放区域覆盖合理，但响应随面积扩大也会纳入背景，不能直接当作车辆尺度证明。,do_not_commit_png_outputs
translation_regions_frame376,376,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\translation_regions_frame376.png,range/azimuth/image translations,generated_and_opened_for_e0_review,平移网格显示高响应并非只在 GT 中心；需用衰减曲面而非单点峰值解释。,do_not_commit_png_outputs
rotation_regions_frame381,381,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\rotation_regions_frame381.png,rotation perturbations,generated_and_opened_for_e0_review,旋转扰动可见，但 GT 未提供真实车头方向，角度只能解释为图像轴扰动。,do_not_commit_png_outputs
directional_expansion_frame386,386,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\directional_expansion_frame386.png,near/far/azimuth/storage expansion,generated_and_opened_for_e0_review,非对称扩展可见，新增区域含背景响应，不能自动解释为车体扩散。,do_not_commit_png_outputs
ring_frame394,394,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\ring_frame394.png,GT expansion rings,generated_and_opened_for_e0_review,外环包含明显邻近背景，环带对照是必要的负证据。,do_not_commit_png_outputs
background_controls_frame371,371,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\background_controls_frame371.png,same-area background controls,generated_and_opened_for_e0_review,同面积背景控制能产生可观能量，是物理可分性 gate 的主要压力。,do_not_commit_png_outputs
mask_contact_frame371,371,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\mask_contact_frame371.png,zero-valued proxy mask contact,generated_and_opened_for_e0_review,mask-edge 控制只说明 zero-valued proxy 接触，不能作为官方 mask 结论。,do_not_commit_png_outputs
scale_curve_mean_energy,,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\e0_scale_curve_mean_energy.png,scale response curve,generated_and_opened_for_e0_review,尺度曲线显示总能量随区域变大容易增加；必须优先看单位面积和环带对照。,do_not_commit_png_outputs
translation_heatmap_mean_energy,,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\e0_translation_mean_energy_heatmap.png,translation response heatmap,generated_and_opened_for_e0_review,平移热图用于检查峰值是否偏离 GT；不能作为选择器。,do_not_commit_png_outputs
rotation_curve_principal_axis,,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\e0_rotation_principal_axis_curve.png,rotation/principal-axis curve,generated_and_opened_for_e0_review,主轴角与 GT 存储轴不稳定一致，真实车辆方向仍未解析。,do_not_commit_png_outputs
n005_hard_negative_panel,249,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\e0_n005_hard_negative_panel.png,N005 known non-vehicle hard negative,generated_and_opened_for_e0_review,N005 强散射/线性结构能形成车辆尺度相近的局部响应，是 hard negative。,do_not_commit_png_outputs
gt_vs_background_hard_negative_bar,,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\e0_gt_vs_background_hard_negative_bar.png,GT versus same-area hard-negative/background contrast,generated_and_opened_for_e0_review,强散射背景的平均能量可达到或超过 GT 区域，不能宣称车辆区域稳定可分。,do_not_commit_png_outputs
principal_axis_vs_gt_direction_frame394,394,outputs\wgv3_6b_e0_gm017_metric_region_contrast_20260712\visual_review\e0_principal_axis_vs_gt_storage_axis.png,principal axis versus GT storage axis,generated_and_opened_for_e0_review,SAR 主轴与 GT 存储轴存在明显差异；不能预设二者一致。,do_not_commit_png_outputs
