experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,target_pair_id,sar_frame,assembly_id,component_ids,component_count,assembly_centroid,assembly_envelope,azimuth_span,radial_span,total_area,total_intensity,peak_intensity,internal_gap_statistics,source_anchor_structure_similarity,temporal_support_length,selection_status,search_window,first_uncertain_frame,first_irrecoverable_frame_k2,first_irrecoverable_frame_k3,first_irrecoverable_frame_k5,ambiguity_recovery_event,association_discontinuity,identity_contamination,notes
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,27,src_27_assembly,src27_c001,1,"1116.400,1183.775","1038.000,1155.000,1169.000,1235.000",0,0,868,75633.003052,140,0,1,1,source_assembly_initialized,"1038.000,1155.000,1169.000,1235.000",,30,,,false,false,NOT_TESTED,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,28,C1A_ADJ_0204_TO_0205_28_a003,C1A_ADJ_0204_TO_0205_28_c003,1,"1123.632,1171.451","1036.000,1121.000,1196.000,1233.000",0,0,1544,130130.002625,158,0,0.637067,1,confirmed_assembly,"980.000,1121.000,1227.000,1269.000",,30,,,false,false,NOT_TESTED,single response assembly after graph grouping
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,C1A_ADJ_0204_TO_0205_29_a001,C1A_ADJ_0204_TO_0205_29_c004;C1A_ADJ_0204_TO_0205_29_c005;C1A_ADJ_0204_TO_0205_29_c011,3,"1131.405,1165.265","1041.000,1077.000,1225.000,1245.000",3.892325,127.740952,2316,206151.004005,193,0,0.627355,1,confirmed_assembly,"985.232,1061.635,1261.232,1267.715",,30,,,false,false,NOT_TESTED,single response assembly after graph grouping
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,C1A_ADJ_0204_TO_0205_30_corridor,C1A_ADJ_0204_TO_0205_30_c004;C1A_ADJ_0204_TO_0205_30_c006;C1A_ADJ_0204_TO_0205_30_c012;C1A_ADJ_0204_TO_0205_30_c010;C1A_ADJ_0204_TO_0205_30_c008;C1A_ADJ_0204_TO_0205_30_c014,6,"1141.284,1169.338","1004.000,1080.000,1294.000,1248.000",69.112997,117.38385,2904,283693.998398,208,4.8,0.67322,1,ambiguous_assemblies,"988.053,1000.254,1293.493,1309.374",30,30,,,false,false,NOT_TESTED,multiple response assemblies retained as ambiguous; no brightness or target ranking
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,C1A_ADJ_0204_TO_0205_31_corridor,C1A_ADJ_0204_TO_0205_31_c001;C1A_ADJ_0204_TO_0205_31_c014;C1A_ADJ_0204_TO_0205_31_c022;C1A_ADJ_0204_TO_0205_31_c020;C1A_ADJ_0204_TO_0205_31_c025;C1A_ADJ_0204_TO_0205_31_c024,6,"1129.549,1136.295","932.000,1003.000,1332.000,1291.000",82.418915,129.242737,6352,474067.994522,186,8,0.205595,1,ambiguous_assemblies,"916.073,1003.254,1397.473,1312.374",30,30,,,false,false,NOT_TESTED,multiple response assemblies retained as ambiguous; no brightness or target ranking
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,27,src_27_assembly,src27_c001,1,"1116.400,1183.775","1038.000,1155.000,1169.000,1235.000",0,0,868,75633.003052,140,0,1,1,source_assembly_initialized,"1038.000,1155.000,1169.000,1235.000",,30,,,false,false,NOT_TESTED,
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,28,C1B_ADJ_0204_TO_0205_28_a003,C1B_ADJ_0204_TO_0205_28_c003,1,"1123.632,1171.451","1036.000,1121.000,1196.000,1233.000",0,0,1544,130130.002625,158,0,0.637067,1,confirmed_assembly,"980.000,1121.000,1227.000,1269.000",,30,,,false,false,NOT_TESTED,single assembly
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,29,C1B_ADJ_0204_TO_0205_29_a001,C1B_ADJ_0204_TO_0205_29_c004;C1B_ADJ_0204_TO_0205_29_c005;C1B_ADJ_0204_TO_0205_29_c011,3,"1131.405,1165.265","1041.000,1077.000,1225.000,1245.000",3.892325,127.740952,2316,206151.004005,193,0,0.627355,1,confirmed_assembly,"985.232,1061.635,1261.232,1267.715",,30,,,false,false,NOT_TESTED,single assembly
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,30,C1B_ADJ_0204_TO_0205_30_uncertainty_corridor,C1B_ADJ_0204_TO_0205_30_c008;C1B_ADJ_0204_TO_0205_30_c014;C1B_ADJ_0204_TO_0205_30_c004;C1B_ADJ_0204_TO_0205_30_c006;C1B_ADJ_0204_TO_0205_30_c012;C1B_ADJ_0204_TO_0205_30_c010,6,"1141.284,1169.338","1004.000,1080.000,1294.000,1248.000",69.112997,117.38385,2904,283693.998398,208,4.8,0.67322,1,ambiguous_assemblies_pending,"988.053,1000.254,1293.493,1309.374",30,30,,,false,false,NOT_TESTED,"temporary uncertainty corridor; branch list capped by spatial order, not score"
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,C1B_ADJ_0204_TO_0205_31_uncertainty_corridor,C1B_ADJ_0204_TO_0205_31_c020;C1B_ADJ_0204_TO_0205_31_c024;C1B_ADJ_0204_TO_0205_31_c025;C1B_ADJ_0204_TO_0205_31_c001;C1B_ADJ_0204_TO_0205_31_c014;C1B_ADJ_0204_TO_0205_31_c022,6,"1129.549,1136.295","932.000,1003.000,1332.000,1291.000",82.418915,129.242737,6352,474067.994522,186,8,0.205595,1,ambiguous_assemblies_pending,"916.073,1003.254,1397.473,1312.374",30,30,,,false,false,NOT_TESTED,"temporary uncertainty corridor; branch list capped by spatial order, not score"
