artifact_key,path,sha256,row_count,phase,notes
heading_observability,reports\oty2\samples\e0_r2_heading_observability_20260712.csv,2bd049cb524858c246ceead924230fa181412c1a635ef20810b5511ba01fe690,71,e0_r2_evaluated,
heading_uncertainty_ablation,reports\oty2\samples\e0_r2_heading_uncertainty_ablation_20260712.csv,38358ce351f35fea671322876ae08a97586dc12cc762ae265ea83d3b4ab64fa2,355,e0_r2_evaluated,
relative_aspect_timeline,reports\oty2\samples\e0_r2_relative_aspect_timeline_20260712.csv,b033676596102a9665f1ccc9d9a7d73674d1ac58e9159d3e0053b95e8ac18041,71,e0_r2_evaluated,
vehicle_response_descriptors,reports\oty2\samples\e0_r2_vehicle_response_descriptors_20260712.csv,76cb8012ba1cb6290da5d69ee8ca8fd0f0ccc76da6adc0492bdb4f356acbbf30,497,e0_r2_evaluated,
gt_attached_background_corridors,reports\oty2\samples\e0_r2_gt_attached_background_corridors_20260712.csv,956e3e7a8d1a9d7be0e8329c428de6d1c1d2dc4f8906fa6abcdf3f3f6fefb771,1152,e0_r2_evaluated,
persistent_strong_counterfactual,reports\oty2\samples\e0_r2_persistent_strong_counterfactual_20260712.csv,9c3d6e6056991dba2576f4c80815de138b565a614fe81c5835881797fb431d81,71,e0_r2_evaluated,
fixed_background_aspect_control,reports\oty2\samples\e0_r2_fixed_background_aspect_control_20260712.csv,ce30cf4d183de07f9cd257448cf29b5e56221de01c64b2bde566c11638cce087,213,e0_r2_evaluated,
visual_review_manifest,reports\oty2\samples\e0_r2_visual_review_manifest_20260712.csv,728c1bec15bc1fbb8a0dad007109a645778fcf3e75665d3791366bedf2a62903,21,e0_r2_evaluated,Report/CSV committed; PNG files remain ignored under outputs/.
pre_eval_seal,reports\oty2\samples\e0_r2_pre_eval_seal_20260712.csv,9796b752b905c1cd145a5d19236555441faf7a776e968ff04b0bc42837046877,8,e0_r2_evaluated,
replay_check,reports\oty2\samples\e0_r2_replay_check_20260712.csv,c295536cd3e6b865257b999426656ae65427f7874ec6b9612a32795fd3c6ec9a,8,e0_r2_evaluated,
aspect_span_audit,reports\oty2\samples\e0_r2_aspect_span_audit_20260712.csv,6b50c9e8718a91b4ee0f84ae62f1b2d825102f74d158593f084ab9eb170cf172,4,e0_r2_evaluated,
aspect_binned_response,reports\oty2\samples\e0_r2_aspect_binned_response_20260712.csv,773d717266e5a0a7f8f716d24aba2455ddf0aa8867d1dabe772320123982ae5b,16,e0_r2_evaluated,
local_aspect_smoothness,reports\oty2\samples\e0_r2_local_aspect_smoothness_20260712.csv,92b1570d8a505c1e4cdccb19451a638eae06ca13a4e5a8fef37a721ce6d7a2ee,70,e0_r2_evaluated,
same_aspect_repeatability,reports\oty2\samples\e0_r2_same_aspect_repeatability_20260712.csv,659efa508fea04e1d102e6ae2b0b92c3bf4311b48c232632537eff7fde72276b,329,e0_r2_evaluated,
aspect_range_confounding,reports\oty2\samples\e0_r2_aspect_range_confounding_20260712.csv,a44c1ac34c796b53cfb8ced2b3434ef4821ac82c182e067197963b6427eb4342,10,e0_r2_evaluated,
aspect_shuffle_control,reports\oty2\samples\e0_r2_aspect_shuffle_control_20260712.csv,17bb48d1334c465245da36733d304162a555933ef4f39da0e52147ddae2bb053,24,e0_r2_evaluated,
gt_attached_background_corridors_eval,reports\oty2\samples\e0_r2_gt_attached_background_corridors_eval_20260712.csv,65609a061cfa447c869773e48058cca140fa78fd1ed6a84b56ab74f6952d44c1,4,e0_r2_evaluated,
persistent_strong_counterfactual_eval,reports\oty2\samples\e0_r2_persistent_strong_counterfactual_eval_20260712.csv,2a092972745da282b7ecdd42a8ef8e056be3464e92ec11685eb41141f15626d4,1,e0_r2_evaluated,
fixed_background_aspect_control_eval,reports\oty2\samples\e0_r2_fixed_background_aspect_control_eval_20260712.csv,d46a11b9aea0fa4867466dd8677d950acbb0281aef4bc2655b6cd5549152e29c,3,e0_r2_evaluated,
multi_aspect_gate_matrix,reports\oty2\samples\e0_r2_multi_aspect_gate_matrix_20260712.csv,26869d16758cfe64f4262c2f7305813f3580058cdf1f9716cb49d4d64d6bed02,10,e0_r2_evaluated,
failure_ledger,reports\oty2\samples\e0_r2_failure_ledger_20260712.csv,7689a5833038b9b97564a53f623e4cce2b83b8c0c16d2151a79dfb2ccdd0879c,7,e0_r2_evaluated,
gate_integrity,reports\oty2\samples\e0_r2_gate_integrity_20260712.csv,bfb9144072c58e04fd94810ac543f23e40461c64c1b8d4e5bb98d7b6b94c1bb9,24,e0_r2_evaluated,
report,reports\oty2\oty2_wgv3_6b_e0_r2_gm017_temporal_multi_aspect_response_20260712.md,5caffd2dff4a12e6c15d77640a66524bb54db7202ea9b1287ac8acbc80af8eea,120,e0_r2_evaluated,
