boundary_family_id,source_r1_family_ids,sar_frame,member_response_unit_ids,shared_core_atom_ids,family_relation,common_core_bbox,boundary_variants,uncertain_envelope,boundary_status,member_count,boundary_semantic_note_cn
R21R11BF00001,R21R1F00001,27,R21B00001;R21B00006,R21A00001,shared_actual_core_boundary_family,"1036.000,1131.000,1186.000,1203.000","1036,1131,1186,1203 | 1036,1131,1186,1233","1006.000,1131.000,1186.000,1233.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00002,R21R1F00002,27,R21B00002,R21A00002,single_local_response_unit,"1096.000,1209.000,1144.000,1233.000","1096,1209,1144,1233","1030.000,1131.000,1186.000,1233.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00003,R21R1F00003,27,R21B00003,R21A00003,single_local_response_unit,"1084.000,1131.000,1108.000,1149.000","1084,1131,1108,1149","1006.000,1131.000,1186.000,1233.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00004,R21R1F00004,27,R21B00004,R21A00004,single_local_response_unit,"1006.000,1131.000,1018.000,1137.000","1006,1131,1018,1137","1006.000,1131.000,1186.000,1233.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00005,R21R1F00005,27,R21B00005,R21A00005,single_local_response_unit,"1030.000,1221.000,1042.000,1233.000","1030,1221,1042,1233","1006.000,1131.000,1186.000,1233.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00006,R21R1F00006,28,R21B00007;R21B00011,R21A00006,shared_actual_core_boundary_family,"1036.000,1131.000,1192.000,1203.000","1036,1131,1192,1203 | 1036,1131,1192,1233","1006.000,1131.000,1192.000,1233.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00007,R21R1F00007,28,R21B00008,R21A00007,single_local_response_unit,"1096.000,1203.000,1150.000,1233.000","1096,1203,1150,1233","1036.000,1131.000,1192.000,1233.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00008,R21R1F00008,28,R21B00009,R21A00008,single_local_response_unit,"1084.000,1131.000,1114.000,1149.000","1084,1131,1114,1149","1006.000,1131.000,1192.000,1233.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00009,R21R1F00009,28,R21B00010,R21A00009,single_local_response_unit,"1006.000,1131.000,1024.000,1143.000","1006,1131,1024,1143","1006.000,1131.000,1192.000,1203.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00010,R21R1F00010,29,R21B00012;R21B00015,R21A00010,shared_actual_core_boundary_family,"1042.000,1131.000,1192.000,1197.000","1042,1131,1192,1197 | 1042,1131,1192,1245","1042.000,1131.000,1192.000,1245.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00011,R21R1F00011,29,R21B00013,R21A00011,single_local_response_unit,"1096.000,1203.000,1156.000,1245.000","1096,1203,1156,1245","1042.000,1131.000,1192.000,1245.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00012,R21R1F00012,29,R21B00014,R21A00012,single_local_response_unit,"1090.000,1131.000,1114.000,1149.000","1090,1131,1114,1149","1042.000,1131.000,1192.000,1245.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00013,R21R1F00013,30,R21B00016;R21B00021;R21B00022,R21A00013,shared_actual_core_boundary_family,"1042.000,1131.000,1193.000,1197.000","1042,1131,1193,1197 | 1042,1131,1193,1239 | 1042,1131,1193,1245","1042.000,1131.000,1193.000,1245.000",multiple_boundary_variants,3,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00014,R21R1F00014,30,R21B00017;R21B00023,R21A00014,shared_actual_core_boundary_family,"1096.000,1203.000,1162.000,1245.000","1066,1203,1162,1245 | 1096,1203,1162,1245","1042.000,1131.000,1193.000,1245.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00015,R21R1F00015,30,R21B00018,R21A00015,single_local_response_unit,"1090.000,1131.000,1120.000,1149.000","1090,1131,1120,1149","1042.000,1131.000,1193.000,1245.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00016,R21R1F00016,30,R21B00019,R21A00016,single_local_response_unit,"1066.000,1221.000,1084.000,1239.000","1066,1221,1084,1239","1042.000,1131.000,1193.000,1245.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00017,R21R1F00017,30,R21B00020,R21A00017,single_local_response_unit,"1042.000,1221.000,1054.000,1239.000","1042,1221,1054,1239","1042.000,1131.000,1193.000,1245.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
