gate_id,status,evidence,notes
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-gm017-physical-factor-discovery;head=57a82b11ec715539fe054bbad490f069a503c928,
P0_ARTIFACTS_FROZEN_UNCHANGED,PASS,git diff --quiet 1a3edd97d17b167ca63d9d70651dad29d5601f5b -- P0 frozen artifact paths,
D1_ARTIFACTS_FROZEN_UNCHANGED,PASS,git diff --quiet 57a82b11ec715539fe054bbad490f069a503c928 -- D1 frozen artifact paths,
GENERATOR_HOLDOUT_GT_IMPORT_FORBIDDEN,PASS,D1-R1 generator source scanned before reference labels were opened,
HOLDOUT_GT_NOT_READ_DURING_GENERATION,PASS,generation artifacts record gt_file_opened=false,
FUTURE_FRAME_NOT_READ,PASS,max_sar_frame_read <= current SAR frame,
PRE_EVAL_SEAL_VALID,PASS,seal ok,
GENERATOR_SOURCE_SHA_VALID,PASS,generator source sha matches pre-eval seal,
FROZEN_RUNTIME_PARAMETERS_VALID,PASS,runtime parameter sha matches pre-eval seal,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=15,
BACKGROUND_ONE_COMPONENT_PER_TRACK_PER_FRAME,PASS,no duplicate background_track_id+sar_frame,
BACKGROUND_ONE_TRACK_PER_COMPONENT_PER_FRAME,PASS,no duplicate component_id+sar_frame,
BACKGROUND_UNIQUE_FRAME_SUPPORT_VALID,PASS,support_unique_frame_count equals support_frame_ids count,
BACKGROUND_CONFLICT_AUDIT_IMPLEMENTED,PASS,conflicting_vehicle_motion_frames field is explicit,
RESPONSE_STATE_MACHINE_CONSISTENT,PASS,current_evidence_state is single and consistent with same_motion flag,
CURRENT_AND_HIGHEST_STATE_SEPARATED,PASS,current and highest evidence states are separate fields,
MOTION_SHELL_NOT_EQUAL_SAME_MOTION,PASS,motion shell candidate never implies same-motion support,
RELATIVE_STRUCTURE_GATE_ACTIVE,PASS,relative_gate_fail_rows=1960,
SAME_MOTION_SUPPORT_USES_UNIQUE_FRAMES,PASS,same_motion rows require support_unique_frame_count >= 2,
PRIOR_RESPONSE_PREDICTION_UNCONTAMINATED,PASS,relative residual computed from prior track-relative fields,
TRACK_SPECIFIC_MISSING_STATE_VALID,PASS,visibility_events=161,
REAPPEARANCE_FIRST_HIT_NOT_AUTO_SUPPORTED,PASS,candidate_rows=36,
REAPPEARANCE_CONFIRMATION_VALID,PASS,confirmation_rows=36,
ADMISSION_POLICY_ABLATION_COMPLETE,PASS,state_rows=102,
UNSUPPORTED_TRACKS_CANNOT_UPDATE_TARGET_STATE,PASS,eligible_track_ids and exclusion_reasons are explicit,
STATE_UPDATE_PROVENANCE_COMPLETE,PASS,state rows include admitted/excluded tracks and update source,
VISUAL_REVIEW_GROUNDED,PASS,visual_rows=34,
BASELINE_COMPARISON_COMPLETE,PASS,"D1 original, D1-R1 A/B/C, no-observation, P0 linear, P0 static compared",
FAILURE_CLASSIFICATION_SPECIFIC,PASS,failure_types=7,
D1_R1_SEMANTIC_INTEGRITY_READY,PASS,semantic gates pass,
D1_R1_PHYSICAL_DYNAMIC_MEMBERSHIP_READY,NOT_READY,semantic repair does not prove stable physical dynamic membership; P0 absolute-frame baseline remains stronger,
