part_hypothesis_node_id,atom_id,sar_frame,candidate_role,support_pixel_long_axis,support_pixel_short_axis,orientation,integrated_energy,persistent_part_track_id,lineage_state
R1N0001,R1A0001,27,isolated_small_atom,10.657314,2.510781,-26.80383,1370,R1PT001,unique_continuation
R1N0002,R1A0002,27,unresolved_atom,15.695248,10.163538,-17.181813,7331,R1PT002,unique_continuation
R1N0003,R1A0003,27,unresolved_atom,132.450212,65.342252,-14.249884,110034,,ambiguous_successors
R1N0004,R1A0004,27,body_core_candidate,36.211269,12.29618,6.647621,16477,,role_transition_or_blocked
R1N0005,R1A0005,27,isolated_small_atom,11.667449,4.106229,-52.781648,1211,,newly_appeared_or_disappeared
R1N0006,R1A0006,28,isolated_small_atom,11.282722,3.035589,-37.585469,1571,R1PT001,unique_continuation
R1N0007,R1A0007,28,unresolved_atom,21.736859,10.055348,-18.329245,10099,R1PT002,unique_continuation
R1N0008,R1A0008,28,unresolved_atom,130.867627,67.238747,-12.507104,103020,,ambiguous_successors
R1N0009,R1A0009,28,body_core_candidate,36.370698,15.589997,6.647953,21356,,ambiguous_successors
R1N0010,R1A0010,29,unresolved_atom,20.721061,9.022418,-16.610156,9802,R1PT002,unique_continuation
R1N0011,R1A0011,29,unresolved_atom,128.431529,67.12426,-14.435025,104713,,ambiguous_successors
R1N0012,R1A0012,29,body_core_candidate,40.744613,19.405186,5.852113,32127,,ambiguous_successors
R1N0013,R1A0013,30,unresolved_atom,15.076931,9.630552,-10.537519,7146,R1PT002,unique_continuation
R1N0014,R1A0014,30,unresolved_atom,128.363951,64.490805,-15.560471,92459,R1PT003,unique_continuation
R1N0015,R1A0015,30,body_core_candidate,41.224808,20.472565,1.306819,44066,,ambiguous_predecessors
R1N0016,R1A0016,30,isolated_small_atom,10.061606,4.659165,-55.140771,2167,,newly_appeared_or_disappeared
R1N0017,R1A0017,30,isolated_small_atom,16.965815,11.149262,52.293988,2357,,newly_appeared_or_disappeared
R1N0018,R1A0018,31,unresolved_atom,14.52219,9.449168,20.174764,5226,R1PT002,unique_continuation
R1N0019,R1A0019,31,unresolved_atom,137.087542,109.755331,-49.848644,114744,R1PT003,unique_continuation
R1N0020,R1A0020,31,endpoint_hotspot_candidate,13.540333,5.750621,-53.467986,3412,,ambiguous_successors
R1N0021,R1A0021,31,endpoint_hotspot_candidate,15.244789,12.211209,66.278538,2494,,ambiguous_successors
R1N0022,R1A0022,32,unresolved_atom,13.963985,10.350243,7.087632,4675,R1PT002,unique_continuation
R1N0023,R1A0023,32,unresolved_atom,130.69766,65.272129,-79.117201,95838,R1PT003,unique_continuation
R1N0024,R1A0024,32,isolated_small_atom,24.228162,8.965465,-12.74674,1765,,newly_appeared_or_disappeared
R1N0025,R1A0025,32,unresolved_atom,29.300446,18.449044,-82.95912,5640,,ambiguous_predecessors
R1N0026,R1A0026,32,endpoint_hotspot_candidate,13.672646,6.636713,-62.404427,3264,,role_transition_or_blocked
R1N0027,R1A0027,32,endpoint_hotspot_candidate,13.668997,12.091466,65.798486,2865,,role_transition_or_blocked
R1N0028,R1A0028,34,unresolved_atom,18.272542,3.03978,-32.295873,2692,,newly_appeared_or_disappeared
R1N0029,R1A0029,34,unresolved_atom,12.736732,8.892315,23.187417,4930,,newly_appeared_or_disappeared
R1N0030,R1A0030,34,body_core_candidate,131.334419,61.586185,-83.293626,80414,,newly_appeared_or_disappeared
R1N0031,R1A0031,34,side_ridge_candidate,30.040183,7.668286,-11.64262,5489,,newly_appeared_or_disappeared
R1N0032,R1A0032,34,unresolved_atom,30.951319,15.788875,-59.803293,3865,,newly_appeared_or_disappeared
R1N0033,R1A0033,34,endpoint_hotspot_candidate,34.850846,13.799471,5.113141,7373,,newly_appeared_or_disappeared
R1N0034,R1A0034,34,endpoint_hotspot_candidate,14.705697,12.885031,-52.077544,3890,,newly_appeared_or_disappeared
R1N0035,R1A0035,39,side_ridge_candidate,33.902551,5.10157,4.544447,5524,R1PT004,unique_continuation
R1N0036,R1A0036,39,background_arc_candidate,35.09073,7.154184,-24.347118,11339,,newly_appeared_or_disappeared
R1N0037,R1A0037,39,background_arc_candidate,25.403533,9.340987,5.907263,10575,R1PT005,unique_continuation
R1N0038,R1A0038,39,body_core_candidate,78.72891,62.431459,-83.894285,78817,R1PT006,unique_continuation
R1N0039,R1A0039,39,isolated_small_atom,25.678043,4.147607,9.604987,2297,R1PT007,unique_continuation
R1N0040,R1A0040,39,endpoint_hotspot_candidate,34.672359,10.281996,18.034592,2728,R1PT008,unique_continuation
R1N0041,R1A0041,39,endpoint_hotspot_candidate,11.761222,8.925918,-23.088711,3867,,newly_appeared_or_disappeared
R1N0042,R1A0042,40,side_ridge_candidate,100.740745,13.969183,-2.181297,17928,R1PT004,unique_continuation
R1N0043,R1A0043,40,background_arc_candidate,27.48932,10.06184,7.32543,11762,R1PT005,unique_continuation
R1N0044,R1A0044,40,isolated_small_atom,24.68524,4.01139,14.83175,1847,R1PT007,unique_continuation
R1N0045,R1A0045,40,body_core_candidate,73.923298,69.283,-86.94054,65046,R1PT006,unique_continuation
R1N0046,R1A0046,40,endpoint_hotspot_candidate,64.00124,9.097188,16.94181,7141,R1PT008,unique_continuation
R1N0047,R1A0047,46,side_ridge_candidate,84.409229,12.087039,-7.443015,24968,,newly_appeared_or_disappeared
R1N0048,R1A0048,46,unresolved_atom,138.921974,81.258008,88.156096,96974,,newly_appeared_or_disappeared
