"factor_id","window_id","scene","factor_type","connected_node_ids","source_file","factor_claim_cn","factor_support_state","permission_gate","blocked_reason","notes"
"F_GM011_T001_STATE","GM_RM011_WGV14T001","GM_RM011","optical_state_factor","N_GM011_T001_OBS;N_GM011_T001_STATE","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","近场截断和主框修复可解释光学状态变化。","supports","pre_sar_only","none","State support remains optical/posthoc."
"F_GM011_T001_CONT","GM_RM011_WGV14T001","GM_RM011","optical_continuity_factor","N_GM011_T001_FRAG;N_GM011_T001_THREAD","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","0-25帧在光学图内稳定。","supports","optical_identity_constraint_only","cannot_prove_sar_identity","Accepted optical continuity is not SAR identity."
"F_GM011_T001_MORPH","GM_RM011_WGV14T001","GM_RM011","sar_morphology_factor","N_GM011_T001_SARREF;N_GM011_T001_SARMORPH","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","GT-local脊带和壳轮廓支持车尺度SAR词汇。","supports","posthoc_sar_mechanism_only","gt_quality_caveats","No annotation permission."
"F_GM011_T001_DRIFT","GM_RM011_WGV14T001","GM_RM011","sar_temporal_drift_factor","N_GM011_T001_SARDT;N_GM011_T001_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","GM_RM011缺少直接方位/对象流映射，时间漂移不可解析。","insufficient_evidence","posthoc_proxy_only","missing_direct_gm011_mapping_source","No offset selected."
"F_GM011_T001_GEOM","GM_RM011_WGV14T001","GM_RM011","geometry_feasibility_factor","N_GM011_T001_THREAD;N_GM011_T001_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","几何可行域存在为设计上下文，但无法闭合映射。","insufficient_evidence","feasible_domain_only","missing_direct_gm011_azimuth_source","Feasible domain is not localization."
"F_GM011_T001_PERM","GM_RM011_WGV14T001","GM_RM011","evidence_permission_factor","N_GM011_T001_PERM;N_GM011_T001_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","权限允许机制解释和检索优先，不允许SAR身份证明。","blocked","permission_gate","sar_consumption_blocked","Permission gate prevents promotion."
"F_GM011_T001_MECH","GM_RM011_WGV14T001","GM_RM011","mechanism_explanation_factor","N_GM011_T001_STATE;N_GM011_T001_SARMORPH;N_GM011_T001_REL","reports/oty2/samples/oty2_wgv1_8_gm011_optical_sar_physical_mechanism_links_20260709.csv","近场截断可解释SAR支持扩展或位移。","supports","posthoc_mechanism_only","mapping_unresolved","Mechanism support is not annotation."
"F_GM011_T004_STATE","GM_RM011_WGV14T004","GM_RM011","optical_state_factor","N_GM011_T004_THREAD;N_GM011_T004_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","151-166帧同一白车在光学内稳定但有边缘截断。","supports","pre_sar_only","none","Optical support only."
"F_GM011_T004_CONT","GM_RM011_WGV14T004","GM_RM011","optical_continuity_factor","N_GM011_T004_THREAD;N_GM011_T004_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","T004为accepted optical identity constraint。","supports","optical_identity_constraint_only","cannot_prove_sar_identity","No SAR upgrade."
"F_GM011_T004_MORPH","GM_RM011_WGV14T004","GM_RM011","sar_morphology_factor","N_GM011_T004_SARMORPH","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","区域有enclosed_shell和corner_hotspot等后验词汇。","weak_support","posthoc_sar_mechanism_only","thread_mapping_missing","Prior summary only."
