raw_review_id,blind_frame_id,blind_family_id,family_id,sar_frame,raw_family_visible_structure_cn,raw_member_bbox_consistency_cn,raw_common_core_support_cn,raw_boundary_variant_reason_cn,raw_spatially_distinct_structure_present,raw_vehicle_response_support,raw_background_support,raw_unresolved,raw_decisive_reason_cn,raw_confidence,raw_png
R21R1RAW0001,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_001,R21R1F00001,27,?????????????????????? raw ???????,?????????????????????????,???????????????????????????????,?? common_core_only??????????????,false,false,true,false,R21R1F00001?SAR 27?raw ???????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.50,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0002,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_002,R21R1F00002,27,????????????????????????????????,??????raw ???????????????????,???????????????????,????? single_consensus_bbox?????????????,false,true,false,false,R21R1F00002?SAR 27?raw ?????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.56,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0003,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_003,R21R1F00003,27,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00003?SAR 27?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0004,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_004,R21R1F00004,27,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00004?SAR 27?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0005,R21R1_BLIND_FRAME_027,R21R1_BLIND_FAMILY_005,R21R1F00005,27,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00005?SAR 27?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0006,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_006,R21R1F00006,28,?????????????????????? raw ???????,?????????????????????????,???????????????????????????????,?? common_core_only??????????????,false,false,true,false,R21R1F00006?SAR 28?raw ???????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.50,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0007,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_007,R21R1F00007,28,????????????????????????????????,??????raw ???????????????????,???????????????????,????? single_consensus_bbox?????????????,false,true,false,false,R21R1F00007?SAR 28?raw ?????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.56,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0008,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_008,R21R1F00008,28,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00008?SAR 28?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_001.png
R21R1RAW0009,R21R1_BLIND_FRAME_028,R21R1_BLIND_FAMILY_009,R21R1F00009,28,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00009?SAR 28?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0010,R21R1_BLIND_FRAME_029,R21R1_BLIND_FAMILY_010,R21R1F00010,29,?????????????????????? raw ???????,?????????????????????????,???????????????????????????????,?? common_core_only??????????????,false,false,true,false,R21R1F00010?SAR 29?raw ???????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.50,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0011,R21R1_BLIND_FRAME_029,R21R1_BLIND_FAMILY_011,R21R1F00011,29,????????????????????????????????,??????raw ???????????????????,???????????????????,????? single_consensus_bbox?????????????,false,true,false,false,R21R1F00011?SAR 29?raw ?????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.56,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0012,R21R1_BLIND_FRAME_029,R21R1_BLIND_FAMILY_012,R21R1F00012,29,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00012?SAR 29?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0013,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_013,R21R1F00013,30,?????????????????????? raw ???????,?????????????????????????,???????????????????????????????,?? common_core_only??????????????,false,false,true,false,R21R1F00013?SAR 30?raw ???????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.50,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0014,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_014,R21R1F00014,30,?????????????????????? raw ???????,?????????????????????????,???????????????????????????????,?? common_core_only??????????????,false,false,false,true,R21R1F00014?SAR 30?raw ?????????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0015,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_015,R21R1F00015,30,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00015?SAR 30?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0016,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_016,R21R1F00016,30,?????????????????????????????????,??????raw ???????????????????,???????????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00016?SAR 30?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.46,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_002.png
R21R1RAW0017,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_017,R21R1F00017,30,????????????????????????,??????raw ???????????????????,??????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00017?SAR 30?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.38,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_003.png
R21R1RAW0018,R21R1_BLIND_FRAME_031,R21R1_BLIND_FAMILY_018,R21R1F00018,31,?????????????????????? raw ???????,?????????????????????????,???????????????????????????????,?? common_core_only??????????????,false,false,false,true,R21R1F00018?SAR 31?raw ?????????????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_003.png
R21R1RAW0019,R21R1_BLIND_FRAME_031,R21R1_BLIND_FAMILY_019,R21R1F00019,31,?????????????????????????????????,??????raw ???????????????????,???????????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00019?SAR 31?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.46,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_003.png
R21R1RAW0020,R21R1_BLIND_FRAME_031,R21R1_BLIND_FAMILY_020,R21R1F00020,31,?????????????????????????????????,??????raw ???????????????????,???????????????????????,????? single_consensus_bbox?????????????,false,false,false,true,R21R1F00020?SAR 31?raw ??????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.46,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_003.png
R21R1RAW0021,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_021,R21R1F00021,32,?????????????????????????????????,?????????????????raw ?????????,?????????????????????????,?? multiple_valid_bbox_variants????????????????,false,false,false,true,R21R1F00021?SAR 32?raw ?????????????????? sheet ??????? R2.1-R1 ?????????? family ID?? judgement ? GT?,0.42,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_raw_family_sheet_003.png
