family_id,sar_frame,member_core_subgraph_ids,member_response_box_ids,family_relation,distinct_core_member_sets,conservative_bbox_variants,uncertain_envelope_variants,family_runtime_states,family_shared_evidence,family_unresolved_difference
R21F00001,27,R21C00001;R21C00002;R21C00003;R21C00004;R21C00005;R21C00006,R21B00001;R21B00002;R21B00003;R21B00004;R21B00005;R21B00006,distinct_core_same_response,6,"1006,1131,1018,1137 | 1030,1221,1042,1233 | 1036,1131,1186,1203 | 1036,1131,1186,1233 | 1084,1131,1108,1149 | 1096,1209,1144,1233","1006,1131,1186,1233 | 1030,1131,1186,1233",unresolved:5;vehicle_response_box_possible:1,R21A00001;R21A00002;R21A00003;R21A00004;R21A00005,members differ by core membership or uncertain envelope
R21F00002,28,R21C00007;R21C00008;R21C00009;R21C00010;R21C00011,R21B00007;R21B00008;R21B00009;R21B00010;R21B00011,nested_boundary_variant,5,"1006,1131,1024,1143 | 1036,1131,1192,1203 | 1036,1131,1192,1233 | 1084,1131,1114,1149 | 1096,1203,1150,1233","1006,1131,1192,1203 | 1006,1131,1192,1233 | 1036,1131,1192,1233",unresolved:4;vehicle_response_box_possible:1,R21A00006;R21A00007;R21A00008;R21A00009,members differ by core membership or uncertain envelope
R21F00003,29,R21C00012;R21C00013;R21C00014;R21C00015,R21B00012;R21B00013;R21B00014;R21B00015,nested_boundary_variant,4,"1042,1131,1192,1197 | 1042,1131,1192,1245 | 1090,1131,1114,1149 | 1096,1203,1156,1245","1042,1131,1192,1245",unresolved:3;vehicle_response_box_possible:1,R21A00010;R21A00011;R21A00012,members differ by core membership or uncertain envelope
R21F00004,30,R21C00016;R21C00017;R21C00018;R21C00019;R21C00020;R21C00021;R21C00022;R21C00023,R21B00016;R21B00017;R21B00018;R21B00019;R21B00020;R21B00021;R21B00022;R21B00023,nested_boundary_variant,8,"1042,1131,1193,1197 | 1042,1131,1193,1239 | 1042,1131,1193,1245 | 1042,1221,1054,1239 | 1066,1203,1162,1245 | 1066,1221,1084,1239 | 1090,1131,1120,1149 | 1096,1203,1162,1245","1042,1131,1193,1245",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,R21A00013;R21A00014;R21A00015;R21A00016;R21A00017,members differ by core membership or uncertain envelope
R21F00005,31,R21C00024;R21C00025;R21C00026;R21C00027;R21C00028;R21C00029;R21C00030;R21C00031,R21B00024;R21B00025;R21B00026;R21B00027;R21B00028;R21B00029;R21B00030;R21B00031,nested_boundary_variant,8,"1042,1135,1114,1243 | 1042,1135,1193,1249 | 1042,1225,1060,1243 | 1066,1219,1084,1237 | 1090,1135,1114,1147","1042,1135,1193,1249",unresolved:3;vehicle_part_box_only:2;vehicle_response_box_possible:1;vehicle_response_box_supported:2,R21A00018;R21A00019;R21A00020;R21A00021,members differ by core membership or uncertain envelope
R21F00006,32,R21C00032;R21C00033;R21C00034;R21C00035;R21C00036;R21C00037;R21C00038;R21C00039,R21B00032;R21B00033;R21B00034;R21B00035;R21B00036;R21B00037;R21B00038;R21B00039,spatially_distinct_hypothesis,8,"1048,1165,1072,1177 | 1048,1225,1060,1243 | 1072,1135,1192,1249 | 1072,1159,1096,1189 | 1072,1219,1090,1237 | 1090,1135,1114,1147 | 1090,1135,1192,1249 | 1102,1135,1192,1249","1048,1135,1192,1249",unresolved:5;vehicle_part_box_only:2;vehicle_response_box_possible:1,R21A00022;R21A00023;R21A00024;R21A00025;R21A00026;R21A00027,members differ by core membership or uncertain envelope
R21F00007,34,R21C00040;R21C00041;R21C00042;R21C00043;R21C00044;R21C00045;R21C00046;R21C00047,R21B00040;R21B00041;R21B00042;R21B00043;R21B00044;R21B00045;R21B00046;R21B00047,spatially_distinct_hypothesis,8,"1018,1141,1042,1159 | 1036,1135,1193,1267 | 1036,1219,1072,1243 | 1072,1165,1102,1189 | 1078,1219,1102,1237 | 1102,1135,1120,1147 | 1108,1135,1193,1267 | 952,1153,988,1171","1018,1135,1193,1267 | 1036,1135,1193,1267 | 952,1135,1120,1243 | 952,1135,1193,1267 | 952,1141,1072,1243",unresolved:3;vehicle_part_box_only:3;vehicle_response_box_possible:1;vehicle_response_box_supported:1,R21A00028;R21A00029;R21A00030;R21A00031;R21A00032;R21A00033;R21A00034,members differ by core membership or uncertain envelope
R21F00008,39,R21C00048;R21C00049;R21C00050;R21C00051;R21C00052;R21C00053;R21C00054;R21C00055,R21B00048;R21B00049;R21B00050;R21B00051;R21B00052;R21B00053;R21B00054;R21B00055,spatially_distinct_hypothesis,8,"1048,1165,1192,1276 | 1048,1207,1078,1225 | 1048,1207,1102,1231 | 1084,1165,1192,1276 | 1084,1171,1114,1183 | 1084,1213,1102,1231 | 1108,1165,1192,1276 | 982,1141,1030,1153","1048,1165,1192,1276 | 982,1141,1114,1231 | 982,1141,1192,1276",unresolved:2;vehicle_part_box_only:3;vehicle_response_box_possible:3,R21A00035;R21A00038;R21A00039;R21A00040;R21A00041,members differ by core membership or uncertain envelope
R21F00009,40,R21C00056;R21C00058;R21C00059;R21C00060;R21C00061,R21B00056;R21B00058;R21B00059;R21B00060;R21B00061,spatially_distinct_hypothesis,5,"1054,1207,1108,1237 | 1090,1171,1114,1183 | 1114,1135,1193,1261 | 1114,1171,1193,1261 | 1138,1135,1168,1153","994,1135,1193,1261",unresolved:3;vehicle_response_box_possible:2,R21A00042;R21A00044;R21A00045;R21A00046,members differ by core membership or uncertain envelope
R21F00010,40,R21C00057,R21B00057,single_member_family,1,"994,1135,1090,1159","994,1135,1193,1261",vehicle_part_box_only:1,R21A00043,
