review_item_id,merge_candidate_id,scene_id,from_target_family_id,to_target_family_id,frame_start,frame_end,from_endpoint_frame,to_endpoint_frame,gap_frame_count,endpoint_dx_px,endpoint_dy_px,endpoint_distance_px,endpoint_dx_per_step_px,endpoint_area_ratio,from_endpoint_class,to_endpoint_class,class_switch_flag,from_endpoint_x_bin,to_endpoint_x_bin,x_bin_switch_flag,selected_primary_frames,competing_candidate_frames,detectionless_frames,competing_frame_ratio,same_frame_close_competitor_frames,same_frame_class_competitor_frames,max_same_frame_competitor_iou,max_selected_step_dx_px,max_selected_step_area_ratio,risk_level,machine_triage_label,risk_reason_codes,recommended_human_focus,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
MRQ001,GM_RM011_WGV12M001,GM_RM011,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,0,9,4,8,3,25.3,56.1,61.6,15.4,1.280,car,car,no,mid,mid,no,7,9,0,0.900,1,0,0.867,28.6,1.280,medium,manual_review_candidate_with_competing_context,high_competing_frame_ratio;same_frame_close_competition,same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ002,GM_RM011_WGV12M003,GM_RM011,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,16,10,13,2,18.9,14.9,24.1,8.0,1.126,car,car,no,mid,mid,no,5,6,0,0.857,4,0,0.906,35.1,1.126,medium,manual_review_candidate_with_competing_context,high_competing_frame_ratio;same_frame_close_competition,same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ003,GM_RM011_WGV12M004,GM_RM011,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,13,25,16,18,1,1.9,7.6,7.8,3.9,1.056,car,car,no,mid,mid,no,12,11,0,0.846,3,4,0.906,57.9,1.635,high,manual_review_high_risk_keep_separate_until_confirmed,high_competing_frame_ratio;same_frame_class_competition;same_frame_close_competition,class/vehicle-type conflict; same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ004,GM_RM011_WGV12M005,GM_RM011,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,18,35,25,31,5,424.7,74.9,431.3,71.9,1.925,car,car,no,right,left,yes,13,17,0,0.944,0,4,0.000,71.9,1.925,high,manual_review_high_risk_keep_separate_until_confirmed,endpoint_center_jump_review;high_competing_frame_ratio;same_frame_class_competition;x_bin_switch,class/vehicle-type conflict; left/mid/right lane-slot continuity; same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ005,GM_RM011_WGV12M006,GM_RM011,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,151,166,161,164,2,36.3,52.1,63.5,21.2,4.456,car,car,no,right,right,no,14,8,1,0.500,2,1,1.000,31.5,4.456,high,manual_review_high_risk_keep_separate_until_confirmed,detectionless_gap_context;endpoint_area_ratio_review;high_competing_frame_ratio;same_frame_class_competition;same_frame_close_competition;selected_area_jump_high,class/vehicle-type conflict; same-frame competing vehicle choice; detectionless gap frames; box area / partial-full transition,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ006,GM_RM011_WGV12M008,GM_RM011,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,239,233,236,2,6.7,4.0,7.8,2.6,1.048,car,car,no,mid,mid,no,5,6,0,0.857,0,0,0.000,34.6,1.182,medium,manual_review_candidate_with_competing_context,high_competing_frame_ratio,same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ007,GM_RM011_WGV12M014,GM_RM011,GM_RM011_WGV12TF017,GM_RM011_WGV12TF018,265,270,266,269,2,78.4,8.5,78.8,26.3,1.534,car,car,no,left,left,no,4,2,2,0.333,0,0,0.000,28.6,1.534,medium,manual_review_candidate_with_competing_context,detectionless_gap_context,detectionless gap frames,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ008,GM_RM011_WGV12M015,GM_RM011,GM_RM011_WGV12TF018,GM_RM011_WGV12TF019,269,288,270,279,8,52.3,14.2,54.2,6.0,1.312,car,car,no,left,mid,yes,11,12,0,0.600,1,0,0.447,119.8,1.402,high,manual_review_high_risk_keep_separate_until_confirmed,high_competing_frame_ratio;same_frame_close_competition;x_bin_switch,left/mid/right lane-slot continuity; same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ009,GM_RM017_WGV12M001,GM_RM017,GM_RM017_WGV12TF001,GM_RM017_WGV12TF002,118,148,144,145,0,18.3,1.7,18.4,18.4,1.037,truck,truck,no,mid,mid,no,31,9,0,0.290,1,9,0.008,21.7,1.523,high,manual_review_high_risk_keep_separate_until_confirmed,same_frame_class_competition;same_frame_close_competition,class/vehicle-type conflict; same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ010,GM_RM017_WGV12M005,GM_RM017,GM_RM017_WGV12TF005,GM_RM017_WGV12TF006,158,168,158,164,5,76.3,4.3,76.4,12.7,1.374,car,car,no,left,left,no,6,11,0,1.000,6,4,0.137,18.2,1.374,high,manual_review_high_risk_keep_separate_until_confirmed,high_competing_frame_ratio;same_frame_class_competition;same_frame_close_competition,class/vehicle-type conflict; same-frame competing vehicle choice,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
MRQ011,GM_RM017_WGV12M010,GM_RM017,GM_RM017_WGV12TF011,GM_RM017_WGV12TF012,200,214,213,214,0,10.0,2.9,10.4,10.4,2.641,car,car,no,right,right,no,15,1,0,0.067,1,0,0.000,21.0,2.641,medium,manual_review_candidate_with_competing_context,endpoint_area_ratio_review;same_frame_close_competition,same-frame competing vehicle choice; box area / partial-full transition,no,no / blocked,yes,yes,machine triage for human review only;not accepted edge;not identity truth
