response_track_id,init_frame,last_frame,current_evidence_state,highest_evidence_state_reached,support_observation_count,support_unique_frame_count,support_frame_ids,current_consecutive_support_frames,current_missing_frames,reappearance_count,terminated_frame,last_response_x,last_response_y,relative_to_target_x,relative_to_target_y,same_motion_supported
RT_D1_R1_0001,360,394,same_motion_supported,reappeared_supported,21,21,360;361;370;371;372;376;379;380;381;382;384;385;386;387;388;389;390;391;392;393;394,11,0,4,,1363.390278,959.45625,55.903313,22.84492,true
RT_D1_R1_0002,360,394,same_motion_supported,reappeared_supported,25,25,360;364;366;367;369;370;371;374;375;376;377;378;379;380;383;384;385;386;387;388;390;391;392;393;394,5,0,6,,1276.5625,944.564453,-41.183805,16.520112,true
RT_D1_R1_0003,360,394,same_motion_supported,same_motion_supported,35,35,360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394,35,0,0,,1386.47107,958.417391,81.04345,26.812349,true
RT_D1_R1_0004,360,394,same_motion_supported,same_motion_supported,29,29,360;361;362;363;364;365;366;367;368;369;370;371;372;375;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394,15,0,2,,1338.290896,900.662162,28.728789,-28.727082,true
RT_D1_R1_0005,360,371,terminated,reappeared_supported,9,9,360;361;363;366;367;368;369;370;371,0,9,2,380,1212.159296,973.220668,66.936704,31.681408,false
RT_D1_R1_0006,360,360,terminated,motion_shell_candidate,1,1,360,0,9,0,369,1035.20218,958.231913,-46.35782,16.404913,false
RT_D1_R1_0007,360,390,temporarily_missing,reappeared_supported,14,14,360;362;363;364;367;368;370;375;376;379;381;382;386;390,0,4,8,,1307.259322,918.191525,34.489535,-16.664513,false
RT_D1_R1_0008,360,360,terminated,motion_shell_candidate,1,1,360,0,9,0,369,1111.181714,919.841143,29.621714,-21.985857,false
RT_D1_R1_0009,360,360,terminated,motion_shell_candidate,1,1,360,0,9,0,369,1149.133102,944.731481,67.573102,2.904481,false
RT_D1_R1_0010,360,360,terminated,motion_shell_candidate,1,1,360,0,9,0,369,1146.233211,941.831502,64.673211,0.004502,false
RT_D1_R1_0011,360,394,same_motion_supported,same_motion_supported,34,34,360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394,15,0,1,,1291.696347,923.953196,-25.913816,-9.390424,true
RT_D1_R1_0012,361,394,same_motion_supported,same_motion_supported,33,33,361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;384;385;386;387;388;389;390;391;392;393;394,11,0,1,,1281.877122,965.618224,-21.091712,30.602778,true
RT_D1_R1_0013,362,372,terminated,same_motion_supported,11,11,362;363;364;365;366;367;368;369;370;371;372,0,9,0,381,1140.201063,919.656032,-29.202586,-14.345117,false
RT_D1_R1_0014,364,392,temporarily_missing,same_motion_supported,15,15,364;365;366;367;368;369;370;371;372;375;377;378;384;391;392,0,2,4,,1279.863102,924.459893,-23.166338,7.432956,false
RT_D1_R1_0015,367,370,terminated,reappearance_provisionally_supported,3,3,367;369;370,0,9,1,379,1136.687291,943.717391,-20.11911,-0.95094,false
RT_D1_R1_0016,374,394,same_motion_supported,reappeared_supported,10,10,374;376;380;381;383;388;391;392;393;394,4,0,5,,1326.358664,956.5711,18.272621,26.006866,true
RT_D1_R1_0017,374,376,terminated,reappearance_candidate,2,2,374;376,0,9,1,385,1191.266267,974.696062,6.809137,33.943295,false
RT_D1_R1_0018,381,391,temporarily_missing,same_motion_supported,10,10,381;382;383;384;385;386;387;389;390;391,0,3,1,,1272.780811,924.628619,-10.789946,-9.059969,false
