sar_frame,r2_atom_count,r2_1_causal_atom_count,atom_bbox_change,role_change,lineage_change,core_hypothesis_change,response_bbox_change,hypothesis_family_change,change_caused_by_causal_regeneration_cn
30,5,5,same_count_bbox_not_pairwise_assumed,"{'unresolved_atom': 2, 'body_core_candidate': 1, 'endpoint_hotspot_candidate': 1, 'isolated_small_atom': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=2;r2_1=8,r2=2;r2_1=8,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
60,9,3,changed_count_or_support,"{'background_arc_candidate': 1, 'body_core_candidate': 1, 'isolated_small_atom': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=2;r2_1=2,r2=2;r2_1=2,r2_1_family_count=2,因果重生成导致原子/核心/框数量发生变化。
227,5,3,changed_count_or_support,"{'unresolved_atom': 1, 'endpoint_hotspot_candidate': 1, 'isolated_small_atom': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=1;r2_1=4,r2=1;r2_1=4,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
228,4,3,changed_count_or_support,"{'unresolved_atom': 1, 'body_core_candidate': 1, 'isolated_small_atom': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=1;r2_1=4,r2=1;r2_1=4,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
259,5,3,changed_count_or_support,"{'body_core_candidate': 2, 'side_ridge_candidate': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=2;r2_1=7,r2=2;r2_1=7,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
260,3,3,same_count_bbox_not_pairwise_assumed,"{'unresolved_atom': 1, 'body_core_candidate': 1, 'endpoint_hotspot_candidate': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=1;r2_1=7,r2=1;r2_1=7,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
262,3,1,changed_count_or_support,{'body_core_candidate': 1},R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=1;r2_1=1,r2=1;r2_1=1,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
263,2,1,changed_count_or_support,{'body_core_candidate': 1},R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=1;r2_1=1,r2=1;r2_1=1,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
272,5,6,changed_count_or_support,"{'unresolved_atom': 1, 'body_core_candidate': 1, 'endpoint_hotspot_candidate': 1, 'isolated_small_atom': 3}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=2;r2_1=8,r2=2;r2_1=8,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
281,5,4,changed_count_or_support,"{'unresolved_atom': 1, 'body_core_candidate': 1, 'endpoint_hotspot_candidate': 1, 'isolated_small_atom': 1}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=3;r2_1=8,r2=3;r2_1=8,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
284,5,5,same_count_bbox_not_pairwise_assumed,"{'unresolved_atom': 1, 'body_core_candidate': 1, 'isolated_small_atom': 3}",R2.1 lineage rebuilt from regenerated atoms; R2 lineage not copied,r2=2;r2_1=6,r2=2;r2_1=6,r2_1_family_count=1,因果重生成导致原子/核心/框数量发生变化。
