physical_vehicle_id,sar_frame_id,optical_frame_id,anchor_interval_id,direction,is_left_anchor,is_right_anchor,is_any_anchor,is_non_anchor_middle_frame,number_of_forward_records,number_of_backward_records,number_of_variants,included_in_original_metric,included_in_recomputed_metric
PV_GM19_SILVER_MPV_NEAR_FIELD,212,102,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,true,false,true,false,4,0,4,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,213,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,214,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,215,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,216,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,217,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,218,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,219,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,220,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,221,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,222,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,223,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,224,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,225,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,226,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,227,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,228,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,229,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,forward,false,false,false,true,2,0,2,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,230,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,231,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,232,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,233,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,234,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,235,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,236,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,237,,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209,both,false,false,false,true,2,1,3,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,238,114,WGV35A_PAIR_0208_TO_WGV35A_PAIR_0209;WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,both,true,true,true,false,6,1,4,false,false
PV_GM19_SILVER_MPV_NEAR_FIELD,239,,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,240,,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,241,,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,242,,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,false,false,false,true,4,0,4,false,true
PV_GM19_SILVER_MPV_NEAR_FIELD,243,,WGV35A_PAIR_0209_TO_WGV35A_PAIR_0210,forward,false,false,false,true,4,0,4,false,true
