transform_id,source_frame,target_frame,required_inputs,available_inputs,missing_inputs,formula_or_reference,units,time_dependency,calibration_status,deployment_status,verification_status,blocking_reason
G0T001,optical_frame_index,optical_operational_time,optical_frame_index;optical_fps,optical_frame_index;24_fps,none,t_optical=i/24,s,per_frame,FPS_CONFIRMED,CONDITIONAL_COMMON_START,VERIFIED_FROM_SOURCE_CONTAINER,"No current-image-domain blocker; common start remains unfrozen"
G0T002,sar_frame_index,sar_operational_time,sar_frame_index;sar_gray_fps,sar_frame_index;50_fps,none,t_sar=j/50,s,per_frame,FPS_CONFIRMED,CONDITIONAL_COMMON_START,VERIFIED_FROM_SOURCE_CONTAINER,"No current-image-domain blocker; common start remains unfrozen"
G0T003,optical_operational_time,sar_operational_frame,optical_time;sar_fps;common_start,optical_time;50_fps;common_frame_0_assumption,independent_shared_clock,j_center=round(i*50/24);see P0 sync manifests,"frame;s",per_frame,OPERATIONAL_ONLY,NOT_HARDWARE_SYNC_TRUTH,INTERNALLY_CONSISTENT,"Only blocks hardware-level synchronization claims"
G0T004,sar_display_xy,sar_display_fan_polar,"x;y;origin",x;y;origin=(1154.0 1330.6),none,"r=hypot(x-1154.0 y-1330.6);theta=atan2(x-1154.0 1330.6-y)","px;deg",frame_independent,FROZEN_DISPLAY_RELATION,DEPLOYMENT_USABLE_FOR_FINAL_DISPLAY,VERIFIED,"Does not recover upstream sensor coordinates"
G0T005,sar_display_fan_polar,sar_display_xy,"r;theta;origin",r;theta;origin=(1154.0 1330.6),none,"x=1154.0+r*sin(theta);y=1330.6-r*cos(theta)",px,frame_independent,FROZEN_DISPLAY_RELATION,DEPLOYMENT_USABLE_FOR_FINAL_DISPLAY,VERIFIED,"Does not recover upstream sensor coordinates"
G0T006,research_sar_gt_rotated_box,research_sar_geometry_variables,"center;width;height;angle;fan_origin",all_required_inputs,none,"derive radius azimuth long_axis short_axis undirected_axis from GT and frozen display origin","px;deg",per_GT_frame,RESEARCH_GT_RELATION,RESEARCH_ONLY,VERIFIED,"GT forbidden at deployment; GT box not response mask"
G0T007,optical_reference_bbox,optical_multiview_variables,"bbox;frame;visibility;identity",all_required_inputs,none,"center=(x1+x2)/2,(y1+y2)/2;width=x2-x1;height=y2-y1;pose from direct optical review",px,per_optical_frame,DIRECT_IMAGE_OBSERVATION,RESEARCH_AUDIT_INPUT,VERIFIED,"Visible bbox can be truncated and is not metric vehicle geometry"
G0T008,optical_identity_and_observation_lifecycle,physical_vehicle_context,"canonical_identity;visibility;lifecycle;user_confirmed_relations",available_in_P1E_and_O2_context,automatic_deployment_identity_source,semantic_identity_link,identity_state,per_optical_frame,RESEARCH_IDENTITY_CONTEXT,NOT_AUTOMATIC_DEPLOYMENT_TRUTH,VERIFIED_FOR_AUDIT,"Does not directly produce SAR coordinates"
G0T009,optical_center_x,sar_display_azimuth,"optical_center_x;historical_coefficients",x;k=0.0875154;b=-40.413555,"cross_scene_pose_coverage;independent_calibration",theta=0.0875154*x-40.413555,deg,per_joined_frame,HISTORICAL_GT_DERIVED_MAPPING_BLOCKED,DIAGNOSTIC_ONLY,TRACEABLE_NOT_FROZEN,"Only a broad azimuth proxy; no range or 2D position"
G0T010,optical_scale_view_and_pass_stage,sar_display_radius,"optical_width;height;pose;pass_stage;calibration",width;height;pose_group;observation_sequence,"stable_cross_scene_calibration;complete_untruncated_projection",NO_FROZEN_FORMULA,"px or m_grid",per_joined_frame,AVAILABLE_BUT_UNCALIBRATED,NOT_DEPLOYMENT_USABLE,PARTIAL_WITHIN_THREAD_TRENDS_ONLY,"Does not block descriptive audit; blocks reliable radial prediction"
G0T011,optical_body_axis,sar_gt_or_response_axis,"visible_body_axis;identity;time_relation",clear_side_view;identity;operational_time,"exact_cross_modal_axis_calibration;response_axis_truth",QUALITATIVE_COMPATIBILITY_AND_90_DEG_EXCLUSION,deg,per_joined_frame,QUALITATIVE_ONLY,NOT_EXACT_DEPLOYMENT_MAPPING,VERIFIED_FOR_GM11_PV001_CONTROL,"Can reject gross 90-degree error but cannot determine exact SAR angle"
G0T012,combined_optical_image_variables,sar_display_xy,"identity;time;optical_center;scale;pose;radial_relation;azimuth_relation",identity;time;center;scale;pose;diagnostic_azimuth,"frozen_radial_relation;cross_scene_joint_calibration",NO_DEPLOYMENT_COMPATIBLE_2D_TRANSFORM,px,per_joined_frame,NOT_AVAILABLE,NOT_DEPLOYMENT_USABLE,NOT_FOUND,"Secondary boundary only; current image-domain audit remains valid"
G0T013,sar_display_length_px,sar_display_grid_length_m,"length_px;0.03_m_per_px",all_required_inputs,none,length_m_grid=length_px*0.03,m_grid,frame_independent,AVAILABLE_WITH_CURRENT_CORRECTION,CONDITIONAL_METRIC_DISPLAY_USE,VERIFIED_AS_PROJECT_DISPLAY_SCALE,"Not independent range or azimuth resolution"
