scene,global_vehicle_id,frame_start,frame_end,visible_frame_count,gap_frame_count,source_tracker_count,detector_source_usage,entry_type,exit_type,known_evidence_satisfied,heldout_evidence_result,risk_flags,tracker_merge_count,atomic_tracklet_count
GM_RM011,GM_RM011:GV001,0,35,35,1,10,"{""YOLO26l"":35}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,5
GM_RM011,GM_RM011:GV002,0,4,5,0,4,"{""YOLO26l"":5}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV003,20,59,40,0,7,"{""YOLO11l"":40}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,2
GM_RM011,GM_RM011:GV004,39,55,17,0,7,"{""YOLO11l"":17}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV005,88,130,43,0,4,"{""YOLO26l"":43}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV006,110,140,31,0,5,"{""YOLO11l"":31}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,2
GM_RM011,GM_RM011:GV007,116,151,36,0,4,"{""YOLO26l"":36}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,2
GM_RM011,GM_RM011:GV008,135,166,31,1,6,"{""YOLO26l"":31}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV009,155,166,12,0,2,"{""YOLO11l"":12}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV010,188,191,4,0,4,"{""YOLO11l"":4}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM011,GM_RM011:GV011,211,245,33,2,6,"{""YOLO26l"":33}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,2
GM_RM011,GM_RM011:GV012,243,266,23,1,9,"{""YOLO26l"":23}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,3
GM_RM011,GM_RM011:GV013,262,292,29,2,9,"{""YOLO26l"":29}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,4
GM_RM011,GM_RM011:GV014,284,315,29,3,8,"{""YOLO26l"":29}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV001,118,164,47,0,4,"{""YOLO26l"":47}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV002,145,185,41,0,5,"{""YOLO26l"":41}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV003,151,200,50,0,5,"{""YOLO26l"":50}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM017,GM_RM017:GV004,162,214,53,0,5,"{""YOLO26l"":53}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM019,GM_RM019:GV001,0,14,15,0,8,"{""YOLO11l"":15}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM019,GM_RM019:GV002,5,43,39,0,6,"{""YOLO11l"":39}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
GM_RM019,GM_RM019:GV003,45,100,49,7,13,"{""YOLO11l"":31,""YOLO26l"":18}",interior_birth_or_prior_occlusion,interior_death_or_long_unobserved,pending_evidence_evaluation,pending_evidence_evaluation,[],2,3
GM_RM019,GM_RM019:GV004,51,141,43,48,12,"{""YOLO11l"":43}",interior_birth_or_prior_occlusion,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",2,6
GM_RM019,GM_RM019:GV005,98,143,35,11,10,"{""YOLO11l"":28,""YOLO26l"":7}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,"[""long_gap_recovery""]",1,3
GM_RM019,GM_RM019:GV006,149,183,35,0,6,"{""YOLO26l"":35}",boundary_entry,boundary_exit,pending_evidence_evaluation,pending_evidence_evaluation,[],0,1
