conclusion_id,status,evidence_basis
COMMON_SCENE_TRANSPORT_MODEL,SUPPORTED_GLOBAL_TRANSLATION_PHASE_MULTI_BACKGROUND_MINIMUM_SUFFICIENT,"six fit anchors; two holdout anchors; affine did not improve holdout residuals"
BACKGROUND_STABILIZATION_QUALITY,SUPPORTED_MULTI_HOLDOUT_RESIDUAL_REDUCTION,"holdout phase residual medians 0.368339 px and 1.469039 px after stabilization"
RAW_GT_ADJACENT_MOTION_RELIABILITY,NOT_RELIABLE_AS_PHYSICAL_DISPLACEMENT_TRUTH,"raw adjacent acceleration and source-family alternation exceed common-transport smoothness"
LOCAL_HORIZONTAL_RESPONSE_CORE,SUPPORTED_STABILIZED_PERSISTENT_HORIZONTAL_CORE,"main horizontal response present 21/21; persistent core 1938 px; horizontal fragments dominate"
LOCAL_MULTI_PART_RESPONSE_ORGANIZATION,PARTIAL_STABLE_MAIN_UPPER_RELATION_ENDPOINTS_NOT_UNIQUE,"main/upper relative geometry stable locally; generic parts also occur in background"
VEHICLE_VS_MATCHED_BACKGROUND_RELATION_SET,PARTIAL_NO_SINGLE_CONTROL_REPRODUCES_COMPLETE_RELATION_SET,"right control matches range statistics but lacks persistence; fan arc reproduces form but not relative geometry"
RESPONSE_STATE_TRANSITION_AFTER_STABILIZATION,PARTIAL_339_NOT_VEHICLE_SPECIFIC_POST340_STRENGTHENING_REMAINS,"frame 339 coincides with scene-wide gain change; stabilized local horizontal strength remains higher later"
VISIBLE_RESPONSE_SUPPORT_CORRIDOR,PARTIAL_PERSISTENT_CORE_WITH_INTERMITTENT_AND_MIXED_REGIONS,"persistent core plus intermittent and unresolved regions; no full-body interpretation"
FULL_BODY_SUPPORT_READINESS,NOT_READY,"latent full-body support was not recovered"
OPTICAL_INPUT_REPLACEMENT_READINESS,NOT_READY,"audit remains GT/discovery-shell and posthoc only"
S1D_READINESS,NOT_READY,"S1-L only; no final box or downstream localization rule"
VEHICLE_MOTION_OWNERSHIP,NOT_TESTABLE_BY_DIFFERENTIAL_BULK_TRANSLATION,"static vehicle and background may share common scene transport"
MOTION_COHERENT_SUPPORT_CORRIDOR,NOT_EVALUATED_BY_VALID_SUPPORT_CRITERION,"previous vehicle-residual-lower-than-background criterion is invalid here"
