scene,canonical_vehicle_id,benchmark_role,optical_frame_index,sar_frame_index,sar_gt_id,gt_valid_mask_fraction,gt_inside_valid_mask,gt_touches_valid_mask_boundary,gt_clipped_by_valid_mask,optical_vehicle_full_visibility,optical_vehicle_boundary_truncation,optical_pose_group,sar_response_completeness,direct_neighbor_gt_competition,multi_vehicle_presence_coarse,gt_theta_min_deg,gt_theta_max_deg,gt_valid_theta_min_deg,gt_valid_theta_max_deg,gt_theta_width_deg,historical_anchor,mapping_anchor_eligibility,mapping_exclusion_reason,eligibility_basis_excludes_mapping_residual,manual_optical_review_reason
GM_RM011,GM_RM011:PV001,development,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-62.131586070,42.015717856,-62.131586070,42.015717856,104.147303927,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|2|O2:car:0.87,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,11.647583251,54.493085040,11.647583251,54.493085040,42.845501789,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,0,1,GM_RM011|000001|GM_RM011|000001.png|000000.png|1|O1:car:0.95,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-61.521684892,49.180592568,-61.521684892,49.180592568,110.702277460,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,0,1,GM_RM011|000001|GM_RM011|000001.png|000000.png|2|O2:car:0.87,1.000000000,true,false,false,false,true,pose_unstable,unreliable_or_partial_gt_geometry,false,true,13.158215968,56.783440533,13.158215968,56.783440533,43.625224564,false,pose_or_geometry_diagnostic,gt_quality_not_gold_or_usable,true,
GM_RM011,GM_RM011:PV001,development,1,2,GM_RM011|000002|GM_RM011|000002.png|000001.png|1|O1:car:0.96,1.000000000,true,false,false,false,true,pose_unstable,unreliable_or_partial_gt_geometry,false,true,-59.633301675,49.054908358,-59.633301675,49.054908358,108.688210033,false,pose_or_geometry_diagnostic,gt_quality_not_gold_or_usable,true,
GM_RM011,GM_RM011:PV002,development,1,2,GM_RM011|000002|GM_RM011|000002.png|000001.png|2|O2:car:0.86,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,15.194661919,56.257857251,15.194661919,56.257857251,41.063195333,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,1,3,GM_RM011|000003|GM_RM011|000003.png|000001.png|1|O1:car:0.96,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-54.138446420,51.669222085,-54.138446420,51.669222085,105.807668504,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,1,3,GM_RM011|000003|GM_RM011|000003.png|000001.png|2|O2:car:0.86,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,17.530517905,57.034829097,17.530517905,57.034829097,39.504311192,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,2,4,GM_RM011|000004|GM_RM011|000004.png|000002.png|1|O1:car:0.96,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-52.949765514,53.510313789,-52.949765514,53.510313789,106.460079303,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,2,4,GM_RM011|000004|GM_RM011|000004.png|000002.png|2|O2:car:0.81,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,17.149533353,57.465598368,17.149533353,57.465598368,40.316065015,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,2,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|1|O1:car:0.96,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-52.159524945,51.229454003,-52.159524945,51.229454003,103.388978948,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,2,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|2|O2:car:0.81,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,17.469639229,57.659017168,17.469639229,57.659017168,40.189377939,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,3,6,GM_RM011|000006|GM_RM011|000006.png|000003.png|1|O1:car:0.96,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-52.681043660,52.653582886,-52.681043660,52.653582886,105.334626546,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,3,6,GM_RM011|000006|GM_RM011|000006.png|000003.png|2|O2:car:0.86,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,17.482375182,57.204712419,17.482375182,57.204712419,39.722337237,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,3,7,GM_RM011|000007|GM_RM011|000007.png|000003.png|1|O1:car:0.96,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-53.077753552,53.074583205,-53.077753552,53.074583205,106.152336758,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV002,development,3,7,GM_RM011|000007|GM_RM011|000007.png|000003.png|2|O2:car:0.86,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,15.972466903,55.641140521,15.972466903,55.641140521,39.668673618,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,4,8,GM_RM011|000008|GM_RM011|000008.png|000004.png|1|O1:car:0.86,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-52.949765514,52.939026142,-52.949765514,52.939026142,105.888791656,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,4,9,GM_RM011|000009|GM_RM011|000009.png|000004.png|1|O1:car:0.86,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,false,true,-52.949765514,52.939026142,-52.949765514,52.939026142,105.888791656,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,5,10,GM_RM011|000010|GM_RM011|000010.png|000005.png|1|O1:car:0.84,1.000000000,true,false,false,false,true,left_side_dominant,sar_gt_azimuth_support_usable_but_optical_proxy_invalid,false,false,-53.940701035,44.732681040,-53.940701035,44.732681040,98.673382075,true,pose_or_geometry_diagnostic,optical_vehicle_not_fully_visible_after_direct_review;direct_optical_review_vehicle_extent_is_cut_by_left_and_bottom_image_edges;reference_bbox_is_within_8px_of_image_boundary,true,direct_optical_review_vehicle_extent_is_cut_by_left_and_bottom_image_edges;reference_bbox_is_within_8px_of_image_boundary
GM_RM011,GM_RM011:PV001,development,5,11,GM_RM011|000011|GM_RM011|000011.png|000005.png|1|O1:car:0.84,1.000000000,true,false,false,false,true,left_side_dominant,not_established_for_formal_mapping,false,false,-55.543883957,45.182470018,-55.543883957,45.182470018,100.726353975,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,direct_optical_review_vehicle_extent_is_cut_by_left_and_bottom_image_edges;reference_bbox_is_within_8px_of_image_boundary
GM_RM011,GM_RM011:PV001,development,6,12,GM_RM011|000012|GM_RM011|000012.png|000006.png|1|O1:car:0.21,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-57.009159752,44.740744848,-57.009159752,44.740744848,101.749904600,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,6,12,GM_RM011|000012|GM_RM011|000012.png|000006.png|2|O2:car:0.76,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-52.765166018,45.604910339,-52.765166018,45.604910339,98.370076357,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,6,13,GM_RM011|000013|GM_RM011|000013.png|000006.png|1|O1:car:0.21,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-53.220379243,46.060911690,-53.220379243,46.060911690,99.281290933,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,6,13,GM_RM011|000013|GM_RM011|000013.png|000006.png|2|O2:car:0.76,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-57.674907978,46.831508408,-57.674907978,46.831508408,104.506416386,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,7,14,GM_RM011|000014|GM_RM011|000014.png|000007.png|1|O1:car:0.76,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-56.355550123,46.044792014,-56.355550123,46.044792014,102.400342137,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,7,14,GM_RM011|000014|GM_RM011|000014.png|000007.png|2|O2:car:0.31,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-58.350591907,47.263808136,-58.350591907,47.263808136,105.614400043,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,7,15,GM_RM011|000015|GM_RM011|000015.png|000007.png|1|O1:car:0.76,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-56.355550123,46.044792014,-56.355550123,46.044792014,102.400342137,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,7,15,GM_RM011|000015|GM_RM011|000015.png|000007.png|2|O2:car:0.31,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-58.350591907,47.263808136,-58.350591907,47.263808136,105.614400043,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,8,16,GM_RM011|000016|GM_RM011|000016.png|000008.png|1|O1:car:0.36,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-55.422059170,49.116793063,-55.422059170,49.116793063,104.538852234,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,8,16,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-57.245472472,50.224905383,-57.245472472,50.224905383,107.470377856,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,8,17,GM_RM011|000017|gm_rm011_00013,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-52.913191299,47.784227286,-52.913191299,47.784227286,100.697418585,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,8,17,GM_RM011|000017|GM_RM011|000017.png|000008.png|1|O1:car:0.36,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-54.938123972,49.518542971,-54.938123972,49.518542971,104.456666944,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,8,17,GM_RM011|000017|GM_RM011|000017.png|000008.png|2|O2:car:0.72,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-56.805792301,50.602597741,-56.805792301,50.602597741,107.408390041,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
GM_RM011,GM_RM011:PV001,development,9,18,GM_RM011|000018|GM_RM011|000018.png|000009.png|1|O1:car:0.66,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,true,true,-50.674610865,54.517949161,-50.674610865,54.517949161,105.192560026,false,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope,true,
