formula_id,name,code_path,document_path,input_variables,output_variables,coordinate_frames,units,parameter_source,uses_gt,deployment_compatible,scene_scope,validated_scope,known_failure,current_status
G0F001,optical_frame_to_operational_time,tools/diagnostics/run_oty2_p0_data_asset_and_hard_sync_audit.py,reports/oty2/oty2_p0_data_asset_and_hard_sync_audit_20260713.md,optical_frame_index,optical_time_sec,optical_frame_index_to_operational_time,"frame;s",source_MP4_24_fps,false,conditional,"GM_RM011;GM_RM017;GM_RM019",source_container_FPS_confirmed,"common frame-0 start not independently proven",AVAILABLE_OPERATIONAL_ONLY
G0F002,sar_frame_to_operational_time,tools/diagnostics/run_oty2_p0_data_asset_and_hard_sync_audit.py,reports/oty2/oty2_p0_data_asset_and_hard_sync_audit_20260713.md,sar_frame_index,sar_time_sec,sar_frame_index_to_operational_time,"frame;s",source_gray_MP4_50_fps,false,conditional,"GM_RM011;GM_RM017;GM_RM019",source_container_FPS_confirmed,"common frame-0 start not independently proven",AVAILABLE_OPERATIONAL_ONLY
G0F003,nearest_operational_optical_sar_mapping,tools/diagnostics/run_oty2_p0_data_asset_and_hard_sync_audit.py,"manifests/oty2/oty2_p0_hard_sync_optical_to_sar.csv;manifests/oty2/oty2_p0_hard_sync_sar_to_optical.csv","optical_frame;sar_frame;24_fps;50_fps","nearest frame;left/right frame;interpolation ratio",optical_time_to_sar_time,"frame;s",fixed_rate_common_start_assumption,false,conditional,"GM_RM011;GM_RM017;GM_RM019",full_frame_ranges,"not hardware synchronization truth",AVAILABLE_OPERATIONAL_ONLY
G0F004,sar_display_xy_to_fan_polar,src/geometry/fan_polar.py,docs/OTY2_S0_SAR_COORDINATE_AND_GRID_CONTRACT.md,"x;y;cx=1154.0;cy=1330.6","r_px;theta_deg",sar_display_xy_to_fan_polar,"px;deg",frozen_display_contract,false,true,"GM_RM011;GM_RM017;GM_RM019",2308x1334_final_display,"does not establish upstream physical sensor coordinates",FROZEN_DISPLAY_FORMULA
G0F005,sar_fan_polar_to_display_xy,src/geometry/fan_polar.py,docs/OTY2_S0_SAR_COORDINATE_AND_GRID_CONTRACT.md,"r_px;theta_deg;cx=1154.0;cy=1330.6","x;y",sar_fan_polar_to_display_xy,px,frozen_display_contract,false,true,"GM_RM011;GM_RM017;GM_RM019",2308x1334_final_display,"does not establish upstream physical sensor coordinates",FROZEN_DISPLAY_FORMULA
G0F006,sar_display_grid_length,not_applicable,docs/OTY2_RESEARCH_CONCLUSION_STATUS_REGISTER_20260718.md,"length_px;0.03_m_per_px",length_m_grid,sar_display_grid,"px;m_grid",current_deep_review_correction,false,conditional,"GM_RM011;GM_RM017;GM_RM019",vehicle_size_spacing_search_and_cross_frame_grid_quantities,"not 3 cm independent resolution PSF or component resolving power",AVAILABLE_WITH_BOUNDARY
G0F007,historical_optical_x_to_sar_azimuth,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,docs/OTY2_S0_OPTICAL_TO_SAR_AZIMUTH_MAPPING_CONTRACT.md,optical_reference_center_x_px,theta_sar_display_deg,optical_display_x_to_sar_display_azimuth,deg,historical_GT_optical_anchor_audit,true,false,"historical anchors across three scenes; complete eligible anchors only GM_RM017",diagnostic_broad_azimuth_only,"no range pose platform state or cross-scene complete-pose coverage",MAPPING_BLOCKED
G0F008,development_complete_linear_azimuth_refit,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,docs/OTY2_S0_OPTICAL_TO_SAR_AZIMUTH_MAPPING_CONTRACT.md,optical_reference_center_x_px,theta_sar_display_deg,optical_display_x_to_sar_display_azimuth,deg,"GM_RM017:PV002 development GT anchors",true,false,GM_RM017,"PV002 development; PV003 and PV004 heldout; left_side_dominant only","one development vehicle; no vehicle leave-one-out; no cross-scene or cross-pose evidence",DIAGNOSTIC_REFIT_NOT_FROZEN
G0F009,effective_pinhole_los_comparison,tools/diagnostics/run_oty2_s0m_mask_anchor_pose_mapping_audit.py,docs/OTY2_S0_OPTICAL_TO_SAR_AZIMUTH_MAPPING_CONTRACT.md,"optical_x;x0=400;effective_f=485.111;scale=46.704;offset=-3.735",theta_sar_display_deg,optical_display_x_to_sar_display_azimuth,deg,diagnostic_effective_parameters_fitted_from_GT_anchors,true,false,GM_RM017,comparison_on_complete_left_side_anchors,"effective parameters are not physical camera intrinsics or extrinsics",DIAGNOSTIC_ONLY
G0F010,historical_weak_radial_calibration,tools/diagnostics/run_oty2_wgv3_5a_weak_physical_feasible_field.py,reports/oty2/oty2_wgv3_5a_weak_physical_projection_closure_20260710.md,"optical_bbox_geometry;relative_depth;time;heading_proxy",sar_radial_reference_px,optical_image_features_to_sar_display_radius,px,historical_GT_paired_weak_calibration,true,false,"mainly GM_RM017 with GM_RM019 external holdout",scene_specific_weak_calibration,"GM_RM011 and GM_RM019 relative depth unstable; large holdout radial errors",CLOSED_SCENE_SPECIFIC_WEAK_CALIBRATION_ONLY
