scene,canonical_vehicle_id,segment_id,sar_frame_index,review_status,visible_response_body,gt_motion_visual_relation,response_long_axis,response_offset_from_gt_center,intensity_and_morphology,world_fixed_background,intermittent_hotspots,boundary_and_uncertainty
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,330,REVIEWED,"断续横向亮段位于框下半部/下缘","与GT右移方向相容，尚需运动估计","近水平","下侧，最亮段略偏右","弱到中等，分散短段","上方扇形弧、右侧竖线和右下亮结构保持世界位置","框上方与右邻域有孤立亮点","主条带与右侧背景尚可分，但单帧不能归属"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,331,REVIEWED,"下半部断续横向亮段","与GT右移方向相容，尚需运动估计","近水平","下侧","弱到中等，右端亮段较明显","扇形弧与竖线世界固定","右侧散点短时增强","框下缘响应与近邻亮点接近"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,332,REVIEWED,"下缘横向响应比前两帧更连续","与GT右移方向相容，尚需运动估计","近水平","下侧","中等，仍由多个亮段构成","扇形弧、竖线、右下复杂结构世界固定","框上半部少量热点","右端与框外亮结构相邻"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,333,REVIEWED,"下半部横向亮段持续","与GT右移方向相容，尚需运动估计","近水平","下侧","中等，连续性小幅增强","右侧竖线与弯折结构保持世界位置","框内中部偶有短亮点","下缘主体和右邻域仍有混合风险"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,334,REVIEWED,"下缘条带更亮、更连续","与GT右移方向相容，尚需运动估计","近水平","下侧","中等偏强，右端局部增强","世界固定竖线仍在框右侧","框中心附近弱热点","右下亮结点靠近crop边界"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,335,REVIEWED,"下半部横向响应持续但纹理不均","与GT右移方向相容，尚需运动估计","近水平","下侧","中等，亮段局部断裂","扇形弧与竖线世界固定","上侧短亮段间歇出现","车辆样条带和背景弧段需运动拆分"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,336,REVIEWED,"下缘横向条带明显连续化","与GT右移方向相容，尚需运动估计","近水平略倾斜","下侧","中等偏强，长度增加","右侧竖线世界固定并在车辆坐标中左移","框上侧与右邻域有散点","右端接近复杂亮结构"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,337,REVIEWED,"下半部条带连续","与GT右移方向相容，尚需运动估计","近水平略倾斜","下侧","中等偏强，局部亮度起伏","世界固定竖线仍清楚","框上半部短亮点不稳定","GT角度变化与显示插值需保留不确定性"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,338,REVIEWED,"下缘形成清楚紧致条带","与GT右移方向相容，尚需运动估计","近水平","下侧","强度较前期明显增强","竖线、扇形弧和右侧复杂结构世界固定","中心上侧少量热点","是强响应前的最后增强帧"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,339,REVIEWED,"下半部宽亮条带形成","与GT右移方向相容，尚需运动估计","近水平","下侧","明显增亮并变宽，状态过渡起始","右侧竖线继续保持世界位置","框中部出现局部亮点","标记为过渡帧，不机械并入稳定模板"
