scene,edge_id,source_atomic_tracklet_id,target_atomic_tracklet_id,frame_gap,motion_extrapolation_residual,color_distance,appearance_cosine_distance,shape_scale_inconsistency,gap_penalty_component,boundary_support,competition_observation_count,detector_source_change,shared_tracker_support,missing_feature_count,total_integer_cost,selected_by_solver,decision_reason,hard_feasibility
GM_RM011,GM_RM011:E000001,GM_RM011:AT0001,GM_RM011:AT0064,0,0.364046,0.115253,0.180504,0.568812,0.0,1.0,3,true,[],0,57,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000002,GM_RM011:AT0001,GM_RM011:AT0070,3,0.859549,0.091185,,3.0,0.071429,1.0,1,false,[],1,139,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000003,GM_RM011:AT0001,GM_RM011:AT0071,4,0.90792,0.087826,0.248852,3.0,0.095238,1.0,1,false,[],0,142,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000004,GM_RM011:AT0001,GM_RM011:AT0072,4,0.97916,0.087826,0.248852,3.0,0.095238,1.0,1,true,[],0,154,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000005,GM_RM011:AT0001,GM_RM011:AT0073,5,0.97873,0.122872,0.299248,2.97164,0.119048,1.0,5,false,[],0,152,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000006,GM_RM011:AT0001,GM_RM011:AT0074,5,0.993991,0.02972,,3.0,0.119048,1.0,4,false,[],1,145,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000007,GM_RM011:AT0001,GM_RM011:AT0075,5,0.878225,0.037699,,3.0,0.119048,1.0,5,false,[],1,139,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000008,GM_RM011:AT0001,GM_RM011:AT0038,5,0.986797,0.090663,0.306029,3.0,0.119048,1.0,5,true,[],0,159,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000009,GM_RM011:AT0001,GM_RM011:AT0076,6,0.876003,0.059471,0.326066,3.0,0.142857,1.0,5,false,[],0,146,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000010,GM_RM011:AT0001,GM_RM011:AT0077,7,1.017955,0.115737,0.313245,2.89106,0.166667,1.0,7,false,[],0,155,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000011,GM_RM011:AT0001,GM_RM011:AT0078,8,1.382266,0.111419,0.304805,3.0,0.190476,1.0,15,true,[],0,186,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000012,GM_RM011:AT0001,GM_RM011:AT0004,8,1.119383,0.107552,0.272828,2.880693,0.190476,1.0,7,false,[],0,158,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000013,GM_RM011:AT0001,GM_RM011:AT0039,9,1.181113,0.108732,0.27041,3.0,0.214286,1.0,10,true,[],0,174,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000014,GM_RM011:AT0001,GM_RM011:AT0034,12,1.452514,0.134361,0.271782,3.0,0.285714,1.0,15,true,[],0,194,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000015,GM_RM011:AT0001,GM_RM011:AT0079,13,1.551751,0.160906,0.300304,3.0,0.309524,1.0,16,true,[],0,204,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000016,GM_RM011:AT0001,GM_RM011:AT0005,13,1.567335,0.194918,0.201639,2.983813,0.309524,1.0,16,false,[],0,192,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000017,GM_RM011:AT0001,GM_RM011:AT0080,14,4.0,0.167497,0.207191,0.722288,0.333333,1.0,43,false,[],0,220,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000018,GM_RM011:AT0001,GM_RM011:AT0081,14,4.0,0.167497,0.207191,0.708237,0.333333,1.0,43,true,[],0,227,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000019,GM_RM011:AT0001,GM_RM011:AT0035,14,1.583802,0.197811,0.201647,2.980289,0.333333,1.0,18,true,[],0,202,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000020,GM_RM011:AT0001,GM_RM011:AT0007,15,3.811061,0.033046,0.212068,0.835008,0.357143,1.0,45,false,[],0,216,true,selected_by_lexicographic_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000021,GM_RM011:AT0001,GM_RM011:AT0040,15,3.790422,0.028792,0.2079,0.844606,0.357143,1.0,45,true,[],0,224,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000022,GM_RM011:AT0001,GM_RM011:AT0043,24,3.252528,0.09101,0.288036,2.097332,0.571429,1.0,41,true,[],0,273,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000023,GM_RM011:AT0001,GM_RM011:AT0006,26,4.0,0.070046,0.160054,1.56427,0.619048,1.0,19,false,[],0,245,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000024,GM_RM011:AT0001,GM_RM011:AT0036,26,4.0,0.070046,0.160054,1.553716,0.619048,1.0,19,true,[],0,253,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000025,GM_RM011:AT0001,GM_RM011:AT0041,26,3.255616,0.121051,0.229607,2.416125,0.619048,1.0,39,true,[],0,280,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000026,GM_RM011:AT0001,GM_RM011:AT0008,26,3.221508,0.104588,0.222734,2.437937,0.619048,1.0,39,false,[],0,271,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000027,GM_RM011:AT0001,GM_RM011:AT0082,32,4.0,0.1476,,1.428434,0.761905,1.0,49,false,[],1,261,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000028,GM_RM011:AT0001,GM_RM011:AT0083,33,4.0,0.119425,0.259254,0.449284,0.785714,1.0,53,false,[],0,239,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000029,GM_RM011:AT0001,GM_RM011:AT0084,33,4.0,0.119425,0.259254,0.436524,0.785714,1.0,53,true,[],0,247,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000030,GM_RM011:AT0001,GM_RM011:AT0085,34,4.0,0.080944,0.290592,0.495216,0.809524,1.0,55,true,[],0,250,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
GM_RM011,GM_RM011:E000031,GM_RM011:AT0001,GM_RM011:AT0009,34,4.0,0.16823,0.273124,0.496209,0.809524,1.0,55,false,[],0,245,false,not_selected_by_global_solver,passed_time_order_and_conservative_motion_bound
