reveal_id,forward_case_id,scene,canonical_vehicle_id,split_role,optical_frame,sar_frame,gt_found,gt_quality,gt_identity_link,gt_theta_deg,gt_radius_px,gt_axis_deg,gt_long_axis_px,gt_short_axis_px,azimuth_covered,radius_covered,heading_covered,scale_covered,joint_center_covered,o2_shifted_control_excluded,rotated_90_control_excluded,same_size_wrong_radial_control_excluded,neighbor_swap_excluded,forward_area_reduction_fraction,reveal_state,failure_layer,scientific_interpretation
G1R0001,G1F0001,GM_RM017,GM_RM017:PV002,HELDOUT_WITHIN_SCENE,154,321,true,usable,linked_detection_overlap_high,-26.175777,363.086000,0.000000,154.423000,74.500000,true,true,true,true,true,true,true,true,true,0.991312,COUPLED_GEOMETRY_SUPPORTED,none,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0002,G1F0002,GM_RM017,GM_RM017:PV002,HELDOUT_WITHIN_SCENE,164,342,true,usable,linked_detection_overlap_high,-4.769685,322.788000,-2.000000,149.050000,69.700000,true,true,true,true,true,true,true,true,true,0.991714,COUPLED_GEOMETRY_SUPPORTED,none,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0003,G1F0003,GM_RM017,GM_RM017:PV002,HELDOUT_WITHIN_SCENE,173,361,true,usable,linked_detection_overlap_high,16.706284,335.995000,-3.000000,162.497000,71.039000,true,true,true,true,true,false,true,false,true,0.000000,UNRESOLVED,forward_unbounded;o2_shifted_wrong_distance;same_size_wrong_radial,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0004,G1F0004,GM_RM019,GM_RM019:PV001,HELDOUT_CROSS_SCENE,0,0,true,usable,linked_detection_overlap_high,10.006229,134.597000,1.000000,145.813000,64.500000,true,true,true,true,true,true,true,false,not_available,0.000000,UNRESOLVED,forward_unbounded;same_size_wrong_radial,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0005,G1F0005,GM_RM019,GM_RM019:PV001,HELDOUT_CROSS_SCENE,7,15,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0006,G1F0006,GM_RM019,GM_RM019:PV001,HELDOUT_CROSS_SCENE,14,30,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0007,G1F0007,GM_RM019,GM_RM019:PV002,HELDOUT_CROSS_SCENE,5,11,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0008,G1F0008,GM_RM019,GM_RM019:PV002,HELDOUT_CROSS_SCENE,24,50,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0009,G1F0009,GM_RM019,GM_RM019:PV002,HELDOUT_CROSS_SCENE,43,90,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0010,G1F0010,GM_RM019,GM_RM019:PV004,HELDOUT_CROSS_SCENE,149,311,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
