scene,frame_index,runtime_local_subject_id,selected_observation_id,selection_status,selection_evidence,alternative_observation_ids,detector_source,bbox,subject_quality_state,runtime_confidence,review_flags,usable_for_motion,usable_for_color,usable_for_identity_appearance,usable_for_shape,diagnostic_only,baseline_b_included,baseline_c_included,baseline_d_included,notes
GM_RM011,0,GM_RM011:RS0001,GM_RM011:YOLO26l:GM_RM011_000000_001,selected_detector_observation,"{""track_median_vehicle_likeness"":0.887006,""previous_temporal_support"":0.0,""next_temporal_support"":0.987469,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000000_002,YOLO26l,"[4.132,292.04,493.018,597.389]",partial_subject_candidate,0.907223,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00002;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,0,GM_RM011:RS0002,GM_RM011:YOLO26l:GM_RM011_000000_002,selected_detector_observation,"{""track_median_vehicle_likeness"":0.816993,""previous_temporal_support"":0.0,""next_temporal_support"":0.973531,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000000_001,YOLO26l,"[711.966,318.575,799.695,507.148]",partial_subject_candidate,0.910913,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00001;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,1,GM_RM011:RS0001,GM_RM011:YOLO26l:GM_RM011_000001_001,selected_detector_observation,"{""track_median_vehicle_likeness"":0.887006,""previous_temporal_support"":0.987469,""next_temporal_support"":0.984714,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000001_002,YOLO26l,"[3.125,289.141,505.305,597.294]",partial_subject_candidate,0.916834,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00004;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,1,GM_RM011:RS0002,GM_RM011:YOLO26l:GM_RM011_000001_002,selected_detector_observation,"{""track_median_vehicle_likeness"":0.816993,""previous_temporal_support"":0.973531,""next_temporal_support"":0.979265,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000001_001,YOLO26l,"[735.623,337.14,799.701,501.566]",partial_subject_candidate,0.908261,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00003;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,2,GM_RM011:RS0001,GM_RM011:YOLO26l:GM_RM011_000002_001,selected_detector_observation,"{""track_median_vehicle_likeness"":0.887006,""previous_temporal_support"":0.984714,""next_temporal_support"":0.989177,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000002_002,YOLO26l,"[3.295,279.753,519.276,596.977]",complete_subject_candidate,0.940013,,true,true,true,true,false,true,true,true,cluster=GM_RM011:RC00006;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,2,GM_RM011:RS0002,GM_RM011:YOLO26l:GM_RM011_000002_002,selected_detector_observation,"{""track_median_vehicle_likeness"":0.816993,""previous_temporal_support"":0.979265,""next_temporal_support"":0.9114,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000002_001,YOLO26l,"[744.735,338.461,799.704,484.25]",partial_subject_candidate,0.892500,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00005;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,3,GM_RM011:RS0001,GM_RM011:YOLO26l:GM_RM011_000003_001,selected_detector_observation,"{""track_median_vehicle_likeness"":0.887006,""previous_temporal_support"":0.989177,""next_temporal_support"":0.920205,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000003_002,YOLO26l,"[2.344,242.918,525.607,597.111]",partial_subject_candidate,0.929429,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00008;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,3,GM_RM011:RS0002,GM_RM011:YOLO26l:GM_RM011_000003_002,selected_detector_observation,"{""track_median_vehicle_likeness"":0.816993,""previous_temporal_support"":0.9114,""next_temporal_support"":0.938806,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000003_001,YOLO26l,"[735.832,299.045,799.7,434.54]",partial_subject_candidate,0.902612,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00007;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,4,GM_RM011:RS0001,GM_RM011:YOLO26l:GM_RM011_000004_001,selected_detector_observation,"{""track_median_vehicle_likeness"":0.887006,""previous_temporal_support"":0.920205,""next_temporal_support"":0.981917,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",,YOLO26l,"[3.366,199.798,559.398,594.92]",complete_subject_candidate,0.935188,,true,true,true,true,false,true,true,true,cluster=GM_RM011:RC00011;runtime_local_subject_only=true;no_benchmark_input=true
GM_RM011,4,GM_RM011:RS0002,GM_RM011:YOLO26l:GM_RM011_000004_002,selected_detector_observation,"{""track_median_vehicle_likeness"":0.816993,""previous_temporal_support"":0.938806,""next_temporal_support"":0.0,""mixed_risk"":false,""possible_non_vehicle_risk"":false}",GM_RM011:YOLO11l:GM_RM011_000004_001,YOLO26l,"[740.317,261.573,799.713,413.463]",partial_subject_candidate,0.864670,,true,true,false,false,false,true,true,true,cluster=GM_RM011:RC00009;runtime_local_subject_only=true;no_benchmark_input=true
