hypothesis_id,relation_type,optical_observation_phase,visibility_scope,development_vehicles,development_row_count,optical_inputs,sar_research_inputs,joint_condition,interval_rule,lower_bound,upper_bound,units,time_sensitivity,competing_interpretation,contradiction,scientific_interpretation,status
G1H001,AZIMUTH_RESIDUAL_ENVELOPE,PRE_BROADSIDE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,43,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,old_x_to_theta_plus_phase_residual_envelope,-3.222477,3.480791,deg,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Optical x order remains monotonic; phase conditions the allowed residual and adjacent-time tolerance,COUPLED_GEOMETRY_PLAUSIBLE
G1H002,RADIUS_SCALE_PRODUCT_ENVELOPE,PRE_BROADSIDE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,43,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,r_interval=phase_k_interval/effective_scale_if_core_visible,49020.725704,67909.186713,px2,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Inverse image-scale relation is admitted only with phase and full-untruncated visibility,COUPLED_GEOMETRY_PLAUSIBLE
G1H003,HEADING_ENVELOPE,PRE_BROADSIDE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,43,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,phase_axis_envelope_with_side_dominant_optical_guard,-13.000000,9.000000,deg,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Coarse near-horizontal compatibility; not an exact SAR response-axis prediction,COUPLED_GEOMETRY_PLAUSIBLE
G1H004,ASPECT_SUPPORT,PRE_BROADSIDE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,43,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,optical_aspect_guard,2.145573,2.884255,ratio,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Same scale has different meaning when aspect or truncation changes,COUPLED_GEOMETRY_PLAUSIBLE
G1H005,AZIMUTH_RESIDUAL_ENVELOPE,BROADSIDE_CANDIDATE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,42,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,old_x_to_theta_plus_phase_residual_envelope,-1.990436,5.612044,deg,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Optical x order remains monotonic; phase conditions the allowed residual and adjacent-time tolerance,COUPLED_GEOMETRY_PLAUSIBLE
G1H006,RADIUS_SCALE_PRODUCT_ENVELOPE,BROADSIDE_CANDIDATE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,42,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,r_interval=phase_k_interval/effective_scale_if_core_visible,48734.801260,66966.374845,px2,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Inverse image-scale relation is admitted only with phase and full-untruncated visibility,COUPLED_GEOMETRY_PLAUSIBLE
G1H007,HEADING_ENVELOPE,BROADSIDE_CANDIDATE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,42,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,phase_axis_envelope_with_side_dominant_optical_guard,-14.000000,8.000000,deg,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Coarse near-horizontal compatibility; not an exact SAR response-axis prediction,COUPLED_GEOMETRY_PLAUSIBLE
G1H008,ASPECT_SUPPORT,BROADSIDE_CANDIDATE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003;GM_RM017:PV004,42,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,optical_aspect_guard,2.109622,3.072972,ratio,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,none unresolved at development envelope level,Same scale has different meaning when aspect or truncation changes,COUPLED_GEOMETRY_PLAUSIBLE
G1H009,AZIMUTH_RESIDUAL_ENVELOPE,POST_BROADSIDE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003,10,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,old_x_to_theta_plus_phase_residual_envelope,-1.027262,5.985749,deg,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,POST_BROADSIDE has one development vehicle only,Optical x order remains monotonic; phase conditions the allowed residual and adjacent-time tolerance,SCENE_SPECIFIC_ONLY
G1H010,RADIUS_SCALE_PRODUCT_ENVELOPE,POST_BROADSIDE,CORE_VISIBLE_FULL_UNTRUNCATED,GM_RM017:PV003,10,identity;full_thread_order;u;effective_scale;aspect;visibility;boundary_state;phase,theta;r;long_axis;short_axis;undirected_axis;GT_quality;identity_link,same PhysicalVehicle thread; static vehicle; operational time mapping; all geometric quantities mutually checked,r_interval=phase_k_interval/effective_scale_if_core_visible,57407.230502,75102.173371,px2,main 24/50 connection plus adjacent feasible SAR connection audit; no per-vehicle tuning,boundary truncation; approach/departure phase ambiguity; time misalignment; scene-specific camera geometry,POST_BROADSIDE has one development vehicle only,Inverse image-scale relation is admitted only with phase and full-untruncated visibility,SCENE_SPECIFIC_ONLY
