scene,failure_id,canonical_vehicle_id,frame_start,frame_end,failure_type,detector_sources,tracker_ids,p1c_global_vehicle_ids,visual_ground_truth,current_observation_behavior,identity_consequence,root_cause_layer,recommended_future_mechanism,severity,notes
GM_RM011,GM_RM011:P1E_F0001,GM_RM011:PV004,59,59,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV004,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,medium,
GM_RM011,GM_RM011:P1E_F0002,GM_RM011:PV004,61,75,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV004,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,high,
GM_RM011,GM_RM011:P1E_F0003,GM_RM011:PV004,77,87,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV004,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,high,
GM_RM011,GM_RM011:P1E_F0004,GM_RM011:PV008,162,162,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV008,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,medium,
GM_RM011,GM_RM011:P1E_F0005,GM_RM011:PV009,168,187,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV009;GM_RM011:GV010,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,high,
GM_RM011,GM_RM011:P1E_F0006,GM_RM011:PV009,193,193,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV009;GM_RM011:GV010,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,medium,
GM_RM011,GM_RM011:P1E_F0007,GM_RM011:PV009,195,196,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV009;GM_RM011:GV010,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,medium,
GM_RM011,GM_RM011:P1E_F0008,GM_RM011:PV013,295,295,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV014,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,medium,
GM_RM011,GM_RM011:P1E_F0009,GM_RM011:PV013,301,301,visible_but_no_detection,YOLO11l;YOLO26l,,GM_RM011:GV014,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,medium,
GM_RM011,GM_RM011:P1E_F0010,GM_RM011:PV014,307,336,visible_but_no_detection,YOLO11l;YOLO26l,,,Vehicle remains visually identifiable in the complete optical timeline.,Neither detector supplies a usable canonical observation.,Observation gap can fragment or terminate the vehicle identity.,detector_observation,Adjacent-frame propagation with vehicle-shape and visibility-state support.,high,
GM_RM011,GM_RM011:P1E_F0011,,19,19,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0012,,37,38,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0013,,143,145,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0014,,147,147,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
