counterfactual_id,counterfactual_role,valid_frame_count,source_frame_indices,same_source_frames_and_processing,transform,frame_count,mean_valid_fraction,mean_clarity,median_clarity,temporal_mad_mean,temporal_mad_median,positive_persistence_mean,positive_persistence_p90,positive_persistence_fraction_ge_0_5,vehicle_scale_horizontal_run_px,background_median_mean,background_mad_mean,phase_aligned_residual_median_px,phase_response_median,flow_aligned_residual_median_px,flow_support_fraction_median,weighted_score,rank,winner,seed,shift_frames,horizontal_speed_scale
CORRECT_TRACK,REFERENCE,21,330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,True,none,21.0,1.0,30.50941276550293,40.06587219238281,8.276171684265137,8.0,0.06392113095238094,0.23809523809523808,0.034421875,68.0,46.04761904761905,5.190476190476191,4.999619476455535,0.6074653958678246,4.9850940688329075,0.4592421875,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,,
CENTER_ORDER_SHUFFLE,TEMPORAL_CORRESPONDENCE,21,330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,True,deterministic permutation,21.0,1.0,28.384540557861328,37.577728271484375,8.198843955993652,8.0,0.06660714285714286,0.19047619047619047,0.013390625,56.0,45.523809523809526,5.238095238095238,57.78638083046,0.5257973374426365,5.889108270199255,0.465984375,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,1702,,
CENTER_ORDER_REVERSE,TEMPORAL_CORRESPONDENCE_ONLY,21,330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,True,reverse centre correspondence; not arrow of time,21.0,1.0,27.872217178344727,36.31494140625,7.997171878814697,7.0,0.06890104166666666,0.19047619047619047,0.00803125,29.0,45.523809523809526,5.142857142857143,13.515302052364074,0.5983971384391189,13.389030749651845,0.46176562499999996,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,,
TIME_SHIFT_-12,TEMPORAL_SHIFT,9,342;343;344;345;346;347;348;349;350,True,non-circular exact frame shift,9.0,1.0,44.01716232299805,51.20582962036133,5.755312442779541,5.0,0.06758333333333333,0.2222222222222222,0.049265625,117.0,50.55555555555556,5.444444444444445,5.051297093263033,0.5487912541925908,5.0059803084337275,0.46371874999999996,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,-12,
TIME_SHIFT_-8,TEMPORAL_SHIFT,13,338;339;340;341;342;343;344;345;346;347;348;349;350,True,non-circular exact frame shift,13.0,1.0,37.05742645263672,43.564598083496094,5.996687412261963,5.0,0.05919831730769231,0.15384615384615385,0.04003125,113.0,50.53846153846154,5.6923076923076925,5.293274690174537,0.5625690181553364,5.285321570288659,0.4658359375,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,-8,
TIME_SHIFT_-4,TEMPORAL_SHIFT,17,334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,True,non-circular exact frame shift,17.0,1.0,33.34723663330078,41.93610382080078,7.123875141143799,7.0,0.06159742647058823,0.17647058823529413,0.04025,118.0,48.0,5.411764705882353,5.348871421783276,0.59147891202569,5.259143550077937,0.46399999999999997,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,-4,
TIME_SHIFT_+4,TEMPORAL_SHIFT,17,330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346,True,non-circular exact frame shift,17.0,1.0,32.90536880493164,43.6331787109375,8.460234642028809,8.0,0.07165165441176471,0.29411764705882354,0.039734375,66.0,45.23529411764706,5.176470588235294,5.399250443032229,0.6185575840473174,5.428005489488454,0.45415625000000004,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,4,
TIME_SHIFT_+8,TEMPORAL_SHIFT,13,330;331;332;333;334;335;336;337;338;339;340;341;342,True,non-circular exact frame shift,13.0,1.0,34.47511291503906,42.98264694213867,7.078671932220459,7.0,0.07443990384615386,0.3076923076923077,0.04309375,46.0,42.23076923076923,4.6923076923076925,5.053876000194222,0.6394442535638809,5.066842910507284,0.4526875,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,8,
TIME_SHIFT_+12,TEMPORAL_SHIFT,9,330;331;332;333;334;335;336;337;338,True,non-circular exact frame shift,9.0,1.0,36.99915313720703,42.550880432128906,4.724562644958496,4.0,0.07310590277777776,0.3333333333333333,0.04675,42.0,37.888888888888886,4.444444444444445,4.233123936804791,0.6657901388406753,4.111747845435288,0.4494375,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,12,
HORIZONTAL_SPEED_SCALE_0.5,MOTION_SPEED,21,330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,True,horizontal displacement scale,21.0,1.0,27.882610321044922,37.81521987915039,8.097702980041504,7.0,0.057334077380952385,0.19047619047619047,0.024390625,78.0,45.42857142857143,5.190476190476191,4.404933240789113,0.5991953538656234,4.343534852249868,0.46529687500000005,NOT_COMPUTED,NOT_COMPUTED,NOT_COMPUTED,,,0.5
