research_unit_id,research_unit_type,scene,canonical_vehicle_id,benchmark_role,research_role,segment_id,representation,coordinate_family,frame_count,support_level,response_lineage,valid_fraction_mean,valid_fraction_min,response_centroid_x_mad_norm,response_centroid_y_mad_norm,adjacent_centroid_shift_median_norm,adjacent_centroid_shift_p90_norm,adjacent_ncc_median,adjacent_ncc_p10,adjacent_absdiff_median,support_area_fraction_mean,support_area_fraction_cv,support_entropy_mean_bits,nonadjacent_similar_view_pair_count,nonadjacent_similar_view_ncc_median,observation_frame_count,observation_centroid_temporal_mad_norm,relation_distance_q50_temporal_cv,relation_distance_q90_temporal_cv,observation_orientation_axial_dispersion_deg,automatic_attribution_label,review_status,notes
S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,development,mechanism_discovery,S0MV-GM_RM017-PV002-SEG02,world,world,65,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.026967,0.013388,0.010584,0.024068,0.674480,0.494408,0.032032,0.017779,0.425525,0.249695,8,0.181494,65,0.597992,0.254106,0.234090,13.277584,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,development,mechanism_discovery,S0MV-GM_RM017-PV002-SEG02,raw_crop,crop,65,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.104491,0.025572,0.023010,0.050794,0.730689,0.625269,0.047268,0.051343,0.692662,0.396420,8,0.260888,65,0.253562,0.246145,0.340342,15.397983,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,development,mechanism_discovery,S0MV-GM_RM017-PV002-SEG02,smoothed_crop,crop,65,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.100256,0.027345,0.019227,0.045166,0.784292,0.706476,0.041913,0.051488,0.696648,0.404336,8,0.291667,65,0.239699,0.246070,0.340473,15.382518,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,development,mechanism_discovery,S0MV-GM_RM017-PV002-SEG02,raw_body,body,65,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.107752,0.053923,0.029375,0.063061,0.731680,0.492984,0.065277,0.071399,0.492919,0.442372,8,0.343623,65,0.234228,0.258455,0.239127,13.898109,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV002-SEG02,vehicle_thread,GM_RM017,GM_RM017:PV002,development,mechanism_discovery,S0MV-GM_RM017-PV002-SEG02,smoothed_body,body,65,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.108857,0.050119,0.018570,0.053924,0.825997,0.726988,0.054323,0.071861,0.490017,0.431409,8,0.574168,65,0.227274,0.256105,0.234690,13.365682,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,heldout_validation,heldout_validation,S0MV-GM_RM017-PV003-SEG01,world,world,67,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.016149,0.041293,0.012155,0.028679,0.648492,0.465060,0.045888,0.028150,0.479378,0.278266,4,0.191575,67,0.823532,0.347507,0.306807,14.359673,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,heldout_validation,heldout_validation,S0MV-GM_RM017-PV003-SEG01,raw_crop,crop,67,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.078330,0.037086,0.025460,0.064596,0.710275,0.470922,0.058609,0.052824,0.449439,0.358563,4,0.268708,67,0.325090,0.353266,0.353831,17.508393,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,heldout_validation,heldout_validation,S0MV-GM_RM017-PV003-SEG01,smoothed_crop,crop,67,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.089925,0.040994,0.020584,0.061219,0.812285,0.561889,0.047492,0.052668,0.435997,0.370571,4,0.299556,67,0.321543,0.353417,0.353877,17.665999,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,heldout_validation,heldout_validation,S0MV-GM_RM017-PV003-SEG01,raw_body,body,67,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.088723,0.032963,0.024742,0.054141,0.790749,0.542471,0.057256,0.064462,0.403126,0.424295,4,0.455533,67,0.386355,0.338442,0.306859,15.133744,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
S0MV-GM_RM017-PV003-SEG01,vehicle_thread,GM_RM017,GM_RM017:PV003,heldout_validation,heldout_validation,S0MV-GM_RM017-PV003-SEG01,smoothed_body,body,67,0.350000,frozen S1L Gaussian sigma 1.0 plus local-background normalization; fixed support level 0.35,1.000000,1.000000,0.091093,0.035305,0.020056,0.043996,0.865714,0.689547,0.045650,0.064532,0.403200,0.436682,4,0.571281,67,0.381860,0.336479,0.305109,14.768553,UNASSIGNED_REQUIRES_DIRECT_VISUAL_REVIEW,directly_reviewed_complete,no weighted score and no automatic winner; low entropy alone is not vehicle evidence; response-centroid grid metrics are within-representation diagnostics because world uses a fixed trajectory canvas
