response_field_id,scene,canonical_vehicle_id,benchmark_role,input_tier,segment_id,sar_frame_index,sar_time_sec,source_gt_ids,source_gt_count,source_gt_quality_distribution,raw_anchor_center_x_px,raw_anchor_center_y_px,raw_anchor_width_px,raw_anchor_height_px,raw_anchor_angle_deg,smoothed_anchor_center_x_px,smoothed_anchor_center_y_px,smoothed_anchor_width_px,smoothed_anchor_height_px,smoothed_anchor_angle_deg,gt_center_spread_px,gt_size_spread_px,crop_expansion,raw_crop_polygon_global_px,smoothed_crop_polygon_global_px,global_roi_x1,global_roi_y1,global_roi_x2,global_roi_y2,radial_unit_x,radial_unit_y,tangential_unit_x,tangential_unit_y,raw_half_extent_radial_px,raw_half_extent_tangential_px,smoothed_half_extent_radial_px,smoothed_half_extent_tangential_px,thread_raw_p05,thread_raw_p50,thread_raw_p95,thread_raw_p99,local_background_median,local_background_mad,raw_min,raw_max,raw_mean,analysis_valid_mask_fraction,coordinate_inverse_error_px,raw_image_path,raw_image_sha256,low_threshold_component_count,multi_threshold_component_count,single_threshold_only_component_count,gt_is_vehicle_response_mask,lineage_status,notes
S1L-FIELD-GM_RM011-GM_RM011_PV001-000000,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,0,0.000000000,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,1,usable:1,1140.347000,1244.238000,136.103000,69.358000,168.000000,1146.642000,1244.238000,136.103000,69.358000,172.000000,0.000000,0.000000,1.750000,"1030.168,1329.358;1271.410,1291.220;1250.526,1159.118;1009.284,1197.256","1030.553,1321.473;1274.124,1300.720;1262.731,1167.003;1019.160,1187.756",1005,1155,1280,1334,-0.156151,-0.987733,0.987733,-0.156151,38.211973,69.782226,38.343294,69.843732,0.000000,50.000000,108.000000,144.000000,33.000000,13.000000,0,244,38.733665,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000000.png,7eb197d80a6deccc38bc0cc7ec47febe48e028a5febcd2046ba24a246522a75a,7,2,5,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000001,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,1,0.020000000,GM_RM011|000001|GM_RM011|000001.png|000000.png|1|O1:car:0.95,1,usable:1,1146.642000,1243.802000,143.942000,75.440000,172.000000,1148.642000,1245.520000,135.022500,67.399000,176.000000,0.000000,0.000000,1.750000,"1023.866,1327.312;1281.723,1305.453;1269.418,1160.292;1011.561,1182.151","1034.084,1312.643;1270.715,1297.741;1263.200,1178.397;1026.569,1193.299",1007,1156,1287,1333,-0.084469,-0.996426,0.996426,-0.084469,41.623395,73.937755,34.165921,67.742827,0.000000,50.000000,108.000000,144.000000,37.000000,18.000000,0,241,42.685685,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000001.png,6b98c3324940357e7f09d216ded2f82cedd3d01548ec54e3d4e64e4f5138fec6,13,2,11,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000003,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,3,0.060000000,GM_RM011|000003|GM_RM011|000003.png|000001.png|1|O1:car:0.96,1,usable:1,1150.642000,1246.802000,133.942000,65.440000,0.000000,1150.642000,1246.802000,133.942000,65.440000,0.000000,0.000000,0.000000,1.750000,"1033.819,1313.440;1272.423,1303.878;1267.465,1180.164;1028.861,1189.726","1033.819,1313.440;1272.423,1303.878;1267.465,1180.164;1028.861,1189.726",1024,1176,1278,1319,-0.040040,-0.999198,0.999198,-0.040040,35.375277,68.227394,35.375277,68.227394,0.000000,50.000000,108.000000,144.000000,34.000000,8.000000,0,249,39.001980,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000003.png,03df665dcc5f67c313c8ac51577b47cc1b97c52fd1b6ea1201656d6123ebe153,5,2,3,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000004,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,4,0.080000000,GM_RM011|000004|GM_RM011|000004.png|000002.png|1|O1:car:0.96,1,usable:1,1151.642000,1247.802000,133.942000,65.440000,3.000000,1151.642000,1246.802000,133.942000,65.440000,1.000000,0.000000,0.000000,1.750000,"1032.145,1317.768;1274.927,1310.854;1271.139,1177.836;1028.357,1184.750","1033.762,1312.685;1273.041,1305.952;1269.522,1180.919;1030.243,1187.652",1024,1173,1280,1323,-0.028467,-0.999595,0.999595,-0.028467,38.020646,69.394307,35.737792,68.392501,0.000000,50.000000,108.000000,144.000000,34.000000,12.000000,0,255,38.532362,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000004.png,1aaf4a9bc50115b2ae8a6a827611b0ed79130152ba8f7179b8d079646a1697a6,10,4,6,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000005,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,5,0.100000000,GM_RM011|000005|GM_RM011|000005.png|000002.png|1|O1:car:0.96,1,usable:1,1151.642000,1246.802000,131.942000,63.440000,1.000000,1151.642000,1246.802000,133.942000,65.440000,1.000000,0.000000,0.000000,1.750000,"1035.537,1310.806;1271.162,1304.176;1267.747,1182.798;1032.122,1189.428","1033.762,1312.685;1273.041,1305.952;1269.522,1180.919;1030.243,1187.652",1026,1176,1279,1318,-0.028128,-0.999604,0.999604,-0.028128,34.693349,67.347939,35.737792,68.392501,0.000000,50.000000,108.000000,144.000000,36.000000,9.000000,0,255,40.502457,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000005.png,3d6886153cb9df4474a260f0b49779d39a14c6ab0dd65703dd395de12ba85d3f,9,2,7,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000006,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,6,0.120000000,GM_RM011|000006|GM_RM011|000006.png|000003.png|1|O1:car:0.96,1,usable:1,1152.642000,1247.802000,133.942000,63.440000,1.000000,1152.642000,1246.802000,133.942000,65.440000,1.000000,0.000000,0.000000,1.750000,"1034.622,1309.191;1272.612,1305.287;1270.662,1186.413;1032.672,1190.317","1034.589,1309.895;1272.677,1306.036;1270.695,1183.709;1032.607,1187.568",1028,1179,1278,1315,-0.016399,-0.999866,0.999866,-0.016399,33.968635,68.006293,34.955089,68.034185,0.000000,50.000000,108.000000,144.000000,37.000000,8.000000,0,245,40.966673,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000006.png,e125904355d29dd8ae6feb6d5882cdcfdaf4b2b539579be2614203912dfc17fc,10,2,8,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000007,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,7,0.140000000,GM_RM011|000007|GM_RM011|000007.png|000003.png|1|O1:car:0.96,1,usable:1,1152.642000,1246.802000,135.942000,65.440000,1.000000,1152.642000,1246.802000,135.942000,65.440000,1.000000,0.000000,0.000000,1.750000,"1032.841,1309.982;1274.427,1306.067;1272.443,1183.622;1030.857,1187.537","1032.841,1309.982;1274.427,1306.067;1272.443,1183.622;1030.857,1187.537",1026,1179,1280,1315,-0.016204,-0.999869,0.999869,-0.016204,34.988745,69.033649,34.988745,69.033649,0.000000,50.000000,108.000000,144.000000,38.000000,9.000000,0,255,42.987136,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000007.png,78204cef8581b0c5ee081edba67c6dd7e80a892ed8f2131c64f8464bc94ed61f,9,3,6,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000008,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,8,0.160000000,GM_RM011|000008|GM_RM011|000008.png|000004.png|1|O1:car:0.86,1,usable:1,1152.642000,1244.802000,137.942000,67.440000,1.000000,1152.642000,1244.802000,135.942000,65.440000,1.000000,0.000000,0.000000,1.750000,"1031.058,1309.728;1276.219,1305.847;1274.226,1179.876;1029.065,1183.757","1032.837,1307.892;1274.384,1304.069;1272.447,1181.712;1030.900,1185.535",1025,1175,1282,1315,-0.015826,-0.999875,0.999875,-0.015826,35.996255,70.054790,34.963502,69.022157,0.000000,50.000000,108.000000,144.000000,41.000000,12.000000,0,250,46.145184,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000008.png,e809b55e54015d1460fd096749bdf47528b7839b069d9caee781ed03ffe73160,7,5,2,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000009,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,9,0.180000000,GM_RM011|000009|GM_RM011|000009.png|000004.png|1|O1:car:0.86,1,usable:1,1152.642000,1244.802000,137.942000,67.440000,1.000000,1152.642000,1244.802000,135.942000,65.440000,1.000000,0.000000,0.000000,1.750000,"1031.058,1309.728;1276.219,1305.847;1274.226,1179.876;1029.065,1183.757","1032.837,1307.892;1274.384,1304.069;1272.447,1181.712;1030.900,1185.535",1025,1175,1282,1315,-0.015826,-0.999875,0.999875,-0.015826,35.996255,70.054790,34.963502,69.022157,0.000000,50.000000,108.000000,144.000000,40.000000,10.000000,0,255,45.277504,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000009.png,39365a4eff7df04aa5924a74cfd5ed57dd49d3883b0649e93f6776af942533bd,10,4,6,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000010,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,10,0.200000000,GM_RM011|000010|GM_RM011|000010.png|000005.png|1|O1:car:0.84,1,gold:1,1149.642000,1243.802000,129.942000,63.440000,172.000000,1151.009500,1244.802000,129.942000,63.440000,172.000000,0.000000,0.000000,1.750000,"1034.869,1315.093;1270.979,1303.238;1264.415,1172.511;1028.305,1184.366","1034.537,1316.000;1272.156,1307.718;1267.482,1173.604;1029.863,1181.886",1024,1168,1278,1322,-0.050145,-0.998742,0.998742,-0.050145,37.397678,67.545129,38.341546,67.932390,0.000000,50.000000,108.000000,144.000000,37.000000,11.000000,0,243,41.776366,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000010.png,2f93cd7a0f23bc739ef7e2e05eb8bf09018d4b36a119669218b06b0ee804fa28,9,6,3,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
