case_id,frame,point_id,point_role,background_subtype,x_px,y_px,raw_gray_value,status,review_basis,correction_proposal,review_card,patch_card
PV002_337_341,339,skeleton_left,skeleton,,977.398,1051.798,57,MINOR_OFFSET,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",review in a separate atlas-v1.1 decision; R2 does not modify atlas v1,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,skeleton_mid,skeleton,,1124.7113149462652,1063.798,50,CONFIRMED,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,skeleton_right,skeleton,,1271.398,1049.798,43,SEMANTICALLY_AMBIGUOUS,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",review in a separate atlas-v1.1 decision; R2 does not modify atlas v1,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,seed_mid,seed,,1124.2780842267819,1063.798,48,CONFIRMED,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,background_vertical_line,background,vertical_line,1121.398,1050.798,46,CONFIRMED,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,background_fan_arc,background,fan_arc,1114.6949897931902,1057.2550234231915,51,SEMANTICALLY_AMBIGUOUS,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",review in a separate atlas-v1.1 decision; R2 does not modify atlas v1,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,background_clutter,background,clutter,1299.7711990345065,1032.7259613802617,57,SEMANTICALLY_AMBIGUOUS,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",review in a separate atlas-v1.1 decision; R2 does not modify atlas v1,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV002_337_341,339,unresolved_centroid,unresolved,,1268.898,1054.048,64,SEMANTICALLY_AMBIGUOUS,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",review in a separate atlas-v1.1 decision; R2 does not modify atlas v1,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV002_337_341\pv002_337_341_339_atlas_review_point_patches.png
PV003_380_384,384,skeleton_left,skeleton,,1143.552,993.773,41,MINOR_OFFSET,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",review in a separate atlas-v1.1 decision; R2 does not modify atlas v1,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV003_380_384\pv003_380_384_384_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV003_380_384\pv003_380_384_384_atlas_review_point_patches.png
PV003_380_384,384,skeleton_mid,skeleton,,1234.7227223862644,999.4972029851436,38,CONFIRMED,"direct inspection of raw/no-overlay, single-label overlays, full overlay, and point patch sheet",,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV003_380_384\pv003_380_384_384_atlas_review.png,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\atlas_review\PV003_380_384\pv003_380_384_384_atlas_review_point_patches.png
