temporal_event_id,scene,canonical_vehicle_id,benchmark_role,input_tier,segment_id,sar_frame_from,sar_frame_to,frame_gap,event_type,source_observation_ids,target_observation_ids,global_displacement_px,raw_local_displacement_px,smoothed_local_displacement_px,relative_intensity_change,shape_change,correspondence_cost,threshold_support_count,global_coordinate_supported,raw_gt_local_supported,smoothed_gt_local_supported,crop_or_gt_jitter_artifact,threshold_artifact,background_like,major_event,notes
S1L-EVT-0000001,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,0,1,1,global_motion_consistent,S1L-OBS-0000004,S1L-OBS-0000014,5.359968,2.308516,3.549992,0.014343,0.533846,0.279136,3,true,true,true,false,false,false,true,
S1L-EVT-0000002,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,0,1,1,global_motion_consistent,S1L-OBS-0000006,S1L-OBS-0000019,1.718935,2.878725,1.684064,0.016719,0.635194,0.256388,3,true,true,true,false,false,false,true,
S1L-EVT-0000003,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,1,3,2,unresolved_correspondence,S1L-OBS-0000014,S1L-OBS-0000023,16.409045,12.097571,14.072622,-0.050186,0.917295,0.604841,2,true,true,true,false,false,false,true,
S1L-EVT-0000004,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,1,3,2,global_motion_consistent,S1L-OBS-0000019,S1L-OBS-0000025,6.337184,4.384493,4.924370,0.001695,0.722205,0.317761,3,true,true,true,false,false,false,true,
S1L-EVT-0000005,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,3,4,1,stable_persistence,S1L-OBS-0000023,S1L-OBS-0000029,13.025814,11.946214,11.778999,0.015303,0.449118,0.406164,2,true,true,true,false,false,false,true,
S1L-EVT-0000006,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,3,4,1,stable_persistence,S1L-OBS-0000025,S1L-OBS-0000033,1.662824,1.540657,0.947394,0.020744,0.128914,0.065038,3,true,true,true,false,false,false,true,
S1L-EVT-0000007,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,3,4,1,birth,,S1L-OBS-0000031,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000008,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,4,5,1,stable_persistence,S1L-OBS-0000029,S1L-OBS-0000040,2.648143,2.828774,2.648143,-0.026221,0.073502,0.078154,2,true,true,true,false,false,false,true,
S1L-EVT-0000009,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,4,5,1,stable_persistence,S1L-OBS-0000033,S1L-OBS-0000043,0.904140,1.192220,0.904140,0.000614,0.054635,0.039335,3,true,true,true,false,false,false,true,
S1L-EVT-0000010,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,4,5,1,death,S1L-OBS-0000031,,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000011,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,5,6,1,stable_persistence,S1L-OBS-0000040,S1L-OBS-0000053,45.164591,43.700142,44.666748,0.025485,0.285561,1.000511,2,true,true,true,false,false,false,true,
S1L-EVT-0000012,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,5,6,1,stable_persistence,S1L-OBS-0000043,S1L-OBS-0000052,7.760111,8.591204,8.505988,0.089843,0.449359,0.336720,3,true,true,true,false,false,false,true,
S1L-EVT-0000013,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,6,7,1,stable_persistence,S1L-OBS-0000052,S1L-OBS-0000062,6.325388,6.324442,6.325388,-0.060598,0.501164,0.308430,3,true,true,true,false,false,false,true,
S1L-EVT-0000014,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,6,7,1,unresolved_correspondence,S1L-OBS-0000053,S1L-OBS-0000060,139.432820,139.152570,139.432820,0.038375,1.760409,2.969706,2,true,true,true,false,false,false,true,
S1L-EVT-0000015,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,7,8,1,stable_persistence,S1L-OBS-0000060,S1L-OBS-0000068,1.502016,3.310791,3.310791,0.023193,0.315081,0.170375,2,true,true,true,false,false,false,true,
S1L-EVT-0000016,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,7,8,1,stable_persistence,S1L-OBS-0000062,S1L-OBS-0000070,3.476177,4.163138,4.163138,-0.026095,0.403521,0.226940,3,true,true,true,false,false,false,true,
S1L-EVT-0000017,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,7,8,1,birth,,S1L-OBS-0000067,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000018,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,8,9,1,stable_persistence,S1L-OBS-0000068,S1L-OBS-0000074,41.492898,41.492898,41.492898,-0.056820,0.243622,0.807619,2,true,true,true,false,false,false,true,
S1L-EVT-0000019,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,8,9,1,stable_persistence,S1L-OBS-0000070,S1L-OBS-0000078,3.815972,3.815972,3.815972,-0.007308,0.125596,0.116291,3,true,true,true,false,false,false,true,
S1L-EVT-0000020,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,8,9,1,death,S1L-OBS-0000067,,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000021,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,9,10,1,stable_persistence,S1L-OBS-0000074,S1L-OBS-0000083,18.179020,22.874779,20.947113,-0.031287,1.314835,1.029259,2,true,true,true,false,false,false,true,
S1L-EVT-0000022,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,9,10,1,stable_persistence,S1L-OBS-0000078,S1L-OBS-0000088,7.587152,5.770447,6.419839,0.002836,0.545742,0.309568,3,true,true,true,false,false,false,true,
S1L-EVT-0000023,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,9,10,1,birth,,S1L-OBS-0000086,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000024,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,9,10,1,birth,,S1L-OBS-0000089,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000025,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,10,11,1,unresolved_correspondence,S1L-OBS-0000083,S1L-OBS-0000098,64.100274,61.163544,64.100273,0.023272,0.028171,1.367961,2,true,true,true,false,false,false,true,
S1L-EVT-0000026,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,10,11,1,unresolved_correspondence,S1L-OBS-0000086,S1L-OBS-0000094,3.261894,3.678766,3.261895,0.077211,1.456090,0.767301,2,true,true,true,false,false,false,true,
S1L-EVT-0000027,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,10,11,1,stable_persistence,S1L-OBS-0000088,S1L-OBS-0000100,10.639210,11.937387,10.639209,-0.046699,0.923372,0.524349,3,true,true,true,false,false,false,true,
S1L-EVT-0000028,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,10,11,1,stable_persistence,S1L-OBS-0000089,S1L-OBS-0000095,42.750958,44.301041,42.750959,0.013448,0.143101,0.893877,2,true,true,true,false,false,false,true,
S1L-EVT-0000029,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,11,12,1,stable_persistence,S1L-OBS-0000094,S1L-OBS-0000109,0.443329,3.281160,0.064380,0.039539,0.475955,0.178917,3,true,true,true,false,false,false,true,
S1L-EVT-0000030,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,11,12,1,stable_persistence,S1L-OBS-0000095,S1L-OBS-0000108,1.786687,1.364598,1.910792,0.025940,0.673729,0.394927,2,true,true,true,false,false,false,true,
S1L-EVT-0000031,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,11,12,1,stable_persistence,S1L-OBS-0000098,S1L-OBS-0000110,2.261716,2.195683,2.570176,-0.014865,0.966441,0.445625,3,true,true,true,false,false,false,true,
S1L-EVT-0000032,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,11,12,1,stable_persistence,S1L-OBS-0000100,S1L-OBS-0000114,3.580720,1.759617,3.718452,0.011395,0.323573,0.181445,3,true,true,true,false,false,false,true,
S1L-EVT-0000033,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,11,12,1,birth,,S1L-OBS-0000116,,,,,,,2,false,true,true,false,false,false,true,
