case_id,frame,coordinate_family,channel,formula,high_value_semantics,skeleton_count,skeleton_median_raw,background_median_raw,vertical_line_median_raw,fan_arc_median_raw,clutter_median_raw,unresolved_median_raw,black_or_transform_border_median_raw,weak_frame_skeleton_median_raw,strong_frame_skeleton_median_raw,name_matches_formula,evidence_card
PV002_337_341,339,RAW_SAR_DISPLAY,raw_display_intensity,I,high displayed grayscale intensity; not a unique scatterer or vehicle centre,1477,52.000000000,53.000000000,53.000000000,51.000000000,59.000000000,60.000000000,,44.000000000,53.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\raw_display_intensity.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_contrast_31,I - boxmean_31(I),brighter than the 31x31 local mean,1477,-0.127990723,-1.166492462,-1.638916016,-1.341312408,-0.180021286,-0.885534286,,-0.576482773,-0.127990723,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_contrast_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,local_z_31,(I - boxmean_31(I)) / local_std_31(I),positive local standardized brightness anomaly,1477,-0.011783366,-0.102559768,-0.155289248,-0.122084036,-0.016768634,-0.068881348,,-0.080002869,-0.011783366,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\local_z_31.png
PV002_337_341,339,RAW_SAR_DISPLAY,highpass_sigma9,I - GaussianSigma9(I),fine structure brighter than a sigma-9 smooth background,1477,-0.366653442,-1.059253693,-1.719104767,-1.332752228,-0.153860092,-0.732849121,,-0.856634140,-0.366653442,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\highpass_sigma9.png
PV002_337_341,339,RAW_SAR_DISPLAY,sobel_x_abs_gradient_component,abs(dI/dx),strong left-right intensity change; vertical-edge normal response,1477,20.000000000,21.000000000,20.000000000,19.000000000,25.000000000,26.000000000,,18.000000000,21.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\sobel_x_abs_gradient_component.png
PV002_337_341,339,RAW_SAR_DISPLAY,sobel_y_abs_gradient_component,abs(dI/dy),strong up-down intensity change; horizontal-edge normal response,1477,21.000000000,21.000000000,21.000000000,19.000000000,28.000000000,26.000000000,,18.500000000,21.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\sobel_y_abs_gradient_component.png
PV002_337_341,339,RAW_SAR_DISPLAY,gradient_magnitude_sobel,"hypot(dI/dx,dI/dy)",strong intensity boundary in any direction,1477,36.221542358,37.013511658,36.000000000,34.928497314,43.886211395,44.821754456,,31.677462578,36.687873840,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\gradient_magnitude_sobel.png
PV002_337_341,339,RAW_SAR_DISPLAY,multiscale_laplacian_bright_ridge,"max(0,-(dxx+dyy)) at sigma 1.5 and 3.5",negative multiscale Laplacian consistent with a locally bright ridge; not a full Hessian eigenvalue ridge detector,1477,0.522209167,0.416961670,0.360092163,0.389328003,0.659431458,0.562068939,,0.312911987,0.522209167,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\multiscale_laplacian_bright_ridge.png
PV002_337_341,339,RAW_SAR_DISPLAY,structure_tensor_orientation_coherence,sqrt((Jxx-Jyy)^2+4Jxy^2)/(Jxx+Jyy),"locally anisotropic gradient orientation, independent of target ownership",1477,0.199683025,0.159825563,0.132641420,0.170433298,0.162480190,0.176196098,,0.171378680,0.172736734,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\structure_tensor_orientation_coherence.png
PV002_337_341,339,RAW_SAR_DISPLAY,radial_gradient_normal_response,abs(grad(I) dot radial_unit),gradient normal component along the fan radial direction; high on edges locally tangent to a fan arc,1477,20.698602676,21.553958893,21.520902634,20.070795059,25.803340912,26.105159760,,17.988219261,21.290515900,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\radial_gradient_normal_response.png
