case_id,coordinate_family,channel,median_skeleton_minus_background,mean_background_activation,frame_level_skeleton_hit_rate,failure_mode
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,display_raw_8bit,0.000000,0.805979,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,display_local_contrast,0.033982,0.497964,0.400000,skeleton_signal_retained
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,display_local_z,0.029043,0.517669,0.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,display_multiscale_highpass,0.031974,0.498900,0.400000,skeleton_signal_retained
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,gradient_magnitude_sobel,-0.008221,0.468047,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,sobel_x_abs_gradient_component,-0.015385,0.399297,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,sobel_y_abs_gradient_component,0.000000,0.350403,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,multiscale_hessian_bright_ridge,0.021272,0.178865,0.200000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,structure_tensor_orientation_coherence,0.012446,0.213930,0.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,radial_directional_gradient_response,-0.011475,0.336677,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,tangential_directional_gradient_response,-0.007744,0.441563,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_median_sar_display,0.000000,0.859156,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_max_sar_display,0.000000,0.852870,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_min_sar_display,0.000000,0.817911,0.800000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_mad_sar_display,0.000000,0.437191,0.800000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_adjacent_positive_change_tminus1_to_t,0.000000,0.212411,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_adjacent_negative_change_tminus1_to_t,0.000000,0.153483,0.200000,background_competes_with_target
